Species,NCBI Taxon ID,Order,Family,Genus
Parvovirus grus5942,3117100,Piccovirales,Parvoviridae,
Anellovirus meleagris2358,3115994,,Anelloviridae,
Parvovirus phoenicurus12233s1,3117179,Piccovirales,Parvoviridae,
Parvovirus emberiza6660,3117080,Piccovirales,Parvoviridae,
Parvovirus anser6071,3117036,Piccovirales,Parvoviridae,
Parvovirus anser7825,3117039,Piccovirales,Parvoviridae,
Polyomavirus prunella5215,3117274,Sepolyvirales,Polyomaviridae,
Parvovirus phylloscopus4927,3117182,Piccovirales,Parvoviridae,
Anellovirus gallus2670,3115989,,Anelloviridae,
Meldvirus gallus11737,3116726,,,
Papillomavirus luscinia7441,3116978,Zurhausenvirales,Papillomaviridae,
Parvovirus anser7324,3117038,Piccovirales,Parvoviridae,
Polyomavirus saxicola5252a,3117279,Sepolyvirales,Polyomaviridae,
Polyomavirus sericulus5319,3117280,Sepolyvirales,Polyomaviridae,
Cressvirus meleagris1922,3116679,,,
Parvovirus emberiza7086,3117081,Piccovirales,Parvoviridae,
Cressvirus meleagris952,3116680,,,
Adintovirus pavo15764,3115938,Orthopolintovirales,Adintoviridae,
Parvovirus phylloscopus5401s1,3117184,Piccovirales,Parvoviridae,
Parvovirus leiothrix3317,3117118,Piccovirales,Parvoviridae,
Parvovirus streptopelia4404,3117207,Piccovirales,Parvoviridae,
Polyomavirus erythrura5362,3117231,Sepolyvirales,Polyomaviridae,
Parvovirus emberiza5276,3117079,Piccovirales,Parvoviridae,
Parvovirus steptopelia5095,3117206,Piccovirales,Parvoviridae,
Polyomavirus pteridophora5384,3117276,Sepolyvirales,Polyomaviridae,
Polyomavirus zonotrichia5422,3117287,Sepolyvirales,Polyomaviridae,
Polyomavirus phylloscopus4708,3117269,Sepolyvirales,Polyomaviridae,
Parvovirus steptopelia4906,3117205,Piccovirales,Parvoviridae,
Anellovirus meleagris2399,3115995,,Anelloviridae,
Parvovirus phasianus6595,3117175,Piccovirales,Parvoviridae,
Avian polyomavirus,1702318,Sepolyvirales,Polyomaviridae,
Spheniscid alphaherpesvirus 2,3134033,Herpesvirales,Orthoherpesviridae,
Calonectris borealis alphaherpesvirus,3129245,Herpesvirales,Orthoherpesviridae,
Ardenna gravis alphaherpesvirus,3129244,Herpesvirales,Orthoherpesviridae,
Feral pigeon astrovirus,928291,Stellavirales,Astroviridae,
Pigeon astrovirus,3079711,Stellavirales,Astroviridae,
Comazfec virus 1,3112648,,,
Comazfec virus 2,3112649,,,
Comazfec virus 3,3112650,,,
Comazfec virus 4,3112651,,,
Comazfec virus 5,3112652,,,
Comazfec virus 6,3112653,,,
Comazfec virus 7,3112654,,,
Comazfec virus 8,3112655,,,
Comazfec virus 9,3112656,,,
Comazfec virus 10,3112657,,,
Comazfec virus 11,3112658,,,
Comazfec virus 12,3112659,,,
Comazfec virus 13,3112660,,,
Comazfec virus 14,3112661,,,
Comazfec virus 15,3112662,,,
Comazfec virus 16,3112663,,,
Comazfec virus 17,3112664,,,
Malazfec virus 1,3112667,,,
Malazfec virus 9,3112675,,,
Malazfec virus 10,3112676,,,
Malazfec virus 11,3112677,,,
Malazfec virus 12,3112678,,,
Malazfec virus 13,3112679,,,
Malazfec virus 14,3112680,,,
Malazfec virus 15,3112681,,,
Malazfec virus 16,3112682,,,
Malazfec virus 17,3112683,,,
Malazfec virus 18,3112684,,,
Malazfec virus 19,3112685,Geplafuvirales,Genomoviridae,
Malazfec virus 20,3112686,Geplafuvirales,Genomoviridae,
Malazfec virus 21,3112687,Geplafuvirales,Genomoviridae,
Malazfec virus 22,3112688,,,
Malazfec virus 23,3112689,,,
Malazfec virus 24,3112690,,,
Malazfec virus 25,3112691,,,
Short beak and dwarfism syndrome virus,3118410,Piccovirales,Parvoviridae,
,Not found,,,
Anser circovirus,3113012,Cirlivirales,Circoviridae,
Anas platyrhynchos papillomavirus 3,3112618,Zurhausenvirales,Papillomaviridae,
unidentified influenza virus,11309,Articulavirales,Orthomyxoviridae,
Mute swan associated circo-like virus,3104762,Cirlivirales,Circoviridae,
Chaphamaparvovirus anseriform 7,3104763,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus anseriform 8,3104764,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus anseriform 9,3104765,Piccovirales,Parvoviridae,Chaphamaparvovirus
Sturnus papillomavirus,3106067,Zurhausenvirales,Papillomaviridae,
Thinornis picornavirus,3106068,Picornavirales,Picornaviridae,
Grus nigricollis-associatied genomovirus,3077354,Geplafuvirales,Genomoviridae,
Grusopivirus sp.,2809444,Picornavirales,Picornaviridae,Grusopivirus
Yellow-eyed penguin picornavirus,3085108,Picornavirales,Picornaviridae,
Psittaciform chaphamaparvovirus 4,3090915,Piccovirales,Parvoviridae,Chaphamaparvovirus
Psittaciform chaphamaparvovirus 5,3090916,Piccovirales,Parvoviridae,Chaphamaparvovirus
Psittaciform chaphamaparvovirus 6,3090917,Piccovirales,Parvoviridae,Chaphamaparvovirus
Canary chaphamaparvovirus 1,3085220,Piccovirales,Parvoviridae,Chaphamaparvovirus
Canary chaphamaparvovirus 2,3085221,Piccovirales,Parvoviridae,Chaphamaparvovirus
Columba livia papillomavirus 1,3080879,Zurhausenvirales,Papillomaviridae,
Tetrao urogallus alphaherpesvirus 1,3077833,Herpesvirales,Orthoherpesviridae,
Strix nebulosa herpesvirus,3074439,Herpesvirales,,
Zoothera dauma adenovirus,3073259,Rowavirales,Adenoviridae,
Bird calicivirus,3069714,Picornavirales,Caliciviridae,
Duck picornavirus,2874388,Picornavirales,Picornaviridae,
Goose parvovirus SDDY21,3062345,Piccovirales,Parvoviridae,
Goose parvovirus SDJN21,3062346,Piccovirales,Parvoviridae,
Goose parvovirus SDWF22,3062347,Piccovirales,Parvoviridae,
Rockhopper penguin papillomavirus,2962496,Zurhausenvirales,Papillomaviridae,
Oriental turtle dovepox virus,3051319,Chitovirales,Poxviridae,
Coronavirus PREDICT_CoV-100,2717633,Nidovirales,Coronaviridae,
Buteo buteo herpesvirus,2928393,Herpesvirales,,
Psittacid alphaherpesvirus 6,3042376,Herpesvirales,Orthoherpesviridae,
Psittaciform parvoviridae sp.,3042448,Piccovirales,Parvoviridae,
Psittacine picornavirus,3042449,Picornavirales,Picornaviridae,
Chaphamaparvovirus sp.,2809295,Piccovirales,Parvoviridae,Chaphamaparvovirus
Fregata magnificens alphaherpesvirus 1,3040023,Herpesvirales,,
Riboviria sp.,2585031,,,
Bird parvovirus,3029445,Piccovirales,Parvoviridae,
ssDNA virus sp.,2593122,,,
Cooks petrelpox virus,3019552,Chitovirales,Poxviridae,
Avian associated calicivirus 5,2996223,Picornavirales,Caliciviridae,
Avian associated hepe-like virus 10,2996224,Hepelivirales,Hepeviridae,
Avian associated picorna-like virus 15,2996209,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 14,2996208,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 20,2996214,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 21,2996215,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 19,2996213,Picornavirales,Picornaviridae,
Avian associated hepe-like virus 8,2996226,Hepelivirales,Hepeviridae,
Avian associated picorna-like virus 25,2996219,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 22,2996216,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 17,2996211,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 16,2996210,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 13,2996207,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 24,2996218,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 18,2996212,Picornavirales,Picornaviridae,
Avian associated hepe-like virus 9,2996227,Hepelivirales,Hepeviridae,
Avian associated picorna-like virus 23,2996217,Picornavirales,Picornaviridae,
Avian associated hepe-like virus 7,2996225,Hepelivirales,Hepeviridae,
Avian associated picorna-like virus 27,2996221,Picornavirales,Picornaviridae,
Avian associated picorna-like virus 26,2996220,Picornavirales,Picornaviridae,
Psittaciform chaphamaparvovirus 3,2928890,Piccovirales,Parvoviridae,Chaphamaparvovirus
trumpeter swan calicivirus,2992313,Picornavirales,Caliciviridae,
Crowpox virus,2942216,Chitovirales,Poxviridae,
Wigfec virus K19_227,2985990,,,
Wigfec virus K19_426,2985991,,,
Wigfec virus K19_432,2985992,,,
Wigfec virus K19_450,2985993,,,
Wigfec virus K19_484,2985994,,,
Wigfec virus K19_486,2985995,,,
Wigfec virus K19_494,2985996,,,
Wigfec virus K19_511,2985997,,,
Wigfec virus K19_521,2985998,,,
Wigfec virus K19_545,2985999,,,
Wigfec virus K19_562,2986000,,,
Wigfec virus K19_588,2986001,,,
Wigfec virus K19_598,2986002,,,
Wigfec virus K19_605,2986003,,,
Wigfec virus K19_623,2986004,,,
Wigfec virus K19_658,2986005,,,
Wigfec virus K19_292,2986006,,,
Wigfec virus K19_346,2986007,,,
Wigfec virus K19_385,2986008,,,
Wigfec virus K19_525,2986009,,,
Wigfec virus K19_555,2986010,,,
Wigfec virus K19_558,2986011,,,
Wigfec virus K19_561,2986012,,,
Wigfec virus K19_571,2986013,,,
Wigfec virus K19_593,2986014,,,
Wigfec virus K19_600,2986015,,,
Wigfec virus K19_645,2986016,,,
Wigfec virus K19_654,2986017,,,
Wigfec virus K19_668,2986018,,,
Wigfec virus K19_691,2986019,,,
Wigfec virus K19_221,2986020,,,
Wigfec virus K19_259,2986021,,,
Wigfec virus K19_327,2986022,,,
Wigfec virus K19_443,2986023,,,
Wigfec virus K19_493,2986024,,,
Wigfec virus K19_526,2986025,,,
Wigfec virus K19_576,2986026,,,
Wigfec virus K19_615,2986027,,,
Wigfec virus K19_448,2986028,,,
Wigfec virus K19_454,2986029,,,
Wigfec virus K19_513,2986030,,,
Zingilamo virus,2983543,Martellivirales,Togaviridae,
Meleagrid alphaherpesvirus 2,2982300,Herpesvirales,Orthoherpesviridae,
Temminck's stint calicivirus,2976936,Picornavirales,Caliciviridae,
Crow astrovirus,2976362,Stellavirales,Astroviridae,
Wood pigeon astrovirus,928292,Stellavirales,Astroviridae,
Astroviridae sp.,2585114,Stellavirales,Astroviridae,
Raptor adenovirus,2963835,Rowavirales,Adenoviridae,
Anas platyrhynchos papillomavirus 2,2855326,Zurhausenvirales,Papillomaviridae,
Avian associated bastrovirus 2,2936950,Stellavirales,Astroviridae,
Avian astrovirus 2,2936979,Stellavirales,Astroviridae,
Avian associated bastrovirus 1,2936949,Stellavirales,Astroviridae,
Avian associated hepe-like virus 1,2936955,Hepelivirales,Hepeviridae,
Avian associated hepe-like virus 2,2936956,Hepelivirales,Hepeviridae,
Avian associated hepe-like virus 3,2936957,Hepelivirales,Hepeviridae,
Avian associated hepe-like virus 4,2936958,Hepelivirales,Hepeviridae,
Avian associated hepe-like virus 5,2936959,Hepelivirales,Hepeviridae,
Avian associated hepe-like virus 6,2936960,Hepelivirales,Hepeviridae,
Turdid alphaherpesvirus 1,2936981,Herpesvirales,Orthoherpesviridae,
Avian associated calicivirus 1,2936951,Picornavirales,Caliciviridae,
Avian associated calicivirus 2,2936952,Picornavirales,Caliciviridae,
Avian associated calicivirus 3,2936953,Picornavirales,Caliciviridae,
Avian associated calicivirus 4,2936954,Picornavirales,Caliciviridae,
Avian associated picorna-like virus 1,2936962,Picornavirales,,
Avian associated picorna-like virus 2,2936965,Picornavirales,,
Avian associated picorna-like virus 3,2936966,Picornavirales,,
Avian associated picorna-like virus 4,2936967,Picornavirales,,
Avian associated picorna-like virus 5,2936968,Picornavirales,,
Avian associated picorna-like virus 6,2936969,Picornavirales,,
Avian associated picorna-like virus 7,2936970,Picornavirales,,
Avian associated picorna-like virus 8,2936971,Picornavirales,,
Avian associated picorna-like virus 9,2936972,Picornavirales,,
Avian associated picorna-like virus 10,2936963,Picornavirales,,
Avian associated picorna-like virus 11,2936964,Picornavirales,,
Avian associated reo-like virus 1,2936973,Reovirales,,
Avian associated reo-like virus 2,2936974,Reovirales,,
Avian associated reo-like virus 3,2936975,Reovirales,,
Avian associated reo-like virus 4,2936976,Reovirales,,
Avian associated reo-like virus 5,2936977,Reovirales,,
Avian associated reo-like virus 6,2936978,Reovirales,,
Galliform chaphamaparvovirus 6,2928886,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 7,2928887,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 8,2928888,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 9,2928889,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 10,2928878,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 11,2928879,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 12,2928880,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 13,2928881,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 14,2928882,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 15,2928883,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 16,2928884,Piccovirales,Parvoviridae,Chaphamaparvovirus
Galliform chaphamaparvovirus 17,2928885,Piccovirales,Parvoviridae,Chaphamaparvovirus
Pigeon-dominant Coronavirus,1649336,Nidovirales,Coronaviridae,
Avon-Heathcote Estuary associated circular virus 25,1618249,Cirlivirales,Circoviridae,
Mute swan feces associated calicivirus,2832256,Picornavirales,Caliciviridae,
Mute swan feces associated chapparvovirus 1,2832239,Piccovirales,Parvoviridae,Chapparvovirus
Mute swan feces associated chapparvovirus 2,2832240,Piccovirales,Parvoviridae,Chapparvovirus
Mute swan feces associated chapparvovirus 3,2832241,Piccovirales,Parvoviridae,Chapparvovirus
Mute swan feces associated chapparvovirus 4,2832242,Piccovirales,Parvoviridae,Chapparvovirus
Mute swan feces associated chapparvovirus 5,2832243,Piccovirales,Parvoviridae,Chapparvovirus
Mute swan feces associated chapparvovirus 6,2832244,Piccovirales,Parvoviridae,Chapparvovirus
Mute swan feces associated circular virus 1,2832259,,,
Mute swan feces associated circular virus 2,2832268,,,
Mute swan feces associated circular virus 3,2832269,,,
Mute swan feces associated circular virus 4,2832270,,,
Mute swan feces associated circular virus 5,2832271,,,
Mute swan feces associated circular virus 6,2832272,,,
Mute swan feces associated circular virus 7,2832273,,,
Mute swan feces associated circular virus 8,2832274,,,
Mute swan feces associated circular virus 9,2832275,,,
Mute swan feces associated circular virus 10,2832260,,,
Mute swan feces associated circular virus 11,2832261,,,
Mute swan feces associated circular virus 12,2832262,,,
Mute swan feces associated circular virus 13,2832263,,,
Mute swan feces associated circular virus 14,2832264,,,
Mute swan feces associated circular virus 15,2832265,,,
Mute swan feces associated circular virus 16,2832266,,,
Mute swan feces associated circular virus 17,2832267,,,
Mute swan feces associated noda-like virus 1,2832173,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 2,2832174,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 3,2832175,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 4,2832176,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 5,2832177,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 6,2832178,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 7,2832179,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 8,2832180,Nodamuvirales,Nodaviridae,
Mute swan feces associated noda-like virus 9,2832181,Nodamuvirales,Nodaviridae,
Mute swan feces associated partitiviridae A,2832153,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae B,2832154,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae C,2832155,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae D,2832156,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae E,2832157,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae F,2832158,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae G,2832159,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae H,2832160,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae I,2832161,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae J,2832162,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae K,2832163,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae L,2832164,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae M,2832165,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae N,2832166,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae O,2832167,Durnavirales,Partitiviridae,
Mute swan feces associated partitiviridae 1,2832152,Durnavirales,Partitiviridae,
Mute swan feces associated picorna-like virus 1,2832182,Picornavirales,,
Mute swan feces associated picorna-like virus 2,2832193,Picornavirales,,
Mute swan feces associated picorna-like virus 3,2832204,Picornavirales,,
Mute swan feces associated picorna-like virus 4,2832205,Picornavirales,,
Mute swan feces associated picorna-like virus 5,2832206,Picornavirales,,
Mute swan feces associated picorna-like virus 6,2832207,Picornavirales,,
Mute swan feces associated picorna-like virus 7,2832208,Picornavirales,,
Mute swan feces associated picorna-like virus 8,2832209,Picornavirales,,
Mute swan feces associated picorna-like virus 9,2832210,Picornavirales,,
Mute swan feces associated picorna-like virus 10,2832183,Picornavirales,,
Mute swan feces associated picorna-like virus 11,2832184,Picornavirales,,
Mute swan feces associated picorna-like virus 12,2832185,Picornavirales,,
Mute swan feces associated picorna-like virus 13,2832186,Picornavirales,,
Mute swan feces associated picorna-like virus 14,2832187,Picornavirales,,
