Species,NCBI Taxon ID,Order,Family,Genus,CE_clathrin,CE_receptor,CE_glycoproteins,other,finished
Porprismacovirus chicas5,2845888,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
Genomoviridae sp.,2202565,Geplafuvirales,Genomoviridae,,0.0,1.0,0.0,0.0,1.0
Smacoviridae sp.,2715094,Cremevirales,Smacoviridae,,0.0,0.0,0.0,0.0,1.0
Paslahepevirus balayani,1678143,Hepelivirales,Hepeviridae,Paslahepevirus,1.0,0.0,0.0,0.0,1.0
Nyavirus somateriae,2956231,Mononegavirales,Nyamiviridae,Nyavirus,0.0,0.0,1.0,0.0,1.0
Aviadenovirus leucophthalmi,2955388,,,,,,,,
Nauglamirvirus anduin,2956213,Rivendellvirales,Naryaviridae,Nauglamirvirus,0.0,1.0,0.0,0.0,1.0
Sunrhavirus nasoule,2956485,Mononegavirales,Rhabdoviridae,Sunrhavirus,0.0,0.0,1.0,0.0,1.0
Sunrhavirus ouango,2956483,Mononegavirales,Rhabdoviridae,Sunrhavirus,0.0,0.0,1.0,0.0,1.0
Sunrhavirus alexandria,2956478,Mononegavirales,Rhabdoviridae,Sunrhavirus,0.0,0.0,1.0,0.0,1.0
Sunrhavirus matariya,2956482,Mononegavirales,Rhabdoviridae,Sunrhavirus,0.0,0.0,1.0,0.0,1.0
Cacatuid alphaherpesvirus 2,2604840,Herpesvirales,Orthoherpesviridae,,0.0,0.0,1.0,0.0,1.0
Pileated finch aveparvovirus,2137544,Piccovirales,Parvoviridae,Aveparvovirus,1.0,0.0,0.0,0.0,1.0
Iltovirus psittacidalpha5,3060048,Herpesvirales,Orthoherpesviridae,Iltovirus,0.0,0.0,1.0,0.0,1.0
Avian chapparvovirus,2604334,Piccovirales,Parvoviridae,Chapparvovirus,1.0,0.0,0.0,0.0,1.0
Dependoparvovirus avian1,1511894,Piccovirales,Parvoviridae,Dependoparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform4,3059860,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform1,3059857,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform2,3059858,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform3,3059859,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus strigiform1,3059872,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform5,3059861,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform6,3059862,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Rhabdoviridae sp.,1955137,Mononegavirales,Rhabdoviridae,,0.0,0.0,1.0,0.0,1.0
Cyclovirus totoi,3059946,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Cyclovirus pettirosso,3059936,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Cyclovirus punarinta,3059940,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Cyclovirus rudzik,3059942,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Cyclovirus prihor,3059938,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Cyclovirus cervienka,3059916,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Cyclovirus liepsnele,3059924,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
WigFec circovirus 1,2873951,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
WigFec circovirus 2,2873952,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Phapecoctavirus TSP7,2956303,,,Phapecoctavirus,,,,,
Poecivirus A,2560644,Picornavirales,Picornaviridae,Poecivirus,0.0,1.0,0.0,0.0,1.0
Uukuvirus uriae,3052810,Bunyavirales,Phenuiviridae,Uukuvirus,0.0,1.0,0.0,0.0,1.0
Sunrhavirus garba,2734404,Mononegavirales,Rhabdoviridae,Sunrhavirus,0.0,0.0,1.0,0.0,1.0
Circovirus penguin,3048261,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Quaranjavirus chadense,2956349,Articulavirales,Orthomyxoviridae,Quaranjavirus,0.0,0.0,1.0,0.0,1.0
Avian coronavirus,694014,Nidovirales,Coronaviridae,Gammacoronavirus,0.0,0.0,1.0,0.0,1.0
Canada goose coronavirus,2569586,Nidovirales,Coronaviridae,Gammacoronavirus,0.0,0.0,1.0,0.0,1.0
Quailpox virus,400570,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Great tit siadenovirus A,1146876,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Nacovirus A,2560612,Picornavirales,Caliciviridae,Nacovirus,0.0,1.0,0.0,0.0,1.0
Orthobunyavirus ingwavumaense,3052400,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Orthobunyavirus mermetense,3052421,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Chicken stool associated circular virus 2,2109374,,,,,,,,
Chicken stool associated circular virus 1,2109373,,,,,,,,
Chicken picobirnavirus,1930304,Durnavirales,Picobirnaviridae,Picobirnavirus,0.0,1.0,0.0,0.0,1.0
Apteryx rowi circovirus-like virus,1634476,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Serinus canaria papillomavirus 1,2094713,Zurhausenvirales,Papillomaviridae,Etapapillomavirus,0.0,0.0,1.0,0.0,1.0
Aveparvovirus gruiform1,3051984,Piccovirales,Parvoviridae,Aveparvovirus,1.0,0.0,0.0,0.0,1.0
Cyclovirus naahoohai,3047745,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Adeno-associated virus,272636,Piccovirales,Parvoviridae,Dependoparvovirus,1.0,0.0,0.0,0.0,1.0
Ludopivirus A,2734539,Picornavirales,Picornaviridae,Ludopivirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus hydho1,2844806,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Orthonairovirus tunisense,3052539,Bunyavirales,Nairoviridae,Orthonairovirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus kazakhstanense,3051369,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Blackbird arilivirus,2099352,Picornavirales,,,0.0,1.0,0.0,0.0,1.0
Avian HDV-like agent,2364132,,Kolmioviridae,Deltavirus,0.0,1.0,0.0,0.0,1.0
Bulbul coronavirus HKU11,574549,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Orthobornavirus estrildidae,1548721,Mononegavirales,Bornaviridae,Orthobornavirus,0.0,0.0,1.0,0.0,1.0
Tupavirus durham,1972581,Mononegavirales,Rhabdoviridae,Tupavirus,0.0,0.0,1.0,0.0,1.0
Avisivirus A,1511772,Picornavirales,Picornaviridae,Avisivirus,0.0,1.0,0.0,0.0,1.0
Kunsagivirus A,1755590,Picornavirales,Picornaviridae,Kunsagivirus,0.0,1.0,0.0,0.0,1.0
Fowl aviadenovirus E,190065,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Cyclovirus adie,3047744,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Megrivirus B,2170005,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Megrivirus E,2170008,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Metaavulavirus japanense,3051366,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Orthoavulavirus upoense,3051378,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Orthoavulavirus borisense,3051379,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Orthoavulavirus kopaiticense,3051380,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Orthoavulavirus oneillense,3051381,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Psittacine aviadenovirus B,2169709,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Gammapolyomavirus egouldiae,2955939,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Gammapolyomavirus lonmaja,2169904,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Huchismacovirus chicas1,2844965,Cremevirales,Smacoviridae,Huchismacovirus,0.0,0.0,0.0,0.0,1.0
Huchismacovirus chicas2,2844966,Cremevirales,Smacoviridae,Huchismacovirus,0.0,0.0,0.0,0.0,1.0
Orthobunyavirus teteense,3052448,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Orthobornavirus alphapsittaciforme,1548713,Mononegavirales,Bornaviridae,Orthobornavirus,0.0,0.0,1.0,0.0,1.0
Orthobornavirus betapsittaciforme,1884878,Mononegavirales,Bornaviridae,Orthobornavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus hongkongense,3051372,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus delawarense,3051374,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Orthoavulavirus javaense,3051375,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus yucaipaense,3051368,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Megrivirus C,2170006,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Flamingopox virus FGPVKD09,2059380,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Falcon picornavirus,1964370,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Garrulus glandarius associated circular virus 1,2006642,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Tinamou hepatitis B virus,2018685,Blubervirales,Hepadnaviridae,Avihepadnavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus peixense,3051367,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Cyclovirus kacsa,3047812,Cirlivirales,Circoviridae,Cyclovirus,1.0,0.0,0.0,0.0,1.0
Megrivirus D,2170007,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Hapavirus landjia,1972618,Mononegavirales,Rhabdoviridae,Hapavirus,0.0,1.0,0.0,0.0,1.0
Goose astrovirus,1349999,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Mardivirus columbidalpha1,3050267,Herpesvirales,Orthoherpesviridae,Mardivirus,0.0,0.0,1.0,0.0,1.0
Megrivirus A,2170004,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Jingmen tombus-like virus 1,1923351,,,,,,,,
Jingmen tombus-like virus 2,1938656,,,,,,,,
Mardivirus spheniscidalpha1,3048326,Herpesvirales,Orthoherpesviridae,Mardivirus,0.0,0.0,1.0,0.0,1.0
Jingmen picorna-like virus,1923350,,,,,,,,
Bavaria virus,2560343,Picornavirales,Caliciviridae,Bavovirus,0.0,1.0,0.0,0.0,1.0
Gemykrogvirus galga2,2844629,Geplafuvirales,Genomoviridae,Gemykrogvirus,0.0,1.0,0.0,0.0,1.0
Chicken stool-associated circular virus,1930302,,,,,,,,
Pigeon aviadenovirus B,2169708,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Orthobornavirus serini,1548720,Mononegavirales,Bornaviridae,Orthobornavirus,0.0,0.0,1.0,0.0,1.0
Orthobornavirus avisaquaticae,1548722,Mononegavirales,Bornaviridae,Orthobornavirus,0.0,0.0,1.0,0.0,1.0
Orthoavulavirus japanense,3051377,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Penguin siadenovirus A,2005055,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Duck faeces associated circular DNA virus 1,1843768,,,,,,,,
Duck faeces associated circular DNA virus 2,1843769,,,,,,,,
Duck faeces associated circular DNA virus 3,1843770,,,,,,,,
Gemygorvirus malas1,2844550,Geplafuvirales,Genomoviridae,Gemygorvirus,0.0,1.0,0.0,0.0,1.0
Gemykibivirus sewopo1,2844603,Geplafuvirales,Genomoviridae,Gemykibivirus,0.0,1.0,0.0,0.0,1.0
Gemycircularvirus chicas2,2844428,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Gemycircularvirus chicas1,2844427,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Gallivirus Pf-CHK1/GV,1766557,Picornavirales,Picornaviridae,Gallivirus,0.0,1.0,0.0,0.0,1.0
Avisivirus Pf-CHK1/AsV,1766559,Picornavirales,Picornaviridae,Avisivirus,0.0,1.0,0.0,0.0,1.0
Sicinivirus A,1755588,Picornavirales,Picornaviridae,Sicinivirus,0.0,1.0,0.0,0.0,1.0
Turkeypox virus,336486,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Gemycircularvirus chickad1,2844429,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus fulgla1,2844799,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Astrovirus Er/SZAL6/HUN/2011,1671382,Stellavirales,Astroviridae,,0.0,1.0,0.0,0.0,1.0
Circovirus zebrafinch,3048458,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Harkavirus A,2003391,Picornavirales,Picornaviridae,Harkavirus,0.0,1.0,0.0,0.0,1.0
Orthoflavivirus cacipacoreense,3052463,Amarillovirales,Flaviviridae,Orthoflavivirus,1.0,0.0,0.0,0.0,1.0
Gammapolyomavirus padeliae,1891750,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Psittacine atadenovirus A,2003673,Rowavirales,Adenoviridae,Atadenovirus,0.0,0.0,1.0,0.0,1.0
Quaranjavirus wellfleetense,2956351,Articulavirales,Orthomyxoviridae,Quaranjavirus,0.0,0.0,1.0,0.0,1.0
Gemytondvirus ostri1,2844644,Geplafuvirales,Genomoviridae,Gemytondvirus,0.0,1.0,0.0,0.0,1.0
Gemygorvirus stara1,2844555,Geplafuvirales,Genomoviridae,Gemygorvirus,0.0,1.0,0.0,0.0,1.0
Gemykibivirus blabi1,2844561,Geplafuvirales,Genomoviridae,Gemykibivirus,0.0,1.0,0.0,0.0,1.0
Gemykibivirus blaro1,2844562,Geplafuvirales,Genomoviridae,Gemykibivirus,0.0,1.0,0.0,0.0,1.0
Gemycircularvirus malas1,2844476,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Gemycircularvirus geras1,2844445,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Gemycircularvirus geras2,2844446,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Gemycircularvirus geras3,2844447,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Orivirus A,2170052,Picornavirales,Picornaviridae,Orivirus,0.0,1.0,0.0,0.0,1.0
Orthoavulavirus newyorkense,3051383,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Sunrhavirus sunguru,2734408,Mononegavirales,Rhabdoviridae,Sunrhavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus galliense,3051365,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus tennessense,3051373,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus falklandense,2560309,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Metaavulavirus kunitachiense,3051371,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Orthoavulavirus italiense,3051376,Mononegavirales,Paramyxoviridae,Orthoavulavirus,0.0,0.0,1.0,0.0,1.0
Paraavulavirus wisconsinense,3052594,Mononegavirales,Paramyxoviridae,Paraavulavirus,0.0,0.0,1.0,0.0,1.0
Farmington virus,1027468,Mononegavirales,Rhabdoviridae,,0.0,0.0,1.0,0.0,1.0
Circovirus swan,3048350,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Chicken picornavirus 1,1534544,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Avisivirus B,1985982,Picornavirales,Picornaviridae,Avisivirus,0.0,1.0,0.0,0.0,1.0
Avisivirus C,1985983,Picornavirales,Picornaviridae,Avisivirus,0.0,1.0,0.0,0.0,1.0
Chicken picornavirus 4,1534547,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Gallivirus A,1511776,Picornavirales,Picornaviridae,Gallivirus,0.0,1.0,0.0,0.0,1.0
Duck aviadenovirus B,1534553,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Umatilla virus,40060,Reovirales,Sedoreoviridae,Orbivirus,1.0,0.0,0.0,0.0,1.0
Pigeon aviadenovirus A,1548417,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Penguinpox virus,648998,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Pigeonpox virus,10264,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Treiszetapapillomavirus 1,1922208,Zurhausenvirales,Papillomaviridae,Treiszetapapillomavirus,0.0,1.0,0.0,0.0,1.0
Goose calicivirus,1493858,Picornavirales,Caliciviridae,,0.0,1.0,0.0,0.0,1.0
Aalivirus apekidu,2169685,Picornavirales,Picornaviridae,Aalivirus,0.0,1.0,0.0,0.0,1.0
Mosavirus A,1481452,Picornavirales,Picornaviridae,Mosavirus,1.0,0.0,0.0,0.0,1.0
Treisepsilonpapillomavirus 1,1921778,Zurhausenvirales,Papillomaviridae,Treisepsilonpapillomavirus,0.0,1.0,0.0,0.0,1.0
Cyanoramphus nest associated circular X DNA virus,1282443,,,,,,,,
Cyanoramphus nest associated circular K DNA virus,1282444,,,,,,,,
Porprismacovirus turas1,2845936,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
Melegrivirus A,1330070,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Gammapolyomavirus cratorquatus,1891749,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Turkey aviadenovirus C,1962301,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Turkey aviadenovirus D,1962302,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Rotavirus F,183405,Reovirales,Sedoreoviridae,Rotavirus,0.0,0.0,1.0,0.0,1.0
Rotavirus G,183407,Reovirales,Sedoreoviridae,Rotavirus,0.0,0.0,1.0,0.0,1.0
Fowl aviadenovirus B,190062,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Gammapolyomavirus secanaria,1891752,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Goose aviadenovirus A,1193420,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
White-eye coronavirus HKU16,1159907,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Sparrow coronavirus HKU17,1159906,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Magpie-robin coronavirus HKU18,1159903,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Night heron coronavirus HKU19,1159904,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Wigeon coronavirus HKU20,1159908,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Common moorhen coronavirus HKU21,1159902,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Parrot hepatitis B virus,1128118,Blubervirales,Hepadnaviridae,Avihepadnavirus,0.0,0.0,1.0,0.0,1.0
