,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
68,Chaphamaparvovirus anseriform4,Anas superciliosa,1,0,0,1
69,Chaphamaparvovirus anseriform1,Anas castanea,1,0,0,1
70,Chaphamaparvovirus anseriform2,Anas castanea,1,0,0,1
71,Chaphamaparvovirus anseriform3,Anas castanea,1,0,0,1
72,Chaphamaparvovirus strigiform1,Tyto alba,2,1,0,1
73,Chaphamaparvovirus anseriform5,Anas rubripes,2,1,0,1
74,Chaphamaparvovirus anseriform6,Anas rubripes,4,3,0,1
75,Rhabdoviridae sp.,Aves,1,0,0,1
76,Cyclovirus totoi,Petroica australis,1,0,0,1
77,Cyclovirus pettirosso,Petroica australis,1,0,0,1
78,Cyclovirus punarinta,Petroica australis,1,0,0,1
79,Cyclovirus rudzik,Petroica australis,1,0,0,1
80,Cyclovirus prihor,Petroica australis,1,0,0,1
81,Cyclovirus cervienka,Petroica australis,1,0,0,1
82,Cyclovirus liepsnele,Petroica australis,1,0,0,1
83,WigFec circovirus 1,Mareca americana,9,8,0,9
84,WigFec circovirus 2,Mareca americana,3,2,0,3
85,Phapecoctavirus TSP7,Columba livia,2,1,0,2
86,Poecivirus A,Poecile atricapillus,2,1,0,1
87,Uukuvirus uriae,Uria,6,3,0,3
88,Psittacine aviadenovirus C,Psittacula alexandri,2,1,0,1
89,Sunrhavirus garba,Corythornis cristatus,3,2,0,1
90,Circovirus penguin,Pygoscelis adeliae,6,5,0,6
91,Quaranjavirus chadense,Ploceus vitellinus,14,7,0,14
92,Avian coronavirus,Gallus gallus,14088,14087,0,608
93,Avian coronavirus,Anatidae,233,232,0,5
94,Canada goose coronavirus,Branta canadensis,2,1,0,2
95,Quailpox virus,Galliformes,2,1,0,1
96,Great tit siadenovirus A,Parus major,2,1,0,1
97,Nacovirus A,Meleagris gallopavo,2,1,0,1
98,Orthobunyavirus ingwavumaense,Ploceus ocularis,6,3,0,3
99,Orthobunyavirus mermetense,Progne subis,6,3,0,3
100,Chicken stool associated circular virus 2,Gallus gallus,2,1,0,2
101,Chicken stool associated circular virus 1,Gallus gallus,2,1,0,2
102,Chicken picobirnavirus,Gallus gallus,50,48,0,15
103,Apteryx rowi circovirus-like virus,Apteryx rowi,2,1,0,2
104,Serinus canaria papillomavirus 1,Serinus canaria,2,1,0,2
105,Aveparvovirus gruiform1,Grus japonensis,6,4,0,6
106,Cyclovirus naahoohai,Gallus gallus,2,1,0,2
107,Adeno-associated virus,Cairina moschata,2,1,0,2
108,Ludopivirus A,Anser albifrons,2,1,0,2
109,Gyrovirus hydho1,Oceanodroma homochroa,2,1,0,2
110,Orthonairovirus tunisense,Columbidae,6,3,0,6
111,Metaavulavirus kazakhstanense,Laridae,2,1,0,2
112,Blackbird arilivirus,Turdus merula,2,1,0,2
113,Avian HDV-like agent,Anas,1,0,0,1
114,Bulbul coronavirus HKU11,Pycnonotus jocosus,2,1,0,2
115,Orthobornavirus estrildidae,Estrilda troglodytes,3,2,0,1
116,Tupavirus durham,Aves,2,1,0,1
117,Avisivirus A,Meleagris gallopavo,7,6,0,2
118,Kunsagivirus A,Coracias garrulus,2,1,0,2
119,Fowl aviadenovirus E,Gallus gallus,591,589,0,42
120,Cyclovirus adie,Gallus gallus,4,2,0,4
121,Megrivirus B,Columbidae,2,1,0,1
122,Megrivirus E,Pygoscelis adeliae,3,2,0,3
123,Metaavulavirus japanense,Anatidae,3,2,0,3
124,Orthoavulavirus upoense,Anas platyrhynchos,4,3,0,2
125,Orthoavulavirus borisense,Pygoscelis papua,2,1,0,2
126,Orthoavulavirus kopaiticense,Pygoscelis papua,2,1,0,2
127,Orthoavulavirus oneillense,Pygoscelis papua,2,1,0,2
128,Psittacine aviadenovirus B,Poicephalus rufiventris,2,1,0,2
129,Gammapolyomavirus egouldiae,Chloebia gouldiae,2,1,0,2
130,Gammapolyomavirus lonmaja,Lonchura maja,2,1,0,2
131,Huchismacovirus chicas1,Gallus gallus,3,2,0,3
132,Huchismacovirus chicas2,Gallus gallus,2,1,0,2
133,Orthobunyavirus teteense,Ploceus cucullatus,9,6,0,3
134,Orthobornavirus alphapsittaciforme,Diopsittaca nobilis,12,11,0,1
135,Orthobornavirus betapsittaciforme,Ara ararauna,3,2,0,2
136,Metaavulavirus hongkongense,Anser,2,1,0,2
137,Metaavulavirus delawarense,Branta canadensis,3,2,0,3
138,Orthoavulavirus javaense,Anas platyrhynchos,491,490,0,46
139,Metaavulavirus yucaipaense,Gallus gallus,51,50,0,5
140,Megrivirus C,Gallus gallus,30,28,0,5
141,Flamingopox virus FGPVKD09,Phoeniconaias minor,2,1,0,2
142,Falcon picornavirus,Falco vespertinus,2,1,0,1
143,Garrulus glandarius associated circular virus 1,Garrulus glandarius,2,1,0,2
144,Tinamou hepatitis B virus,Eudromia elegans,3,2,0,3
145,Metaavulavirus peixense,Calidris fuscicollis,3,2,0,1
146,Cyclovirus kacsa,Anas platyrhynchos,3,2,0,3
147,Megrivirus D,Circus aeruginosus,2,1,0,2
148,Hapavirus landjia,Riparia paludicola,3,2,0,1
149,Goose astrovirus,Anser,6,5,0,2
150,Mardivirus columbidalpha1,Columba livia,30,29,0,2
151,Megrivirus A,Anatidae,3,2,0,3
152,Jingmen tombus-like virus 1,Phasianus colchicus,2,1,0,1
153,Jingmen tombus-like virus 2,Phasianus colchicus,2,1,0,1
154,Mardivirus spheniscidalpha1,Spheniscus demersus,2,1,0,2
155,Jingmen picorna-like virus,Phasianus colchicus,2,1,0,1
156,Bavaria virus,Gallus gallus,41,40,0,5
157,Gemykrogvirus galga2,Gallus gallus,3,2,0,3
158,Chicken stool-associated circular virus,Gallus gallus,2,1,0,2
159,Pigeon aviadenovirus B,Columba livia,32,31,0,2
160,Orthobornavirus alphapsittaciforme,Ara ararauna,17,16,0,2
161,Orthobornavirus serini,Serinus canaria,76,74,0,3
162,Orthobornavirus avisaquaticae,Anatidae,2,1,0,1
163,Orthoavulavirus japanense,Anser sp.,4,3,0,4
164,Penguin siadenovirus A,Pygoscelis antarcticus,3,2,0,2
165,Duck faeces associated circular DNA virus 1,Anas platyrhynchos,2,1,0,2
166,Duck faeces associated circular DNA virus 2,Anas platyrhynchos,2,1,0,2
167,Duck faeces associated circular DNA virus 3,Anas platyrhynchos,2,1,0,2
168,Gemygorvirus malas1,Anas platyrhynchos,3,2,0,3
169,Gemykibivirus sewopo1,Gallus gallus,2,1,0,2
170,Gemycircularvirus chicas2,Gallus gallus,2,1,0,2
171,Gemycircularvirus chicas1,Gallus gallus,2,1,0,2
172,Orthobornavirus avisaquaticae,Branta canadensis,46,45,0,3
173,Gallivirus Pf-CHK1/GV,Gallus gallus,2,1,0,2
174,Avisivirus Pf-CHK1/AsV,Gallus gallus,2,1,0,2
175,Sicinivirus A,Gallus gallus,16,14,0,8
176,Turkeypox virus,Meleagris gallopavo,15,14,0,2
177,Gemycircularvirus chickad1,Poecile atricapillus,2,1,0,2
178,Gyrovirus fulgla1,Fulmarus glacialis,2,1,0,2
179,Astrovirus Er/SZAL6/HUN/2011,Coracias garrulus,2,1,0,2
180,Circovirus zebrafinch,Taeniopygia guttata,21,20,0,7
181,Harkavirus A,Falco tinnunculus,3,2,0,2
182,Orthoflavivirus cacipacoreense,Formicarius analis,2,1,0,2
183,Gammapolyomavirus padeliae,Pygoscelis adeliae,2,1,0,2
184,Psittacine atadenovirus A,Amazona farinosa,2,1,0,2
185,Quaranjavirus wellfleetense,Somateria mollissima,14,7,0,14
186,Gemytondvirus ostri1,Struthio camelus,2,1,0,2
187,Gemygorvirus stara1,Sturnus vulgaris,2,1,0,2
188,Gemykibivirus blabi1,Turdus merula,2,1,0,2
189,Gemykibivirus blaro1,Petroica traversi,2,1,0,2
190,Gemycircularvirus malas1,Anas platyrhynchos,2,1,0,2
191,Gemycircularvirus geras1,Gerygone albofrontata,2,1,0,2
192,Gemycircularvirus geras2,Gerygone albofrontata,2,1,0,2
193,Gemycircularvirus geras3,Gerygone albofrontata,2,1,0,2
194,Orivirus A,Gallus gallus,3,2,0,3
195,Orthoavulavirus newyorkense,Anas platyrhynchos,6,5,0,3
196,Sunrhavirus sunguru,Gallus gallus,2,1,0,2
197,Metaavulavirus galliense,Gallinago gallinago,2,1,0,2
198,Metaavulavirus tennessense,Columbidae,2,1,0,2
199,Metaavulavirus falklandense,Spheniscidae,5,4,0,5
200,Metaavulavirus kunitachiense,Melopsittacus undulatus,3,2,0,3
201,Orthoavulavirus italiense,Mareca,2,1,0,2
202,Paraavulavirus wisconsinense,Meleagris gallopavo,2,1,0,2
203,Farmington virus,Aves,2,1,0,2
204,Circovirus swan,Cygnus olor,4,3,0,3
205,Chicken picornavirus 1,Gallus gallus,2,1,0,2
206,Avisivirus B,Gallus gallus,2,1,0,2
207,Avisivirus C,Gallus gallus,2,1,0,2
208,Chicken picornavirus 4,Gallus gallus,3,2,0,2
209,Gallivirus A,Gallus gallus,2,1,0,2
210,Duck aviadenovirus B,Cairina moschata,29,28,0,24
211,Umatilla virus,Aves,20,10,0,20
212,Pigeon aviadenovirus A,Columbidae,24,23,0,4
213,Penguinpox virus,Spheniscus demersus,5,4,0,2
214,Pigeonpox virus,Columba livia,31,30,0,3
215,Mardivirus columbidalpha1,Falco mexicanus,2,1,0,2
216,Treiszetapapillomavirus 1,Fulmarus glacialis,2,1,0,2
217,Megrivirus A,Anas platyrhynchos,2,1,0,2
218,Goose calicivirus,Anatidae,5,4,0,4
219,Aalivirus apekidu,Anas platyrhynchos,1,0,0,1
220,Mosavirus A,Coracias garrulus,2,1,0,2
221,Treisepsilonpapillomavirus 1,Pygoscelis adeliae,2,1,0,2
222,Cyanoramphus nest associated circular X DNA virus,Cyanoramphus auriceps,2,1,0,2
223,Cyanoramphus nest associated circular K DNA virus,Cyanoramphus auriceps,2,1,0,2
224,Porprismacovirus turas1,Meleagris gallopavo,2,1,0,2
225,Melegrivirus A,Meleagris gallopavo,4,2,0,3
226,Gammapolyomavirus cratorquatus,Cracticus torquatus,2,1,0,2
227,Turkey aviadenovirus C,Meleagris gallopavo,6,5,0,2
228,Turkey aviadenovirus D,Meleagris gallopavo,16,15,0,2
229,Rotavirus F,Gallus gallus,125,114,0,11
230,Rotavirus G,Gallus gallus,51,40,0,11
231,Fowl aviadenovirus B,Gallus gallus,61,60,0,18
232,Paraavulavirus hongkongense,Anas rubripes,2,1,0,2
233,Gallivirus A,Meleagris gallopavo,4,3,0,2
234,Gammapolyomavirus secanaria,Serinus canaria,8,7,0,3
235,Goose aviadenovirus A,Anser anser,4,3,0,2
236,White-eye coronavirus HKU16,Zosteropidae,2,1,0,2
237,Sparrow coronavirus HKU17,Passeridae,2,1,0,2
238,Magpie-robin coronavirus HKU18,Muscicapidae,2,1,0,2
239,Night heron coronavirus HKU19,Ardeidae,2,1,0,2
240,Wigeon coronavirus HKU20,Mareca,2,1,0,2
241,Common moorhen coronavirus HKU21,Gallinula chloropus,2,1,0,2
242,Parrot hepatitis B virus,Psittacula krameri,17,16,0,17
243,Skua siadenovirus A,Stercorarius maccormicki,2,1,0,2
244,Quail picornavirus QPV1/HUN/2010,Coturnix coturnix,2,1,0,2
245,Orthoflavivirus tembusu,Anatidae,331,330,0,82
246,Pigeon picornavirus B,Columbidae,5,4,0,2
247,Raptor siadenovirus A,Parabuteo unicinctus,2,1,0,2
248,Gyrovirus galga1,Gallus gallus,112,111,0,59
249,Fowl aviadenovirus C,Gallus gallus,551,550,0,78
250,Avian leukosis virus,Gallus gallus,1079,1078,0,224
251,Turkey aviadenovirus B,Meleagris gallopavo,10,9,0,2
252,Rotavirus D,Gallus gallus,166,155,0,18
253,Passerivirus A,Turdus pallidus,2,1,0,2
254,Oscivirus A,Copsychus saularis,3,2,0,3
255,Oscivirus A,Turdus hortulorum,3,2,0,3
256,Mardivirus anatidalpha1,Anatidae,15,14,0,6
257,Highlands J virus,Buteo jamaicensis,2,1,0,2
258,Duck astrovirus GII.A,Anatidae,18,17,0,9
259,Thrush coronavirus HKU12-600,Turdus hortulorum,2,1,0,2
260,Munia coronavirus HKU13,Lonchura striata,2,1,0,2
261,Avian coronavirus,Meleagris gallopavo,121,120,0,19
262,Circovirus gull,Laridae,2,1,0,2
263,Circovirus finch,Fringillidae,2,1,0,2
264,Circovirus raven,Corvus coronoides,2,1,0,2
265,Circovirus starling,Sturnus vulgaris,2,1,0,2
266,Gammapolyomavirus corvi,Coloeus monedula,2,1,0,2
267,Gammapolyomavirus pypyrrhula,Pyrrhula pyrrhula griseiventris,2,1,0,2
268,Alphainfluenzavirus influenzae,Anatidae,33111,33109,0,561
269,Circovirus duck,Anas platyrhynchos,75,74,0,64
270,Reticuloendotheliosis virus,Gallus gallus,104,103,0,27
271,Dependoparvovirus anseriform1,Cairina moschata,60,59,0,33
272,Avian endogenous retrovirus EAV-HP,Gallus gallus,10,9,0,3
273,Duck hepatitis B virus,Anser caerulescens,6,5,0,6
274,Duck hepatitis B virus,Chloephaga poliocephala,2,1,0,2
275,Iltovirus psittacidalpha1,Amazona oratrix,1,0,0,1
276,Thetapapillomavirus 1,Psittacus erithacus,2,1,0,2
277,Circovirus goose,Anser sp.,3,2,0,3
278,Circovirus canary,Serinus canaria,12,11,0,2
279,Mardivirus meleagridalpha1,Meleagris gallopavo,3,2,0,1
280,Circovirus pigeon,Columbidae,274,273,0,169
281,Mardivirus gallidalpha2,Gallus gallus,1466,1465,0,54
282,Turkey astrovirus,Meleagris gallopavo,35,34,0,1
283,Avibirnavirus gumboroense,Gallus gallus,5338,5336,0,188
284,Dependoparvovirus anseriform1,Anser anser,39,38,0,3
285,Orthoflavivirus wesselsbronense,Ramphastos toco,1,1,0,0
286,Gyrovirus chickenanemia,Phasianinae,1,1,0,1
287,Gyrovirus chickenanemia,Gyps fulvus,1,1,0,1
288,Gyrovirus chickenanemia,Ardeidae,1,1,0,1
289,Gyrovirus chickenanemia,Lophura nycthemera,1,1,0,1
290,Gyrovirus chickenanemia,Struthio camelus,1,1,0,1
291,Gyrovirus chickenanemia,Aquila chrysaetos,1,1,0,1
292,Gyrovirus chickenanemia,Ciconia nigra,1,1,0,1
293,Orthoavulavirus javaense,Anatidae,1400,1400,0,155
294,Orthoflavivirus japonicum,Aves,4,4,0,0
295,Orthoavulavirus javaense,Gallus gallus,7256,7256,0,567
296,Orthoavulavirus javaense,Columbidae,1245,1245,0,365
297,Goose astrovirus 2,Anatidae,31,31,0,9
298,Orthoflavivirus nilense,Corvus cornix,46,46,0,9
299,Fowl aviadenovirus D,Aves,45,45,0,3
300,Alphainfluenzavirus influenzae,Gallus gallus,78788,78788,0,1356
301,Alphainfluenzavirus influenzae,Laridae,547,547,0,3
302,Mardivirus gallidalpha2,Meleagris gallopavo,59,59,0,0
303,Avian orthoreovirus,Gallus gallus,2417,2417,0,330
304,Gyrovirus chickenanemia,Gallus gallus,1704,1704,0,471
305,Chicken genomovirus,Gallus gallus,1,1,0,0
306,Microbacterium phage P8_2022_SA,Gallus gallus,1,1,0,0
307,Avian orthoreovirus,Anatidae,261,261,0,85
308,Orthoavulavirus javaense,Falco,11,11,0,0
309,Orthoavulavirus javaense,Pelecanidae,2,2,0,0
310,Orthoavulavirus javaense,Columba livia,131,131,0,14
311,Pigeon gyrovirus,Columbidae,4,4,0,0
312,Gyrovirus chickenanemia,Columbidae,5,5,0,0
313,Gyrovirus galga1,Columbidae,5,5,0,0
314,Gyrovirus homsa3,Columbidae,5,5,0,0
315,Orthobornavirus alphapsittaciforme,Eclectus roratus,20,20,0,0
316,Orthobornavirus alphapsittaciforme,Cacatua moluccensis,23,23,0,0
317,Orthobornavirus betapsittaciforme,Cacatua moluccensis,1,1,0,0
318,Orthobornavirus alphapsittaciforme,Aratinga solstitialis,64,64,0,3
319,Dependoparvovirus anseriform1,Anatidae,165,165,0,42
320,Fowl aviadenovirus A,Gallus gallus,182,182,0,39
321,Burhinus oedicnemus herpesvirus,Burhinus oedicnemus,1,1,0,0
322,Pigeon adenovirus,Columbidae,1,1,0,0
323,Fowl aviadenovirus D,Gallus gallus,734,734,0,77
324,Metapneumovirus avis,Meleagris gallopavo,117,117,0,13
325,Orthoavulavirus javaense,Aves,220,220,0,26
326,Java sparrow circovirus,Lonchura oryzivora,1,1,0,0
327,Red-fronted serin circovirus,Serinus pusillus,1,1,0,0
328,Hawfinch circovirus,Coccothraustes coccothraustes,1,1,0,0
329,Gouldian finch circovirus,Chloebia gouldiae,2,2,0,0
330,Crow circovirus,Corvus cornix,2,2,0,0
331,Magpie circovirus,Pica pica,1,1,0,0
332,European goldfinch circovirus,Carduelis carduelis caniceps,2,2,0,0
333,Purple grenadier circovirus,Granatina ianthinogaster,1,1,0,0
334,Bengalese munia circovirus,Lonchura striata,2,2,0,0
335,White-rumped seedeater circovirus,Crithagra leucopygia,1,1,0,0
336,Common grenadier circovirus,Granatina granatina,1,1,0,0
337,Common bullfinch circovirus,Pyrrhula pyrrhula,1,1,0,0
338,Eurasian blackcap circovirus,Sylvia atricapilla,1,1,0,0
339,Common crossbill circovirus,Loxia curvirostra,1,1,0,0
340,Yellow-fronted canary circovirus,Crithagra mozambica,1,1,0,0
341,Common blackbird circovirus,Turdus merula,1,1,0,0
342,Common starling circovirus,Sturnus vulgaris,1,1,0,0
343,Eurasian jay circovirus,Garrulus glandarius,1,1,0,0
344,Western jackdaw circovirus,Coloeus monedula,1,1,0,0
345,Mynah circovirus,Gracula religiosa,1,1,0,0
346,Lavender waxbill polyomavirus,Glaucestrilda caerulescens,1,1,0,0
347,Goose astrovirus,Anatidae,225,225,0,135
348,Alphainfluenzavirus influenzae,Sterna hirundinacea,32,32,0,0
349,Alphainfluenzavirus influenzae,Thalasseus maximus,112,112,0,0
350,Alphainfluenzavirus influenzae,Streptopelia decaocto,16,16,0,0
351,Alphainfluenzavirus influenzae,Passer domesticus,28,28,0,0
352,Orthoavulavirus javaense,Psittacidae,27,27,0,2
353,Alphainfluenzavirus influenzae,Anas platyrhynchos,51999,51999,0,754
354,Alphainfluenzavirus influenzae,Cairina moschata,3742,3742,0,11
355,Alphainfluenzavirus influenzae,Theristicus caudatus,8,8,0,0
356,Fowlpox virus,Gallus gallus,297,297,0,15
357,Pigeonpox virus,Columbidae,79,79,0,0
358,Duck atadenovirus A,Nymphicus hollandicus,2,2,0,0
359,Duck atadenovirus A,Psittacula krameri,2,2,0,0
360,Duck atadenovirus A,Agapornis roseicollis,2,2,0,0
361,Duck atadenovirus A,Cyanoramphus novaezelandiae,1,1,0,0
362,Atadenovirus sp.,Cyanoramphus novaezelandiae,2,2,0,0
363,Aviadenovirus sp.,Cyanoramphus novaezelandiae,1,1,0,0
364,Psittacine adenovirus 2,Cyanoramphus novaezelandiae,46,46,0,0
365,Psittacine adenovirus 2,Nymphicus hollandicus,6,6,0,0
366,Psittacine adenovirus 2,Psittacula krameri,1,1,0,0
367,Psittacine adenovirus 2,Agapornis roseicollis,6,6,0,0
368,Psittacine adenovirus 2,Psephotellus dissimilis,3,3,0,0
369,Psittacine adenovirus 2,Psephotus haematonotus,1,1,0,0
370,Psittacine adenovirus 2,Neopsephotus bourkii,2,2,0,1
371,Psittacine siadenovirus D,Agapornis roseicollis,5,5,0,0
372,Siadenovirus sp.,Psephotus haematonotus,2,2,0,0
373,Siadenovirus sp.,Neopsephotus bourkii,1,1,0,0
374,Duck astrovirus 3,Anatidae,6,6,0,0
375,Alphainfluenzavirus influenzae,Stercorarius chilensis,5,5,0,0
376,Duck hepatitis virus 3,Anas platyrhynchos,1,1,0,0
377,Sindbis virus,Erithacus rubecula,1,1,0,0
378,Gammapolyomavirus avis,Eclectus roratus,22,22,0,3
379,Alphainfluenzavirus influenzae,Buteo jamaicensis,444,444,0,0
380,Alphainfluenzavirus influenzae,Podiceps auritus,56,56,0,0
381,Alphainfluenzavirus influenzae,Calidris alba,815,815,0,0
382,Alphainfluenzavirus influenzae,Falco peregrinus,197,197,0,8
383,Alphainfluenzavirus influenzae,Calidris canutus,765,765,0,0
384,Alphainfluenzavirus influenzae,Anas sp.,5419,5419,0,0
385,Dependoparvovirus anseriform1,Anas platyrhynchos,144,144,0,30
386,Avihepatovirus A,Cairina moschata,7,7,0,4
387,Avibirnavirus gumboroense,Aves,147,147,0,0
388,Alphainfluenzavirus influenzae,Enicognathus leptorhynchus,6,6,0,0
389,Circovirus parrot,Agapornis roseicollis,105,105,0,77
390,Metapneumovirus avis,Gallus gallus,381,381,0,17
391,Fowlpox virus,Meleagris gallopavo,100,100,0,0
392,Alphainfluenzavirus influenzae,Stercorarius maccormicki,48,48,0,0
393,Alphainfluenzavirus influenzae,Spheniscus humboldti,26,26,0,0
394,Alphainfluenzavirus influenzae,Sula variegata,134,134,0,0
395,Alphainfluenzavirus influenzae,Leucophaeus modestus,55,55,0,0
396,Alphainfluenzavirus influenzae,Meleagris gallopavo,7933,7933,0,312
397,Alphainfluenzavirus influenzae,Larus dominicanus,442,442,0,8
398,Alphainfluenzavirus influenzae,Larus,103,103,0,0
399,Alphainfluenzavirus influenzae,Pelecanus,225,225,0,0
400,Alphainfluenzavirus influenzae,Larosterna inca,51,51,0,0
401,Alphainfluenzavirus influenzae,Anas flavirostris,287,287,0,0
402,Gammapolyomavirus avis,Agapornis,6,6,0,0
403,Gammapolyomavirus avis,Pyrrhura molinae,9,9,0,0
404,Reticuloendotheliosis virus,Anas platyrhynchos,8,8,0,1
405,Alphainfluenzavirus influenzae,Leucocarbo bougainvillii,48,48,0,0
406,Orthoavulavirus javaense,Phasianidae,4,4,0,0
407,Siadenovirus sp.,Pygoscelis papua,10,10,0,0
408,Siadenovirus sp.,Pygoscelis antarcticus,3,3,0,0
409,Avian coronavirus,Anas platyrhynchos,238,238,0,1
410,Avian coronavirus,Mergellus albellus,1,1,0,0
411,Alphainfluenzavirus influenzae,Aves,8660,8660,0,186
412,Orthoflavivirus bagazaense,Alectoris rufa,34,34,0,10
413,Deltacoronavirus sp.,Chroicocephalus ridibundus,13,13,0,4
414,Aveparvovirus galliform1,Gallus gallus,255,255,0,50
415,Aviadenovirus hydropericardii,Gallus gallus,1,1,0,1
416,Buldecovirus sp.,Parabuteo unicinctus,1,1,0,0
417,Avian coronavirus,Pelecanus thagus,2,2,0,0
418,Gammapolyomavirus avis,Psittacidae,11,11,0,2
419,Gammapolyomavirus avis,Agapornis fischeri,8,8,0,7
420,Avihepatovirus A,Anas platyrhynchos,55,55,0,20
421,Fowl adenovirus,Gallus gallus,604,604,0,4
422,Alphainfluenzavirus influenzae,Picidae,8,8,0,0
423,Rotavirus A,Gallus gallus,422,422,0,11
424,Alphainfluenzavirus influenzae,Anser sp.,111,111,0,16
425,Fowl aviadenovirus E,Phasianidae,1,1,0,0
426,Alphainfluenzavirus influenzae,Turdus migratorius,19,19,0,0
427,Avian avastrovirus 4,Mareca falcata,1,1,0,1
428,Fowl aviadenovirus E,Anatidae,12,12,0,0
429,Gammapolyomavirus avis,Myiopsitta monachus,3,3,0,3
430,Gammapolyomavirus avis,Pionites leucogaster,2,2,0,1
431,Gammapolyomavirus avis,Pionites melanocephalus,4,4,0,4
432,Alphainfluenzavirus influenzae,Cygnus olor,683,683,0,16
433,Alphainfluenzavirus influenzae,Spatula querquedula,145,145,0,0
434,Alphainfluenzavirus influenzae,Coturnix coturnix,57,57,0,0
435,Turkey siadenovirus A,Meleagris gallopavo,144,144,0,10
