,Organism Name,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
27,Avian paramyxovirus 17,Avian paramyxovirus 17,Aves,2,1,0,2
28,Chicken chapparvovirus 2,Chaphamaparvovirus galliform2,Gallus gallus,13,12,0,10
29,Pigeon parvovirus A,Pigeon parvovirus A,Columbidae,1,0,0,1
30,Pingu picornavirus,Pingu picornavirus,Pygoscelis papua,1,0,0,1
31,Gyrovirus 11,Gyrovirus myferr1,Myrmoderus ferrugineus,2,1,0,2
32,psittacine adenovirus 7,Psittacine siadenovirus E,Cacatua sanguinea,1,0,0,1
33,Avian metaavulavirus 21,Avian metaavulavirus 21,Columbidae,14,13,0,4
34,Psittacine adenovirus 5,Psittacine siadenovirus D,Forpus coelestis,2,1,0,2
35,San Jacinto virus,Nyavirus sanjacintoense,Sturnus vulgaris,2,1,0,2
36,Peafowl parvovirus 1,Chaphamaparvovirus galliform4,Pavo cristatus,2,1,0,2
37,Peafowl parvovirus 2,Chaphamaparvovirus galliform5,Pavo cristatus,2,1,0,2
38,Psittacara leucophthalmus chapparvovirus,Chaphamaparvovirus psittacine1,Psittacara leucophthalmus,2,1,0,2
39,Avian associated porprismacovirus,Porprismacovirus avias1,Neognathae,2,1,0,2
40,Chicken genomovirus mg4_1165,Gemykrogvirus galga5,Gallus gallus,2,1,0,2
41,Chicken genomovirus mg4_1173,Gemykrogvirus galga3,Gallus gallus,2,1,0,2
42,Chicken genomovirus mg4_1218,Gemykibivirus galga3,Gallus gallus,2,1,0,2
43,Chicken genomovirus mg4_1247,Gemykrogvirus galga1,Gallus gallus,2,1,0,2
44,Chicken genomovirus mg7_73,Gemykibivirus galga1,Gallus gallus,2,1,0,2
45,Chicken genomovirus mg7_78,Gemykrogvirus galga4,Gallus gallus,2,1,0,2
46,Chicken genomovirus mg8_401,Gemykibivirus galga2,Gallus gallus,2,1,0,2
47,Chicken smacovirus mg4_881,Porprismacovirus chicas2,Gallus gallus,2,1,0,2
48,Chicken smacovirus mg4_885,Porprismacovirus chicas4,Gallus gallus,2,1,0,2
49,Chicken smacovirus mg4_964,Porprismacovirus chicas6,Gallus gallus,2,1,0,2
50,Chicken smacovirus mg5_1081,Porprismacovirus chicas7,Gallus gallus,2,1,0,2
51,Chicken smacovirus mg5_1212,Porprismacovirus chicas3,Gallus gallus,2,1,0,2
52,Chicken smacovirus mg7_67,Porprismacovirus chicas5,Gallus gallus,2,1,0,2
53,Genomoviridae sp.,Genomoviridae sp.,Anser albifrons,8,7,0,8
54,Smacoviridae sp.,Smacoviridae sp.,Pavo cristatus,4,2,0,4
55,Paslahepevirus balayani,Paslahepevirus balayani,Egretta garzetta,1,0,0,1
56,Jeremy Point nyavirus,Nyavirus somateriae,Somateria mollissima,2,1,0,1
57,Southern Psittacara leucophthalmus aviadenovirus,Aviadenovirus leucophthalmi,Psittacara leucophthalmus,2,1,0,1
58,Chicken virus mg5_2876,Nauglamirvirus anduin,Gallus gallus,2,1,0,2
59,Nasoule virus,Sunrhavirus nasoule,Eurillas virens,4,3,0,2
60,Ouango virus,Sunrhavirus ouango,Ploceus melanocephalus,4,3,0,2
61,Burg el Arab virus,Sunrhavirus alexandria,Curruca curruca,3,2,0,3
62,Matariya virus,Sunrhavirus matariya,Curruca curruca,4,3,0,3
63,Cacatuid alphaherpesvirus 2,Cacatuid alphaherpesvirus 2,Amazona oratrix,2,1,0,2
64,Pileated finch aveparvovirus,Pileated finch aveparvovirus,Coryphospingus pileatus,2,1,0,1
65,Psittacid alphaherpesvirus 5,Iltovirus psittacidalpha5,Psittacula krameri,8,7,0,3
66,Avian chapparvovirus,Avian chapparvovirus,Neognathae,1,0,0,1
67,Avian adeno-associated virus,Dependoparvovirus avian1,Neognathae,1,0,0,1
68,Pacific black duck chaphamaparvovirus 1,Chaphamaparvovirus anseriform4,Anas superciliosa,1,0,0,1
69,Chestnut teal chaphamaparvovirus 1,Chaphamaparvovirus anseriform1,Anas castanea,1,0,0,1
70,Chestnut teal chaphamaparvovirus 2,Chaphamaparvovirus anseriform2,Anas castanea,1,0,0,1
71,Chestnut teal chaphamaparvovirus 3,Chaphamaparvovirus anseriform3,Anas castanea,1,0,0,1
72,Barn owl parvovirus,Chaphamaparvovirus strigiform1,Tyto alba,2,1,0,1
73,Duck-associated chapparvovirus 1,Chaphamaparvovirus anseriform5,Anas rubripes,2,1,0,1
74,Duck-associated chapparvovirus 2,Chaphamaparvovirus anseriform6,Anas rubripes,4,3,0,1
75,Rhabdoviridae sp.,Rhabdoviridae sp.,Aves,1,0,0,1
76,robinz virus RP_259,Cyclovirus totoi,Petroica australis,1,0,0,1
77,robinz virus RP_493,Cyclovirus pettirosso,Petroica australis,1,0,0,1
78,robinz virus RP_526,Cyclovirus punarinta,Petroica australis,1,0,0,1
79,robinz virus RP_584,Cyclovirus rudzik,Petroica australis,1,0,0,1
80,robinz virus RP_620,Cyclovirus prihor,Petroica australis,1,0,0,1
81,robinz virus RP_736,Cyclovirus cervienka,Petroica australis,1,0,0,1
82,robinz virus RP_1170,Cyclovirus liepsnele,Petroica australis,1,0,0,1
83,WigFec circovirus 1,WigFec circovirus 1,Mareca americana,9,8,0,9
84,WigFec circovirus 2,WigFec circovirus 2,Mareca americana,3,2,0,3
85,Dompiswa phage TSP7_1,Phapecoctavirus TSP7,Columba livia,2,1,0,2
86,poecivirus A1,Poecivirus A,Poecile atricapillus,2,1,0,1
87,Murre virus,Uukuvirus uriae,Uria,6,3,0,3
88,Psittacine adenovirus 1,Psittacine aviadenovirus C,Psittacula alexandri,2,1,0,1
89,Garba virus,Sunrhavirus garba,Corythornis cristatus,3,2,0,1
90,Penguin circovirus,Circovirus penguin,Pygoscelis adeliae,6,5,0,6
91,Lake Chad virus,Quaranjavirus chadense,Ploceus vitellinus,14,7,0,14
92,Infectious bronchitis virus,Avian coronavirus,Gallus gallus,12880,12879,0,563
93,Duck coronavirus,Avian coronavirus,Anatidae,71,70,0,5
94,Canada goose coronavirus,Canada goose coronavirus,Branta canadensis,2,1,0,2
95,Quailpox virus,Quailpox virus,Galliformes,2,1,0,1
96,Great tit adenovirus 1,Great tit siadenovirus A,Parus major,2,1,0,1
97,Turkey calicivirus,Nacovirus A,Meleagris gallopavo,2,1,0,1
98,Ingwavuma virus,Orthobunyavirus ingwavumaense,Ploceus ocularis,6,3,0,3
99,Mermet virus,Orthobunyavirus mermetense,Progne subis,6,3,0,3
100,Chicken stool associated circular virus 2,Chicken stool associated circular virus 2,Gallus gallus,2,1,0,2
101,Chicken stool associated circular virus 1,Chicken stool associated circular virus 1,Gallus gallus,2,1,0,2
102,Chicken picobirnavirus,Chicken picobirnavirus,Gallus gallus,50,48,0,15
103,Apteryx rowi circovirus-like virus,Apteryx rowi circovirus-like virus,Apteryx rowi,2,1,0,2
104,Serinus canaria papillomavirus 1,Serinus canaria papillomavirus 1,Serinus canaria,2,1,0,2
105,Red-crowned crane parvovirus,Aveparvovirus gruiform1,Grus japonensis,6,4,0,6
106,Chicken associated cyclovirus 2,Cyclovirus naahoohai,Gallus gallus,2,1,0,2
107,Adeno-associated virus,Adeno-associated virus,Cairina moschata,2,1,0,2
108,Goose picornavirus 1,Ludopivirus A,Anser albifrons,1,0,0,1
109,Ashy storm petrel gyrovirus,Gyrovirus hydho1,Oceanodroma homochroa,2,1,0,2
110,Tunis virus,Orthonairovirus tunisense,Columbidae,6,3,0,6
111,Avian metaavulavirus 20,Metaavulavirus kazakhstanense,Laridae,2,1,0,2
112,Blackbird arilivirus,Blackbird arilivirus,Turdus merula,2,1,0,2
113,Avian HDV-like agent,Avian HDV-like agent,Anas,1,0,0,1
114,Bulbul coronavirus HKU11-934,Bulbul coronavirus HKU11,Pycnonotus jocosus,2,1,0,2
115,Estrildid finch bornavirus 1,Orthobornavirus estrildidae,Estrilda troglodytes,3,2,0,1
116,Durham virus,Tupavirus durham,Aves,2,1,0,1
117,Turkey avisivirus,Avisivirus A,Meleagris gallopavo,6,5,0,1
118,Kunsagivirus A,Kunsagivirus A,Coracias garrulus,1,0,0,1
119,Fowl aviadenovirus 6,Fowl aviadenovirus E,Gallus gallus,6,5,0,2
120,Cyclovirus NGchicken8/NGA/2009,Cyclovirus adie,Gallus gallus,2,1,0,2
121,pigeon mesivirus 1,Megrivirus B,Columbidae,2,1,0,1
122,Penguin megrivirus,Megrivirus E,Pygoscelis adeliae,3,2,0,3
123,Avian paramyxovirus 14,Metaavulavirus japanense,Anatidae,2,1,0,2
124,avian paramyxovirus 16,Orthoavulavirus upoense,Anas platyrhynchos,4,3,0,2
125,Antarctic penguin virus A,Orthoavulavirus borisense,Pygoscelis papua,2,1,0,2
126,Antarctic penguin virus B,Orthoavulavirus kopaiticense,Pygoscelis papua,2,1,0,2
127,Antarctic penguin virus C,Orthoavulavirus oneillense,Pygoscelis papua,2,1,0,2
128,Psittacine aviadenovirus B,Psittacine aviadenovirus B,Poicephalus rufiventris,1,0,0,1
129,Erythrura gouldiae polyomavirus 1,Gammapolyomavirus egouldiae,Chloebia gouldiae,2,1,0,2
130,Gammapolyomavirus lonmaja,Gammapolyomavirus lonmaja,Lonchura maja,2,1,0,2
131,Chicken associated huchismacovirus 1,Huchismacovirus chicas1,Gallus gallus,3,2,0,3
132,Chicken associated huchismacovirus 2,Huchismacovirus chicas2,Gallus gallus,2,1,0,2
133,Orthobunyavirus teteense,Orthobunyavirus teteense,Ploceus cucullatus,9,6,0,3
134,Parrot bornavirus 1,Orthobornavirus alphapsittaciforme,Diopsittaca nobilis,2,1,0,1
135,Parrot bornavirus 5,Orthobornavirus betapsittaciforme,Ara ararauna,3,2,0,2
136,Avian metaavulavirus 6,Metaavulavirus hongkongense,Anser,2,1,0,2
137,Avian metaavulavirus 8,Metaavulavirus delawarense,Branta canadensis,3,2,0,3
138,Avian orthoavulavirus 1,Orthoavulavirus javaense,Anas platyrhynchos,460,459,0,35
139,Avian metaavulavirus 2,Metaavulavirus yucaipaense,Gallus gallus,43,42,0,5
140,Chicken megrivirus,Megrivirus C,Gallus gallus,24,23,0,3
141,Flamingopox virus FGPVKD09,Flamingopox virus FGPVKD09,Phoeniconaias minor,2,1,0,2
142,Falcon picornavirus,Falcon picornavirus,Falco vespertinus,2,1,0,1
143,Garrulus glandarius associated circular virus 1,Garrulus glandarius associated circular virus 1,Garrulus glandarius,2,1,0,2
144,Tinamou hepatitis B virus,Tinamou hepatitis B virus,Eudromia elegans,3,2,0,3
145,Avian paramyxovirus 15,Metaavulavirus peixense,Calidris fuscicollis,3,2,0,1
146,Duck associated cyclovirus 1,Cyclovirus kacsa,Anas platyrhynchos,3,2,0,3
147,megrivirus D1,Megrivirus D,Circus aeruginosus,2,1,0,2
148,Landjia virus,Hapavirus landjia,Riparia paludicola,3,2,0,1
149,Goose astrovirus,Goose astrovirus,Anser,6,5,0,2
150,Columbid alphaherpesvirus 1,Mardivirus columbidalpha1,Columba livia,30,29,0,2
151,megrivirus B3CP-APO,Megrivirus A,Anatidae,2,1,0,2
152,Jingmen tombus-like virus 1,Jingmen tombus-like virus 1,Phasianus colchicus,2,1,0,1
153,Jingmen tombus-like virus 2,Jingmen tombus-like virus 2,Phasianus colchicus,2,1,0,1
154,Spheniscid alphaherpesvirus 1,Mardivirus spheniscidalpha1,Spheniscus demersus,2,1,0,2
155,Jingmen picorna-like virus,Jingmen picorna-like virus,Phasianus colchicus,2,1,0,1
156,Chicken calicivirus,Bavaria virus,Gallus gallus,41,40,0,5
157,Chicken stool-associated gemycircularvirus,Gemykrogvirus galga2,Gallus gallus,3,2,0,3
158,Chicken stool-associated circular virus,Chicken stool-associated circular virus,Gallus gallus,2,1,0,2
159,Pigeon adenovirus 2,Pigeon aviadenovirus B,Columba livia,32,31,0,2
160,Parrot bornavirus 4,Orthobornavirus alphapsittaciforme,Ara ararauna,16,15,0,2
161,Canary bornavirus 1,Orthobornavirus serini,Serinus canaria,41,40,0,2
162,Aquatic bird bornavirus 2,Orthobornavirus avisaquaticae,Anatidae,2,1,0,1
163,avian paramyxovirus 13,Orthoavulavirus japanense,Anser sp.,2,1,0,2
164,Chinstrap penguin adenovirus 2,Penguin siadenovirus A,Pygoscelis antarcticus,3,2,0,2
165,Duck faeces associated circular DNA virus 1,Duck faeces associated circular DNA virus 1,Anas platyrhynchos,2,1,0,2
166,Duck faeces associated circular DNA virus 2,Duck faeces associated circular DNA virus 2,Anas platyrhynchos,2,1,0,2
167,Duck faeces associated circular DNA virus 3,Duck faeces associated circular DNA virus 3,Anas platyrhynchos,2,1,0,2
168,Faeces associated gemycircularvirus 14,Gemygorvirus malas1,Anas platyrhynchos,3,2,0,3
169,Sewage associated gemycircularvirus 3,Gemykibivirus sewopo1,Gallus gallus,2,1,0,2
170,Faeces associated gemycircularvirus 17,Gemycircularvirus chicas2,Gallus gallus,2,1,0,2
171,Faeces associated gemycircularvirus 20,Gemycircularvirus chicas1,Gallus gallus,2,1,0,2
172,Aquatic bird bornavirus 1,Orthobornavirus avisaquaticae,Branta canadensis,46,45,0,3
173,Gallivirus Pf-CHK1/GV,Gallivirus Pf-CHK1/GV,Gallus gallus,2,1,0,2
174,Avisivirus Pf-CHK1/AsV,Avisivirus Pf-CHK1/AsV,Gallus gallus,2,1,0,2
175,sicinivirus A1,Sicinivirus A,Gallus gallus,2,1,0,2
176,Turkeypox virus,Turkeypox virus,Meleagris gallopavo,15,14,0,2
177,Poecile atricapillus GI tract-associated gemycircularvirus,Gemycircularvirus chickad1,Poecile atricapillus,2,1,0,2
178,Gyrovirus GyV8,Gyrovirus fulgla1,Fulmarus glacialis,2,1,0,2
179,Astrovirus Er/SZAL6/HUN/2011,Astrovirus Er/SZAL6/HUN/2011,Coracias garrulus,2,1,0,2
180,Zebra finch circovirus,Circovirus zebrafinch,Taeniopygia guttata,21,20,0,7
181,Falcovirus A1,Harkavirus A,Falco tinnunculus,2,1,0,1
182,Cacipacore virus,Orthoflavivirus cacipacoreense,Formicarius analis,2,1,0,2
183,Adelie penguin polyomavirus,Gammapolyomavirus padeliae,Pygoscelis adeliae,2,1,0,2
184,Psittacine adenovirus 3,Psittacine atadenovirus A,Amazona farinosa,2,1,0,2
185,Wellfleet Bay virus,Quaranjavirus wellfleetense,Somateria mollissima,14,7,0,14
186,Faeces associated gemycircularvirus 12,Gemytondvirus ostri1,Struthio camelus,2,1,0,2
187,Faeces associated gemycircularvirus 10,Gemygorvirus stara1,Sturnus vulgaris,1,0,0,1
188,Blackbird associated gemykibivirus 1,Gemykibivirus blabi1,Turdus merula,2,1,0,2
189,Black robin associated gemykibivirus 1,Gemykibivirus blaro1,Petroica traversi,2,1,0,2
190,Mallard associated gemycircularvirus 1,Gemycircularvirus malas1,Anas platyrhynchos,2,1,0,2
191,Gerygone associated gemycircularvirus 1,Gemycircularvirus geras1,Gerygone albofrontata,2,1,0,2
192,Gerygone associated gemycircularvirus 2,Gemycircularvirus geras2,Gerygone albofrontata,2,1,0,2
193,Gerygone associated gemycircularvirus 3,Gemycircularvirus geras3,Gerygone albofrontata,2,1,0,2
194,Chicken orivirus 1,Orivirus A,Gallus gallus,1,0,0,1
195,Avian orthoavulavirus 9,Orthoavulavirus newyorkense,Anas platyrhynchos,4,3,0,2
196,Sunguru virus,Sunrhavirus sunguru,Gallus gallus,2,1,0,2
197,Avian metaavulavirus 11,Metaavulavirus galliense,Gallinago gallinago,2,1,0,2
198,Avian metaavulavirus 7,Metaavulavirus tennessense,Columbidae,2,1,0,2
199,Avian paramyxovirus penguin/Falkland Islands/324/2007,Metaavulavirus falklandense,Spheniscidae,2,1,0,2
200,Avian metaavulavirus 5,Metaavulavirus kunitachiense,Melopsittacus undulatus,3,2,0,3
201,Avian orthoavulavirus 12,Orthoavulavirus italiense,Mareca,2,1,0,2
202,Paraavulavirus wisconsinense,Paraavulavirus wisconsinense,Meleagris gallopavo,2,1,0,2
203,Farmington virus,Farmington virus,Aves,2,1,0,2
204,Swan circovirus,Circovirus swan,Cygnus olor,4,3,0,3
205,Chicken picornavirus 1,Chicken picornavirus 1,Gallus gallus,2,1,0,2
206,Chicken picornavirus 2,Avisivirus B,Gallus gallus,2,1,0,2
207,Chicken picornavirus 3,Avisivirus C,Gallus gallus,2,1,0,2
208,Chicken picornavirus 4,Chicken picornavirus 4,Gallus gallus,3,2,0,2
209,megrivirus C2,Megrivirus C,Gallus gallus,3,2,0,2
210,gallivirus A1,Gallivirus A,Gallus gallus,1,0,0,1
211,Duck adenovirus 2,Duck aviadenovirus B,Cairina moschata,5,4,0,4
212,Umatilla virus,Umatilla virus,Aves,20,10,0,20
213,Pigeon adenovirus 1,Pigeon aviadenovirus A,Columbidae,18,17,0,3
214,Penguinpox virus,Penguinpox virus,Spheniscus demersus,5,4,0,2
215,Pigeonpox virus,Pigeonpox virus,Columba livia,31,30,0,3
216,Falconid herpesvirus 1,Mardivirus columbidalpha1,Falco mexicanus,2,1,0,2
217,Canary bornavirus 3,Orthobornavirus serini,Serinus canaria,18,17,0,1
218,Fulmarus glacialis papillomavirus 1,Treiszetapapillomavirus 1,Fulmarus glacialis,2,1,0,2
219,megrivirus A2,Megrivirus A,Anas platyrhynchos,2,1,0,2
220,Goose calicivirus,Goose calicivirus,Anatidae,5,4,0,4
221,Duck aalivirus 1,Aalivirus apekidu,Anas platyrhynchos,1,0,0,1
222,Mosavirus A2,Mosavirus A,Coracias garrulus,2,1,0,2
223,Pygoscelis adeliae papillomavirus 1,Treisepsilonpapillomavirus 1,Pygoscelis adeliae,2,1,0,2
224,Cyanoramphus nest associated circular X DNA virus,Cyanoramphus nest associated circular X DNA virus,Cyanoramphus auriceps,2,1,0,2
225,Cyanoramphus nest associated circular K DNA virus,Cyanoramphus nest associated circular K DNA virus,Cyanoramphus auriceps,2,1,0,2
226,Turkey associated porprismacovirus 1,Porprismacovirus turas1,Meleagris gallopavo,2,1,0,2
227,Melegrivirus A,Melegrivirus A,Meleagris gallopavo,2,1,0,2
228,Sicinivirus A,Sicinivirus A,Gallus gallus,7,6,0,4
229,Butcherbird polyomavirus,Gammapolyomavirus cratorquatus,Cracticus torquatus,2,1,0,2
230,turkey adenovirus 4,Turkey aviadenovirus C,Meleagris gallopavo,2,1,0,2
231,turkey adenovirus 5,Turkey aviadenovirus D,Meleagris gallopavo,3,2,0,2
232,Rotavirus F chicken/03V0568/DEU/2003,Rotavirus F,Gallus gallus,22,11,0,11
233,Rotavirus G chicken/03V0567/DEU/2003,Rotavirus G,Gallus gallus,22,11,0,11
234,Fowl aviadenovirus 5,Fowl aviadenovirus B,Gallus gallus,29,28,0,3
235,Turkey hepatitis virus 2993D,Melegrivirus A,Meleagris gallopavo,1,0,0,1
236,Avian paramyxovirus 4,Paraavulavirus hongkongense,Anas rubripes,2,1,0,2
237,gallivirus A1,Gallivirus A,Meleagris gallopavo,2,1,0,2
238,Canary polyomavirus,Gammapolyomavirus secanaria,Serinus canaria,5,4,0,2
239,Goose adenovirus 4,Goose aviadenovirus A,Anser anser,4,3,0,2
240,White-eye coronavirus HKU16,White-eye coronavirus HKU16,Zosteropidae,2,1,0,2
241,Sparrow coronavirus HKU17,Sparrow coronavirus HKU17,Passeridae,2,1,0,2
242,Magpie-robin coronavirus HKU18,Magpie-robin coronavirus HKU18,Muscicapidae,2,1,0,2
243,Night heron coronavirus HKU19,Night heron coronavirus HKU19,Ardeidae,2,1,0,2
244,Wigeon coronavirus HKU20,Wigeon coronavirus HKU20,Mareca,2,1,0,2
245,Common moorhen coronavirus HKU21,Common moorhen coronavirus HKU21,Gallinula chloropus,2,1,0,2
246,Parrot hepatitis B virus,Parrot hepatitis B virus,Psittacula krameri,17,16,0,17
247,Skua adenovirus 1,Skua siadenovirus A,Stercorarius maccormicki,1,0,0,1
248,Quail picornavirus QPV1/HUN/2010,Quail picornavirus QPV1/HUN/2010,Coturnix coturnix,2,1,0,2
249,Tembusu virus,Orthoflavivirus tembusu,Anatidae,158,157,0,40
250,Pigeon picornavirus B,Pigeon picornavirus B,Columbidae,5,4,0,2
251,Raptor adenovirus 1,Raptor siadenovirus A,Parabuteo unicinctus,2,1,0,2
252,Avian gyrovirus 2,Gyrovirus galga1,Gallus gallus,72,71,0,42
253,Fowl aviadenovirus C,Fowl aviadenovirus C,Gallus gallus,245,244,0,35
254,Avian leukemia virus,Avian leukosis virus,Gallus gallus,5,4,0,2
255,Fowl aviadenovirus E,Fowl aviadenovirus E,Gallus gallus,425,424,0,30
256,Cyclovirus NGchicken15/NGA/2009,Cyclovirus adie,Gallus gallus,2,1,0,2
257,Turkey adenovirus 1,Turkey aviadenovirus B,Meleagris gallopavo,2,1,0,2
258,Rotavirus D chicken/05V0049/DEU/2005,Rotavirus D,Gallus gallus,22,11,0,11
259,Passerivirus A1,Passerivirus A,Turdus pallidus,2,1,0,2
260,Oscivirus A1,Oscivirus A,Copsychus saularis,3,2,0,3
261,Oscivirus A2,Oscivirus A,Turdus hortulorum,3,2,0,3
262,Anatid alphaherpesvirus 1,Mardivirus anatidalpha1,Anatidae,1,0,0,1
263,Highlands J virus,Highlands J virus,Buteo jamaicensis,2,1,0,2
264,Duck astrovirus C-NGB,Duck astrovirus GII.A,Anatidae,1,0,0,1
265,Thrush coronavirus HKU12-600,Thrush coronavirus HKU12-600,Turdus hortulorum,2,1,0,2
266,Munia coronavirus HKU13-3514,Munia coronavirus HKU13,Lonchura striata,2,1,0,2
267,Turkey coronavirus,Avian coronavirus,Meleagris gallopavo,119,118,0,18
268,Gull circovirus,Circovirus gull,Laridae,2,1,0,2
269,Finch circovirus,Circovirus finch,Fringillidae,2,1,0,2
270,Raven circovirus,Circovirus raven,Corvus coronoides,2,1,0,2
271,Starling circovirus,Circovirus starling,Sturnus vulgaris,2,1,0,2
272,Crow polyomavirus,Gammapolyomavirus corvi,Coloeus monedula,1,0,0,1
273,Finch polyomavirus,Gammapolyomavirus pypyrrhula,Pyrrhula pyrrhula griseiventris,1,0,0,1
274,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Alphainfluenzavirus influenzae,Anatidae,2,0,0,2
275,Duck circovirus,Circovirus duck,Anas platyrhynchos,75,74,0,64
276,Reticuloendotheliosis virus,Reticuloendotheliosis virus,Gallus gallus,104,103,0,27
277,Muscovy duck parvovirus,Dependoparvovirus anseriform1,Cairina moschata,31,30,0,18
278,Avian endogenous retrovirus EAV-HP,Avian endogenous retrovirus EAV-HP,Gallus gallus,10,9,0,3
279,Snow goose hepatitis B virus,Duck hepatitis B virus,Anser caerulescens,6,5,0,6
280,Sheldgoose hepatitis B virus,Duck hepatitis B virus,Chloephaga poliocephala,2,1,0,2
281,Psittacid alphaherpesvirus 1,Iltovirus psittacidalpha1,Amazona oratrix,1,0,0,1
282,Psittacus erithacus papillomavirus 1,Thetapapillomavirus 1,Psittacus erithacus,2,1,0,2
283,Goose circovirus,Circovirus goose,Anser sp.,3,2,0,3
284,Canary circovirus,Circovirus canary,Serinus canaria,12,11,0,2
285,Meleagrid alphaherpesvirus 1,Mardivirus meleagridalpha1,Meleagris gallopavo,3,2,0,1
286,Columbid circovirus,Circovirus pigeon,Columbidae,63,62,0,22
287,Gallid alphaherpesvirus 2,Mardivirus gallidalpha2,Gallus gallus,1459,1458,0,53
288,Turkey astrovirus,Turkey astrovirus,Meleagris gallopavo,35,34,0,1
289,Infectious bursal disease virus,Avibirnavirus gumboroense,Gallus gallus,5337,5335,0,188
290,Goose parvovirus,Dependoparvovirus anseriform1,Anser anser,26,25,0,3
291,Influenza A virus,Alphainfluenzavirus influenzae,Anatidae,14498,14498,0,12
292,Wesselsbron virus,Orthoflavivirus wesselsbronense,Ramphastos toco,1,1,0,0
293,Chicken anemia virus,Gyrovirus chickenanemia,Phasianinae,1,1,0,1
294,Chicken anemia virus,Gyrovirus chickenanemia,Gyps fulvus,1,1,0,1
295,Chicken anemia virus,Gyrovirus chickenanemia,Ardeidae,1,1,0,1
296,Chicken anemia virus,Gyrovirus chickenanemia,Lophura nycthemera,1,1,0,1
297,Chicken anemia virus,Gyrovirus chickenanemia,Struthio camelus,1,1,0,1
298,Chicken anemia virus,Gyrovirus chickenanemia,Aquila chrysaetos,1,1,0,1
299,Chicken anemia virus,Gyrovirus chickenanemia,Ciconia nigra,1,1,0,1
300,avian paramyxovirus 1,Orthoavulavirus javaense,Anatidae,495,495,0,9
301,Japanese encephalitis virus,Orthoflavivirus japonicum,Aves,4,4,0,0
302,avian paramyxovirus 1,Orthoavulavirus javaense,Gallus gallus,2824,2824,0,72
303,avian paramyxovirus 1,Orthoavulavirus javaense,Columbidae,123,123,0,66
304,Goose astrovirus 2,Goose astrovirus 2,Anatidae,31,31,0,9
305,West Nile virus,Orthoflavivirus nilense,Corvus cornix,46,46,0,9
306,Fowl aviadenovirus D,Fowl aviadenovirus D,Aves,45,45,0,3
307,Influenza A virus,Alphainfluenzavirus influenzae,Gallus gallus,41516,41516,0,10
308,Influenza A virus,Alphainfluenzavirus influenzae,Laridae,149,149,0,0
309,Gallid alphaherpesvirus 2,Mardivirus gallidalpha2,Meleagris gallopavo,59,59,0,0
310,Avian orthoreovirus,Avian orthoreovirus,Gallus gallus,2416,2416,0,330
311,Chicken anemia virus,Gyrovirus chickenanemia,Gallus gallus,1704,1704,0,471
312,Avian leukosis virus,Avian leukosis virus,Gallus gallus,1019,1019,0,205
313,Chicken genomovirus,Chicken genomovirus,Gallus gallus,1,1,0,0
