Species,pathogenID,Host,hostID,Total Count,GenBank Count,RefSeq Count,Completed Count
Gyrovirus myferr1,2844807,Myrmoderus ferrugineus,468493,2,1,0,2
Psittacine siadenovirus E,2845977,Cacatua sanguinea,274074,2,1,0,2
Psittacine siadenovirus D,2845976,Forpus coelestis,309844,2,1,0,2
Nyavirus sanjacintoense,2845026,Sturnus vulgaris,9172,2,1,0,2
Chaphamaparvovirus galliform4,3052109,Pavo cristatus,9049,2,1,0,2
Chaphamaparvovirus galliform5,3052110,Pavo cristatus,9049,2,1,0,2
Gemykrogvirus galga5,2844632,Gallus gallus,9031,2,1,0,2
Gemykrogvirus galga3,2844630,Gallus gallus,9031,2,1,0,2
Gemykibivirus galga3,2844572,Gallus gallus,9031,2,1,0,2
Gemykrogvirus galga1,2844628,Gallus gallus,9031,2,1,0,2
Gemykibivirus galga1,2844570,Gallus gallus,9031,2,1,0,2
Gemykrogvirus galga4,2844631,Gallus gallus,9031,2,1,0,2
Gemykibivirus galga2,2844571,Gallus gallus,9031,2,1,0,2
Porprismacovirus chicas2,2845885,Gallus gallus,9031,2,1,0,2
Porprismacovirus chicas4,2845887,Gallus gallus,9031,2,1,0,2
Porprismacovirus chicas6,2845889,Gallus gallus,9031,2,1,0,2
Porprismacovirus chicas7,2845890,Gallus gallus,9031,2,1,0,2
Porprismacovirus chicas3,2845886,Gallus gallus,9031,2,1,0,2
Porprismacovirus chicas5,2845888,Gallus gallus,9031,2,1,0,2
Genomoviridae sp.,2202565,Anser albifrons,50365,8,7,0,8
Smacoviridae sp.,2715094,Pavo cristatus,9049,4,2,0,4
Paslahepevirus balayani,1678143,Egretta garzetta,188379,1,0,0,1
Nyavirus somateriae,2956231,Somateria mollissima,76058,2,1,0,1
Nauglamirvirus anduin,2956213,Gallus gallus,9031,2,1,0,2
Sunrhavirus ouango,2956483,Ploceus melanocephalus,441723,4,3,0,2
Sunrhavirus alexandria,2956478,Curruca curruca,43163,3,2,0,3
Sunrhavirus matariya,2956482,Curruca curruca,43163,4,3,0,3
Cacatuid alphaherpesvirus 2,2604840,Amazona oratrix,152276,2,1,0,2
Pileated finch aveparvovirus,2137544,Coryphospingus pileatus,664758,2,1,0,1
Iltovirus psittacidalpha5,3060048,Psittacula krameri,9228,8,7,0,3
Chaphamaparvovirus anseriform4,3059860,Anas superciliosa,45632,1,0,0,1
Chaphamaparvovirus anseriform1,3059857,Anas castanea,45631,1,0,0,1
Chaphamaparvovirus anseriform2,3059858,Anas castanea,45631,1,0,0,1
Chaphamaparvovirus anseriform3,3059859,Anas castanea,45631,1,0,0,1
Chaphamaparvovirus strigiform1,3059872,Tyto alba,56313,2,1,0,1
Chaphamaparvovirus anseriform5,3059861,Anas rubripes,75857,2,1,0,1
Chaphamaparvovirus anseriform6,3059862,Anas rubripes,75857,4,3,0,1
Cyclovirus totoi,3059946,Petroica australis,256038,1,0,0,1
Cyclovirus pettirosso,3059936,Petroica australis,256038,1,0,0,1
Cyclovirus punarinta,3059940,Petroica australis,256038,1,0,0,1
Cyclovirus rudzik,3059942,Petroica australis,256038,1,0,0,1
Cyclovirus prihor,3059938,Petroica australis,256038,1,0,0,1
Cyclovirus cervienka,3059916,Petroica australis,256038,1,0,0,1
Cyclovirus liepsnele,3059924,Petroica australis,256038,1,0,0,1
WigFec circovirus 1,2873951,Mareca americana,75832,9,8,0,9
WigFec circovirus 2,2873952,Mareca americana,75832,3,2,0,3
Phapecoctavirus TSP7,2956303,Columba livia,8932,2,1,0,2
Poecivirus A,2560644,Poecile atricapillus,48891,2,1,0,1
Psittacine aviadenovirus C,2734577,Psittacula alexandri,232635,2,1,0,1
Circovirus penguin,3048261,Pygoscelis adeliae,9238,6,5,0,6
Quaranjavirus chadense,2956349,Ploceus vitellinus,441713,14,7,0,14
Avian coronavirus,694014,Gallus gallus,9031,14088,14087,0,608
Canada goose coronavirus,2569586,Branta canadensis,8853,2,1,0,2
Great tit siadenovirus A,1146876,Parus major,9157,2,1,0,1
Nacovirus A,2560612,Meleagris gallopavo,9103,2,1,0,1
Orthobunyavirus ingwavumaense,3052400,Ploceus ocularis,187443,6,3,0,3
Orthobunyavirus mermetense,3052421,Progne subis,173220,6,3,0,3
Chicken stool associated circular virus 2,2109374,Gallus gallus,9031,2,1,0,2
Chicken stool associated circular virus 1,2109373,Gallus gallus,9031,2,1,0,2
Chicken picobirnavirus,1930304,Gallus gallus,9031,50,48,0,15
Serinus canaria papillomavirus 1,2094713,Serinus canaria,9135,2,1,0,2
Aveparvovirus gruiform1,3051984,Grus japonensis,30415,6,4,0,6
Cyclovirus naahoohai,3047745,Gallus gallus,9031,2,1,0,2
Adeno-associated virus,272636,Cairina moschata,8855,2,1,0,2
Ludopivirus A,2734539,Anser albifrons,50365,2,1,0,2
Gyrovirus hydho1,2844806,Oceanodroma homochroa,126866,2,1,0,2
Blackbird arilivirus,2099352,Turdus merula,9187,2,1,0,2
Bulbul coronavirus HKU11,574549,Pycnonotus jocosus,182897,2,1,0,2
Orthobornavirus estrildidae,1548721,Estrilda troglodytes,247541,3,2,0,1
Avisivirus A,1511772,Meleagris gallopavo,9103,7,6,0,2
Kunsagivirus A,1755590,Coracias garrulus,188338,2,1,0,2
Fowl aviadenovirus E,190065,Gallus gallus,9031,591,589,0,42
Cyclovirus adie,3047744,Gallus gallus,9031,4,2,0,4
Megrivirus E,2170008,Pygoscelis adeliae,9238,3,2,0,3
Orthoavulavirus upoense,3051378,Anas platyrhynchos,8839,4,3,0,2
Orthoavulavirus borisense,3051379,Pygoscelis papua,30457,2,1,0,2
Orthoavulavirus kopaiticense,3051380,Pygoscelis papua,30457,2,1,0,2
Orthoavulavirus oneillense,3051381,Pygoscelis papua,30457,2,1,0,2
Psittacine aviadenovirus B,2169709,Poicephalus rufiventris,523728,2,1,0,2
Gammapolyomavirus egouldiae,2955939,Chloebia gouldiae,44316,2,1,0,2
Gammapolyomavirus lonmaja,2169904,Lonchura maja,414889,2,1,0,2
Huchismacovirus chicas1,2844965,Gallus gallus,9031,3,2,0,3
Huchismacovirus chicas2,2844966,Gallus gallus,9031,2,1,0,2
Orthobunyavirus teteense,3052448,Ploceus cucullatus,135448,9,6,0,3
Orthobornavirus alphapsittaciforme,1548713,Diopsittaca nobilis,178888,12,11,0,1
Orthobornavirus betapsittaciforme,1884878,Ara ararauna,9226,3,2,0,2
Metaavulavirus delawarense,3051374,Branta canadensis,8853,3,2,0,3
Orthoavulavirus javaense,3051375,Anas platyrhynchos,8839,491,490,0,46
Metaavulavirus yucaipaense,3051368,Gallus gallus,9031,51,50,0,5
Megrivirus C,2170006,Gallus gallus,9031,30,28,0,5
Flamingopox virus FGPVKD09,2059380,Phoeniconaias minor,704175,2,1,0,2
Falcon picornavirus,1964370,Falco vespertinus,56351,2,1,0,1
Garrulus glandarius associated circular virus 1,2006642,Garrulus glandarius,56783,2,1,0,2
Tinamou hepatitis B virus,2018685,Eudromia elegans,8805,3,2,0,3
Metaavulavirus peixense,3051367,Calidris fuscicollis,279940,3,2,0,1
Cyclovirus kacsa,3047812,Anas platyrhynchos,8839,3,2,0,3
Megrivirus D,2170007,Circus aeruginosus,8964,2,1,0,2
Hapavirus landjia,1972618,Riparia paludicola,317125,3,2,0,1
Mardivirus columbidalpha1,3050267,Columba livia,8932,30,29,0,2
Jingmen tombus-like virus 1,1923351,Phasianus colchicus,9054,2,1,0,1
Jingmen tombus-like virus 2,1938656,Phasianus colchicus,9054,2,1,0,1
Mardivirus spheniscidalpha1,3048326,Spheniscus demersus,92683,2,1,0,2
Jingmen picorna-like virus,1923350,Phasianus colchicus,9054,2,1,0,1
Bavaria virus,2560343,Gallus gallus,9031,41,40,0,5
Gemykrogvirus galga2,2844629,Gallus gallus,9031,3,2,0,3
Chicken stool-associated circular virus,1930302,Gallus gallus,9031,2,1,0,2
Pigeon aviadenovirus B,2169708,Columba livia,8932,32,31,0,2
Orthobornavirus alphapsittaciforme,1548713,Ara ararauna,9226,17,16,0,2
Orthobornavirus serini,1548720,Serinus canaria,9135,76,74,0,3
Penguin siadenovirus A,2005055,Pygoscelis antarcticus,79643,3,2,0,2
Duck faeces associated circular DNA virus 1,1843768,Anas platyrhynchos,8839,2,1,0,2
Duck faeces associated circular DNA virus 2,1843769,Anas platyrhynchos,8839,2,1,0,2
Duck faeces associated circular DNA virus 3,1843770,Anas platyrhynchos,8839,2,1,0,2
Gemygorvirus malas1,2844550,Anas platyrhynchos,8839,3,2,0,3
Gemykibivirus sewopo1,2844603,Gallus gallus,9031,2,1,0,2
Gemycircularvirus chicas2,2844428,Gallus gallus,9031,2,1,0,2
Gemycircularvirus chicas1,2844427,Gallus gallus,9031,2,1,0,2
Orthobornavirus avisaquaticae,1548722,Branta canadensis,8853,46,45,0,3
Gallivirus Pf-CHK1/GV,1766557,Gallus gallus,9031,2,1,0,2
Avisivirus Pf-CHK1/AsV,1766559,Gallus gallus,9031,2,1,0,2
Sicinivirus A,1755588,Gallus gallus,9031,16,14,0,8
Turkeypox virus,336486,Meleagris gallopavo,9103,15,14,0,2
Gemycircularvirus chickad1,2844429,Poecile atricapillus,48891,2,1,0,2
Gyrovirus fulgla1,2844799,Fulmarus glacialis,30455,2,1,0,2
Astrovirus Er/SZAL6/HUN/2011,1671382,Coracias garrulus,188338,2,1,0,2
Circovirus zebrafinch,3048458,Taeniopygia guttata,59729,21,20,0,7
Harkavirus A,2003391,Falco tinnunculus,100819,3,2,0,2
Orthoflavivirus cacipacoreense,3052463,Formicarius analis,123377,2,1,0,2
Gammapolyomavirus padeliae,1891750,Pygoscelis adeliae,9238,2,1,0,2
Psittacine atadenovirus A,2003673,Amazona farinosa,151760,2,1,0,2
Quaranjavirus wellfleetense,2956351,Somateria mollissima,76058,14,7,0,14
Gemytondvirus ostri1,2844644,Struthio camelus,8801,2,1,0,2
Gemygorvirus stara1,2844555,Sturnus vulgaris,9172,2,1,0,2
Gemykibivirus blabi1,2844561,Turdus merula,9187,2,1,0,2
Gemykibivirus blaro1,2844562,Petroica traversi,228564,2,1,0,2
Gemycircularvirus malas1,2844476,Anas platyrhynchos,8839,2,1,0,2
Gemycircularvirus geras1,2844445,Gerygone albofrontata,1389957,2,1,0,2
Gemycircularvirus geras2,2844446,Gerygone albofrontata,1389957,2,1,0,2
Gemycircularvirus geras3,2844447,Gerygone albofrontata,1389957,2,1,0,2
Orivirus A,2170052,Gallus gallus,9031,3,2,0,3
Orthoavulavirus newyorkense,3051383,Anas platyrhynchos,8839,6,5,0,3
Sunrhavirus sunguru,2734408,Gallus gallus,9031,2,1,0,2
Metaavulavirus galliense,3051365,Gallinago gallinago,107377,2,1,0,2
Metaavulavirus kunitachiense,3051371,Melopsittacus undulatus,13146,3,2,0,3
Paraavulavirus wisconsinense,3052594,Meleagris gallopavo,9103,2,1,0,2
Circovirus swan,3048350,Cygnus olor,8869,4,3,0,3
Chicken picornavirus 1,1534544,Gallus gallus,9031,2,1,0,2
Avisivirus B,1985982,Gallus gallus,9031,2,1,0,2
Avisivirus C,1985983,Gallus gallus,9031,2,1,0,2
Chicken picornavirus 4,1534547,Gallus gallus,9031,3,2,0,2
Gallivirus A,1511776,Gallus gallus,9031,2,1,0,2
Duck aviadenovirus B,1534553,Cairina moschata,8855,29,28,0,24
Penguinpox virus,648998,Spheniscus demersus,92683,5,4,0,2
Pigeonpox virus,10264,Columba livia,8932,31,30,0,3
Mardivirus columbidalpha1,3050267,Falco mexicanus,279964,2,1,0,2
Treiszetapapillomavirus 1,1922208,Fulmarus glacialis,30455,2,1,0,2
Megrivirus A,2170004,Anas platyrhynchos,8839,2,1,0,2
Aalivirus apekidu,2169685,Anas platyrhynchos,8839,1,0,0,1
Mosavirus A,1481452,Coracias garrulus,188338,2,1,0,2
Treisepsilonpapillomavirus 1,1921778,Pygoscelis adeliae,9238,2,1,0,2
Cyanoramphus nest associated circular X DNA virus,1282443,Cyanoramphus auriceps,114432,2,1,0,2
Cyanoramphus nest associated circular K DNA virus,1282444,Cyanoramphus auriceps,114432,2,1,0,2
Porprismacovirus turas1,2845936,Meleagris gallopavo,9103,2,1,0,2
Melegrivirus A,1330070,Meleagris gallopavo,9103,4,2,0,3
Gammapolyomavirus cratorquatus,1891749,Cracticus torquatus,1120791,2,1,0,2
Turkey aviadenovirus C,1962301,Meleagris gallopavo,9103,6,5,0,2
Turkey aviadenovirus D,1962302,Meleagris gallopavo,9103,16,15,0,2
Rotavirus F,183405,Gallus gallus,9031,125,114,0,11
Rotavirus G,183407,Gallus gallus,9031,51,40,0,11
Fowl aviadenovirus B,190062,Gallus gallus,9031,61,60,0,18
Paraavulavirus hongkongense,3052593,Anas rubripes,75857,2,1,0,2
Gallivirus A,1511776,Meleagris gallopavo,9103,4,3,0,2
Gammapolyomavirus secanaria,1891752,Serinus canaria,9135,8,7,0,3
Goose aviadenovirus A,1193420,Anser anser,8843,4,3,0,2
Common moorhen coronavirus HKU21,1159902,Gallinula chloropus,9123,2,1,0,2
Parrot hepatitis B virus,1128118,Psittacula krameri,9228,17,16,0,17
Quail picornavirus QPV1/HUN/2010,1089138,Coturnix coturnix,9091,2,1,0,2
Raptor siadenovirus A,691961,Parabuteo unicinctus,223492,2,1,0,2
Gyrovirus galga1,2844800,Gallus gallus,9031,112,111,0,59
Fowl aviadenovirus C,190063,Gallus gallus,9031,551,550,0,78
Avian leukosis virus,11864,Gallus gallus,9031,1079,1078,0,224
Turkey aviadenovirus B,1146875,Meleagris gallopavo,9103,10,9,0,2
Rotavirus D,335100,Gallus gallus,9031,166,155,0,18
Passerivirus A,1511803,Turdus pallidus,36282,2,1,0,2
Oscivirus A,1511781,Copsychus saularis,343929,3,2,0,3
Oscivirus A,1511781,Turdus hortulorum,411519,3,2,0,3
Highlands J virus,11024,Buteo jamaicensis,56263,2,1,0,2
Thrush coronavirus HKU12-600,572290,Turdus hortulorum,411519,2,1,0,2
Munia coronavirus HKU13,1297661,Lonchura striata,40157,2,1,0,2
Avian coronavirus,694014,Meleagris gallopavo,9103,121,120,0,19
Circovirus raven,3048293,Corvus coronoides,108826,2,1,0,2
Circovirus starling,3048341,Sturnus vulgaris,9172,2,1,0,2
Gammapolyomavirus corvi,1891748,Coloeus monedula,30423,2,1,0,2
Circovirus duck,3047813,Anas platyrhynchos,8839,75,74,0,64
Reticuloendotheliosis virus,11636,Gallus gallus,9031,104,103,0,27
Dependoparvovirus anseriform1,1511895,Cairina moschata,8855,60,59,0,33
Avian endogenous retrovirus EAV-HP,93465,Gallus gallus,9031,10,9,0,3
Duck hepatitis B virus,12639,Anser caerulescens,8849,6,5,0,6
Duck hepatitis B virus,12639,Chloephaga poliocephala,541009,2,1,0,2
Iltovirus psittacidalpha1,3050344,Amazona oratrix,152276,1,0,0,1
Thetapapillomavirus 1,197772,Psittacus erithacus,57247,2,1,0,2
Circovirus canary,3047720,Serinus canaria,9135,12,11,0,2
Mardivirus meleagridalpha1,3050320,Meleagris gallopavo,9103,3,2,0,1
Mardivirus gallidalpha2,3050287,Gallus gallus,9031,1466,1465,0,54
Turkey astrovirus,70793,Meleagris gallopavo,9103,35,34,0,1
Avibirnavirus gumboroense,3048151,Gallus gallus,9031,5338,5336,0,188
Dependoparvovirus anseriform1,1511895,Anser anser,8843,39,38,0,3
Orthoflavivirus wesselsbronense,3048447,Ramphastos toco,95723,1,1,0,0
Gyrovirus chickenanemia,3047743,Gyps fulvus,36247,1,1,0,1
Gyrovirus chickenanemia,3047743,Lophura nycthemera,9046,1,1,0,1
Gyrovirus chickenanemia,3047743,Struthio camelus,8801,1,1,0,1
Gyrovirus chickenanemia,3047743,Aquila chrysaetos,8962,1,1,0,1
Gyrovirus chickenanemia,3047743,Ciconia nigra,36241,1,1,0,1
Orthoavulavirus javaense,3051375,Gallus gallus,9031,7256,7256,0,567
Alphainfluenzavirus influenzae,2955291,Gallus gallus,9031,78788,78788,0,1356
Mardivirus gallidalpha2,3050287,Meleagris gallopavo,9103,59,59,0,0
Avian orthoreovirus,38170,Gallus gallus,9031,2417,2417,0,330
Gyrovirus chickenanemia,3047743,Gallus gallus,9031,1704,1704,0,471
Chicken genomovirus,1985367,Gallus gallus,9031,1,1,0,0
Orthoavulavirus javaense,3051375,Columba livia,8932,131,131,0,14
Orthobornavirus alphapsittaciforme,1548713,Eclectus roratus,176024,20,20,0,0
Orthobornavirus alphapsittaciforme,1548713,Cacatua moluccensis,136504,23,23,0,0
Orthobornavirus betapsittaciforme,1884878,Cacatua moluccensis,136504,1,1,0,0
Orthobornavirus alphapsittaciforme,1548713,Aratinga solstitialis,176015,64,64,0,3
Fowl aviadenovirus A,190061,Gallus gallus,9031,182,182,0,39
Fowl aviadenovirus D,190064,Gallus gallus,9031,734,734,0,77
Metapneumovirus avis,3047384,Meleagris gallopavo,9103,117,117,0,13
Gouldian finch circovirus,1221219,Chloebia gouldiae,44316,2,2,0,0
Yellow-fronted canary circovirus,142661,Crithagra mozambica,1892170,1,1,0,0
Common starling circovirus,349370,Sturnus vulgaris,9172,1,1,0,0
Lavender waxbill polyomavirus,36362,Glaucestrilda caerulescens,247715,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Sterna hirundinacea,227186,32,32,0,0
Alphainfluenzavirus influenzae,2955291,Thalasseus maximus,555356,112,112,0,0
Alphainfluenzavirus influenzae,2955291,Streptopelia decaocto,177147,16,16,0,0
Alphainfluenzavirus influenzae,2955291,Passer domesticus,48849,28,28,0,0
Alphainfluenzavirus influenzae,2955291,Anas platyrhynchos,8839,51999,51999,0,754
Alphainfluenzavirus influenzae,2955291,Cairina moschata,8855,3742,3742,0,11
Alphainfluenzavirus influenzae,2955291,Theristicus caudatus,399597,8,8,0,0
Fowlpox virus,10261,Gallus gallus,9031,297,297,0,15
Duck atadenovirus A,130328,Nymphicus hollandicus,13180,2,2,0,0
Duck atadenovirus A,130328,Psittacula krameri,9228,2,2,0,0
Duck atadenovirus A,130328,Agapornis roseicollis,60468,2,2,0,0
Duck atadenovirus A,130328,Cyanoramphus novaezelandiae,114435,1,1,0,0
Atadenovirus sp.,2671518,Cyanoramphus novaezelandiae,114435,2,2,0,0
Aviadenovirus sp.,2217649,Cyanoramphus novaezelandiae,114435,1,1,0,0
Psittacine adenovirus 2,1301246,Cyanoramphus novaezelandiae,114435,46,46,0,0
Psittacine adenovirus 2,1301246,Nymphicus hollandicus,13180,6,6,0,0
Psittacine adenovirus 2,1301246,Psittacula krameri,9228,1,1,0,0
Psittacine adenovirus 2,1301246,Agapornis roseicollis,60468,6,6,0,0
Psittacine adenovirus 2,1301246,Psephotus haematonotus,176047,1,1,0,0
Psittacine adenovirus 2,1301246,Neopsephotus bourkii,309878,2,2,0,1
Psittacine siadenovirus D,2845976,Agapornis roseicollis,60468,5,5,0,0
Siadenovirus sp.,2671519,Psephotus haematonotus,176047,2,2,0,0
Siadenovirus sp.,2671519,Neopsephotus bourkii,309878,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Stercorarius chilensis,54052,5,5,0,0
Duck hepatitis virus 3,352474,Anas platyrhynchos,8839,1,1,0,0
Sindbis virus,11034,Erithacus rubecula,37610,1,1,0,0
Gammapolyomavirus avis,1891747,Eclectus roratus,176024,22,22,0,3
Alphainfluenzavirus influenzae,2955291,Buteo jamaicensis,56263,444,444,0,0
Alphainfluenzavirus influenzae,2955291,Podiceps auritus,37050,56,56,0,0
Alphainfluenzavirus influenzae,2955291,Calidris alba,279936,815,815,0,0
Alphainfluenzavirus influenzae,2955291,Falco peregrinus,8954,197,197,0,8
Alphainfluenzavirus influenzae,2955291,Calidris canutus,227173,765,765,0,0
Dependoparvovirus anseriform1,1511895,Anas platyrhynchos,8839,144,144,0,30
Avihepatovirus A,691956,Cairina moschata,8855,7,7,0,4
Alphainfluenzavirus influenzae,2955291,Enicognathus leptorhynchus,345190,6,6,0,0
Circovirus parrot,3047561,Agapornis roseicollis,60468,105,105,0,77
Metapneumovirus avis,3047384,Gallus gallus,9031,381,381,0,17
Fowlpox virus,10261,Meleagris gallopavo,9103,100,100,0,0
Alphainfluenzavirus influenzae,2955291,Spheniscus humboldti,9240,26,26,0,0
Alphainfluenzavirus influenzae,2955291,Sula variegata,57663,134,134,0,0
Alphainfluenzavirus influenzae,2955291,Leucophaeus modestus,1471025,55,55,0,0
Alphainfluenzavirus influenzae,2955291,Meleagris gallopavo,9103,7933,7933,0,312
Alphainfluenzavirus influenzae,2955291,Larus dominicanus,37036,442,442,0,8
Alphainfluenzavirus influenzae,2955291,Larosterna inca,297811,51,51,0,0
Alphainfluenzavirus influenzae,2955291,Anas flavirostris,75845,287,287,0,0
Gammapolyomavirus avis,1891747,Pyrrhura molinae,311895,9,9,0,0
Reticuloendotheliosis virus,11636,Anas platyrhynchos,8839,8,8,0,1
Alphainfluenzavirus influenzae,2955291,Leucocarbo bougainvillii,146616,48,48,0,0
Siadenovirus sp.,2671519,Pygoscelis papua,30457,10,10,0,0
Siadenovirus sp.,2671519,Pygoscelis antarcticus,79643,3,3,0,0
Avian coronavirus,694014,Anas platyrhynchos,8839,238,238,0,1
Avian coronavirus,694014,Mergellus albellus,107026,1,1,0,0
Orthoflavivirus bagazaense,3047385,Alectoris rufa,9079,34,34,0,10
Deltacoronavirus sp.,1911231,Chroicocephalus ridibundus,1192867,13,13,0,4
Aveparvovirus galliform1,3051983,Gallus gallus,9031,255,255,0,50
Aviadenovirus hydropericardii,3250174,Gallus gallus,9031,1,1,0,1
Buldecovirus sp.,2832629,Parabuteo unicinctus,223492,1,1,0,0
Avian coronavirus,694014,Pelecanus thagus,1108811,2,2,0,0
Gammapolyomavirus avis,1891747,Agapornis fischeri,60463,8,8,0,7
Avihepatovirus A,691956,Anas platyrhynchos,8839,55,55,0,20
Fowl adenovirus,1354736,Gallus gallus,9031,604,604,0,4
Rotavirus A,28875,Gallus gallus,9031,422,422,0,11
Alphainfluenzavirus influenzae,2955291,Turdus migratorius,9188,19,19,0,0
Avian avastrovirus 4,3242737,Mareca falcata,75844,1,1,0,1
Gammapolyomavirus avis,1891747,Myiopsitta monachus,176066,3,3,0,3
Gammapolyomavirus avis,1891747,Pionites leucogaster,345186,2,2,0,1
Gammapolyomavirus avis,1891747,Pionites melanocephalus,309866,4,4,0,4
Alphainfluenzavirus influenzae,2955291,Cygnus olor,8869,683,683,0,16
Alphainfluenzavirus influenzae,2955291,Spatula querquedula,75856,145,145,0,0
Alphainfluenzavirus influenzae,2955291,Coturnix coturnix,9091,57,57,0,0
Turkey siadenovirus A,298333,Meleagris gallopavo,9103,144,144,0,10
Avipoxvirus sp.,1928336,Anas platyrhynchos,8839,3,3,0,0
Alphainfluenzavirus influenzae,2955291,Sterna vittata,297828,8,8,0,0
Avian astrovirus,1914440,Columba livia,8932,2,2,0,2
Alphainfluenzavirus influenzae,2955291,Buteo buteo,30397,80,80,0,0
Alphainfluenzavirus influenzae,2955291,Chroicocephalus ridibundus,1192867,3748,3748,0,0
Alphainfluenzavirus influenzae,2955291,Tachybaptus ruficollis,100828,40,40,0,1
Alphainfluenzavirus influenzae,2955291,Larus michahellis,119627,124,124,0,0
Alphainfluenzavirus influenzae,2955291,Ardea cinerea,30390,39,39,0,0
Alphainfluenzavirus influenzae,2955291,Cygnus atratus,8868,74,74,0,0
Alphainfluenzavirus influenzae,2955291,Pavo cristatus,9049,50,50,0,8
Alphainfluenzavirus influenzae,2955291,Aythya fuligula,219594,176,176,0,0
Alphainfluenzavirus influenzae,2955291,Larus cachinnans,119609,8,8,0,0
Orthoavulavirus upoense,3051378,Anser cygnoides,8845,4,4,0,4
Tremovirus A,70796,Gallus gallus,9031,80,80,0,7
Orthoflavivirus nilense,3048448,Accipiter gentilis,8957,72,72,0,38
Orthoflavivirus nilense,3048448,Cuculus canorus,55661,1,1,0,0
Orthoflavivirus nilense,3048448,Rallus aquaticus,54496,1,1,0,0
Orthoflavivirus nilense,3048448,Garrulus glandarius,56783,11,11,0,2
Avian nephritis virus,1354735,Gallus gallus,9031,165,165,0,6
Avian orthoreovirus,38170,Anas platyrhynchos,8839,263,263,0,94
Orthoflavivirus usutuense,3048443,Regulus regulus,68468,10,10,0,0
Orthoflavivirus usutuense,3048443,Acanthis flammea,54769,2,2,0,0
Orthoflavivirus usutuense,3048443,Turdus merula,9187,522,522,0,104
Orthoflavivirus usutuense,3048443,Turdus philomelos,127946,12,12,0,1
Orthoflavivirus usutuense,3048443,Troglodytes troglodytes,36278,1,1,0,0
Orthoflavivirus usutuense,3048443,Actitis hypoleucos,320702,1,1,0,0
Orthoflavivirus usutuense,3048443,Fringilla coelebs,37598,4,4,0,0
Orthoflavivirus usutuense,3048443,Garrulus glandarius,56783,4,4,0,0
Orthoflavivirus usutuense,3048443,Motacilla alba,45807,2,2,0,0
Orthoflavivirus usutuense,3048443,Sylvia atricapilla,48155,2,2,0,0
Orthoflavivirus usutuense,3048443,Anas platyrhynchos,8839,5,5,0,0
Orthoflavivirus usutuense,3048443,Cygnus olor,8869,1,1,0,0
Orthoflavivirus usutuense,3048443,Anser indicus,8846,2,2,0,0
Orthoflavivirus usutuense,3048443,Falco subbuteo,344233,1,1,0,0
Anatid alphaherpesvirus 2,3080522,Anser anser,8843,3,3,0,1
Anatid alphaherpesvirus 3,3233541,Cygnus atratus,8868,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Corvus corax,56781,124,124,0,0
Chicken proventricular necrosis virus,908207,Gallus gallus,9031,54,54,0,0
Chicken proventricular necrosis virus,908207,Cyrtonyx montezumae,9017,1,1,0,0
Avihepevirus magniiecur,1678144,Gallus gallus,9031,398,398,0,9
Ostrich parvovirus,2699166,Struthio camelus,8801,4,4,0,4
Gammapolyomavirus avis,1891747,Pyrrhura picta,51910,1,1,0,1
