,Species,GA_original,species,GA,size,gc,genes
47,Antarctic virus 3_III_KPSTAsw018Ch,,Antarctic virus 3_III_KPSTAsw018Ch,GCA_031223005.1,2713.0,50.5,
48,Antarctic virus 3_III_KPSTAsw019Ch,,Antarctic virus 3_III_KPSTAsw019Ch,GCA_031223025.1,2712.0,50.5,
49,Antarctic virus 3_II_CPHALFsw005Ad,,Antarctic virus 3_II_CPHALFsw005Ad,GCA_031223085.1,2705.0,49.5,
50,Antarctic virus 3_IV_KPSTAsw015Ch,,Antarctic virus 3_IV_KPSTAsw015Ch,GCA_031223095.1,2709.0,50.5,
51,Antarctic virus 3_I_CPHALFsw004Ad,,Antarctic virus 3_I_CPHALFsw004Ad,GCA_031223155.1,2720.0,50.0,
52,Antarctic virus 3_V_CPHALFsw003Ad,,Antarctic virus 3_V_CPHALFsw003Ad,GCA_031223215.1,2689.0,50.0,
53,Antarctic virus 4_II_KPSTAsw004Ad,,Antarctic virus 4_II_KPSTAsw004Ad,GCA_031223245.1,2728.0,50.5,
54,Antarctic virus 4_II_KPSTAsw014Ch,,Antarctic virus 4_II_KPSTAsw014Ch,GCA_031223275.1,2728.0,50.5,
55,Antarctic virus 4_II_KPSTAsw015Ch,,Antarctic virus 4_II_KPSTAsw015Ch,GCA_031223325.1,2728.0,50.5,
56,Antarctic virus 4_II_KPSTAsw016Ch,,Antarctic virus 4_II_KPSTAsw016Ch,GCA_031223345.1,2727.0,50.5,
57,Antarctic virus 4_II_KPSTAsw017Ch,,Antarctic virus 4_II_KPSTAsw017Ch,GCA_031223385.1,2728.0,50.5,
58,Antarctic virus 4_II_KPSTAsw018Ch,,Antarctic virus 4_II_KPSTAsw018Ch,GCA_031223425.1,2729.0,50.5,
59,Antarctic virus 4_II_KPSTAsw019Ch,,Antarctic virus 4_II_KPSTAsw019Ch,GCA_031223465.1,2729.0,50.5,
60,Antarctic virus 4_I_KPSTAsw001Ad,,Antarctic virus 4_I_KPSTAsw001Ad,GCA_031223515.1,2721.0,51.5,
61,Antarctic virus 4_I_KPSTAsw002Ad,,Antarctic virus 4_I_KPSTAsw002Ad,GCA_031223535.1,2721.0,51.5,
62,Antarctic virus 4_I_KPSTAsw008Ad,,Antarctic virus 4_I_KPSTAsw008Ad,GCA_031223575.1,2721.0,51.5,
63,Antarctic virus 4_I_KPSTAsw009Ad,,Antarctic virus 4_I_KPSTAsw009Ad,GCA_031223625.1,2721.0,51.5,
64,Antarctic virus 4_I_KPSTAsw010Ad,,Antarctic virus 4_I_KPSTAsw010Ad,GCA_031223635.1,2721.0,51.5,
65,Antarctic virus 5_I_KPSTAsw001Ad,,Antarctic virus 5_I_KPSTAsw001Ad,GCA_031223695.1,2719.0,49.5,
66,Antarctic virus 5_I_KPSTAsw002Ad,,Antarctic virus 5_I_KPSTAsw002Ad,GCA_031223715.1,2719.0,49.5,
67,Antarctic virus 5_I_KPSTAsw004Ad,,Antarctic virus 5_I_KPSTAsw004Ad,,,,
68,Antarctic virus 5_I_KPSTAsw008Ad,,Antarctic virus 5_I_KPSTAsw008Ad,GCA_031223735.1,2719.0,49.5,
69,Antarctic virus 5_I_KPSTAsw009Ad,,Antarctic virus 5_I_KPSTAsw009Ad,GCA_031223745.1,2719.0,49.5,
70,Antarctic virus 5_I_KPSTAsw018Ch,,Antarctic virus 5_I_KPSTAsw018Ch,GCA_031223755.1,2719.0,49.5,
71,Antarctic virus 5_I_KPSTAsw020Ch,,Antarctic virus 5_I_KPSTAsw020Ch,GCA_031223765.1,2719.0,49.5,
72,Antarctic virus 6_I_APBOOTsw001Ad,,Antarctic virus 6_I_APBOOTsw001Ad,GCA_031223775.1,2329.0,49.0,
73,Antarctic virus 6_I_APBOOTsw001Ch,,Antarctic virus 6_I_APBOOTsw001Ch,GCA_031223905.1,2329.0,49.0,
74,Apapanepox virus,,Apapanepox virus,,,,
75,Aplomado falcon AAV1,0,Aplomado falcon AAV1,,,,
76,Aplomado falcon AAV2,0,Aplomado falcon AAV2,,,,
77,Apteryx rowi circovirus-like virus,GCF_004129215.1,Apteryx rowi circovirus-like virus,GCF_004129215.1,2085.0,46.0,2.0
78,Aquila chrysaetos herpesvirus,,Aquila chrysaetos herpesvirus,,,,
79,Ara ararauna Chaphamaparvovirus,,Ara ararauna Chaphamaparvovirus,,,,
80,Ara ararauna aveparvovirus,,Ara ararauna aveparvovirus,,,,
81,Ara ararauna parvoviridae sp.,,Ara ararauna parvoviridae sp.,,,,
82,Ara severa parvoviridae sp.,,Ara severa parvoviridae sp.,,,,
83,Ardenna gravis alphaherpesvirus,,Ardenna gravis alphaherpesvirus,,,,
84,Artemyev virus,0,Artemyev virus,,,,
85,Arundinax aedon parvoviridae sp.,,Arundinax aedon parvoviridae sp.,,,,
86,Asio otus herpesvirus,,Asio otus herpesvirus,,,,
87,Astroviridae sp.,,Astroviridae sp.,GCA_031323405.1,8840.0,42.0,
88,Astrovirus CDB-2012,0,Astrovirus CDB-2012,,,,
89,Astrovirus Er/BMTK529/HUN/2011,0,Astrovirus Er/BMTK529/HUN/2011,,,,
90,Astrovirus Er/SZAL6/HUN/2011,GCF_001045265.1,Astrovirus Er/SZAL6/HUN/2011,GCF_001045265.1,7025.0,52.5,3.0
91,Astrovirus HK-2014,0,Astrovirus HK-2014,,,,
92,Astrovirus Pygoscelis/DT/2012,0,Astrovirus Pygoscelis/DT/2012,,,,
93,Astrovirus black-naped monarch/Cambodia/2010,0,Astrovirus black-naped monarch/Cambodia/2010,,,,
94,Atadenovirus sp.,,Atadenovirus sp.,,,,
95,Australian shelduck avian sapelovirus,0,Australian shelduck avian sapelovirus,,,,
96,Avastrovirus 1,0,Avastrovirus 1,,,,
97,Avastrovirus 2,,Avastrovirus 2,,,,
98,Avastrovirus 3,,Avastrovirus 3,,,,
99,Avastrovirus guineafowl/ITA/2010/Bari-ELVA,0,Avastrovirus guineafowl/ITA/2010/Bari-ELVA,,,,
100,Avastrovirus sp.,,Avastrovirus sp.,,,,
101,Aveparvovirus columbid1,0,Aveparvovirus columbid1,,,,
102,Aveparvovirus galliform1,,Aveparvovirus galliform1,,,,
103,Aveparvovirus gruiform1,GCF_004130255.1,Aveparvovirus gruiform1,GCF_004130255.1,5515.0,54.0,4.0
104,Aveparvovirus sp.,,Aveparvovirus sp.,GCA_031199785.1,6092.0,45.0,
105,Averyanov virus,0,Averyanov virus,,,,
106,Aviadenovirus KLC-2015,0,Aviadenovirus KLC-2015,,,,
107,Aviadenovirus hydropericardii,,Aviadenovirus hydropericardii,,,,
108,Aviadenovirus leucophthalmi,GCF_023131475.1,Aviadenovirus leucophthalmi,GCF_023131475.1,35595.0,52.5,25.0
109,Aviadenovirus sp.,,Aviadenovirus sp.,GCA_034408845.1,40727.0,49.5,
110,Avian HDV-like agent,GCF_004134625.1,Avian HDV-like agent,GCF_004134625.1,1706.0,51.0,1.0
111,Avian associated bastrovirus 1,,Avian associated bastrovirus 1,,,,
112,Avian associated bastrovirus 2,,Avian associated bastrovirus 2,,,,
113,Avian associated calicivirus 1,,Avian associated calicivirus 1,,,,
114,Avian associated calicivirus 2,,Avian associated calicivirus 2,,,,
115,Avian associated calicivirus 3,,Avian associated calicivirus 3,,,,
116,Avian associated calicivirus 4,,Avian associated calicivirus 4,,,,
117,Avian associated calicivirus 5,,Avian associated calicivirus 5,,,,
118,Avian associated hepe-like virus 1,,Avian associated hepe-like virus 1,,,,
119,Avian associated hepe-like virus 10,,Avian associated hepe-like virus 10,,,,
120,Avian associated hepe-like virus 2,,Avian associated hepe-like virus 2,,,,
121,Avian associated hepe-like virus 3,,Avian associated hepe-like virus 3,,,,
122,Avian associated hepe-like virus 4,,Avian associated hepe-like virus 4,,,,
123,Avian associated hepe-like virus 5,,Avian associated hepe-like virus 5,,,,
124,Avian associated hepe-like virus 6,,Avian associated hepe-like virus 6,,,,
125,Avian associated hepe-like virus 7,,Avian associated hepe-like virus 7,,,,
126,Avian associated hepe-like virus 8,,Avian associated hepe-like virus 8,,,,
127,Avian associated hepe-like virus 9,,Avian associated hepe-like virus 9,,,,
128,Avian associated orbivirus 1,,Avian associated orbivirus 1,,,,
129,Avian associated picorna-like virus 1,,Avian associated picorna-like virus 1,,,,
130,Avian associated picorna-like virus 10,,Avian associated picorna-like virus 10,,,,
131,Avian associated picorna-like virus 11,,Avian associated picorna-like virus 11,,,,
132,Avian associated picorna-like virus 13,,Avian associated picorna-like virus 13,,,,
133,Avian associated picorna-like virus 14,,Avian associated picorna-like virus 14,,,,
134,Avian associated picorna-like virus 15,,Avian associated picorna-like virus 15,,,,
135,Avian associated picorna-like virus 16,,Avian associated picorna-like virus 16,,,,
136,Avian associated picorna-like virus 17,,Avian associated picorna-like virus 17,,,,
137,Avian associated picorna-like virus 18,,Avian associated picorna-like virus 18,,,,
138,Avian associated picorna-like virus 19,,Avian associated picorna-like virus 19,,,,
139,Avian associated picorna-like virus 2,,Avian associated picorna-like virus 2,,,,
140,Avian associated picorna-like virus 20,,Avian associated picorna-like virus 20,,,,
141,Avian associated picorna-like virus 21,,Avian associated picorna-like virus 21,,,,
142,Avian associated picorna-like virus 22,,Avian associated picorna-like virus 22,,,,
143,Avian associated picorna-like virus 23,,Avian associated picorna-like virus 23,,,,
144,Avian associated picorna-like virus 24,,Avian associated picorna-like virus 24,,,,
145,Avian associated picorna-like virus 25,,Avian associated picorna-like virus 25,,,,
146,Avian associated picorna-like virus 26,,Avian associated picorna-like virus 26,,,,
147,Avian associated picorna-like virus 27,,Avian associated picorna-like virus 27,,,,
148,Avian associated picorna-like virus 3,,Avian associated picorna-like virus 3,,,,
149,Avian associated picorna-like virus 4,,Avian associated picorna-like virus 4,,,,
150,Avian associated picorna-like virus 5,,Avian associated picorna-like virus 5,,,,
151,Avian associated picorna-like virus 6,,Avian associated picorna-like virus 6,,,,
152,Avian associated picorna-like virus 7,,Avian associated picorna-like virus 7,,,,
153,Avian associated picorna-like virus 8,,Avian associated picorna-like virus 8,,,,
154,Avian associated picorna-like virus 9,,Avian associated picorna-like virus 9,,,,
155,Avian associated reo-like virus 1,,Avian associated reo-like virus 1,,,,
156,Avian associated reo-like virus 2,,Avian associated reo-like virus 2,,,,
157,Avian associated reo-like virus 3,,Avian associated reo-like virus 3,,,,
158,Avian associated reo-like virus 4,,Avian associated reo-like virus 4,,,,
159,Avian associated reo-like virus 5,,Avian associated reo-like virus 5,,,,
160,Avian associated reo-like virus 6,,Avian associated reo-like virus 6,,,,
161,Avian astrovirus,,Avian astrovirus,GCA_031163175.1,6900.0,48.5,3.0
162,Avian astrovirus 2,,Avian astrovirus 2,,,,
163,Avian avastrovirus 4,,Avian avastrovirus 4,,,,
164,Avian bornavirus,,Avian bornavirus,,,,
165,Avian chapparvovirus,GCF_029884985.1,Avian chapparvovirus,GCF_029884985.1,4425.0,40.5,3.0
166,Avian coronavirus,GCF_012271575.1,Avian coronavirus,GCF_012271575.1,27464.0,38.0,6.0
167,Avian coronavirus 9203,0,Avian coronavirus 9203,,,,
168,Avian coronavirus MW05,0,Avian coronavirus MW05,,,,
169,Avian endogenous retrovirus EAV-HP,GCF_000859965.1,Avian endogenous retrovirus EAV-HP,GCF_000859965.1,4302.0,53.0,1.0
170,Avian endogenous virus,0,Avian endogenous virus,,,,
171,Avian gyrovirus 13,,Avian gyrovirus 13,GCA_031236215.1,2195.0,46.5,2.0
172,Avian leukosis virus,GCF_000891575.1,Avian leukosis virus,GCF_000891575.1,7489.0,53.0,3.0
173,Avian megrivirus,,Avian megrivirus,GCA_031321445.1,9594.0,47.0,
174,Avian metaavulavirus 21,GCF_018586885.1,Avian metaavulavirus 21,GCF_018586885.1,16914.0,40.5,6.0
175,Avian myeloblastosis-associated virus,0,Avian myeloblastosis-associated virus,,,,
176,Avian nephritis virus,,Avian nephritis virus,GCA_031155505.1,6959.0,45.5,
177,Avian nephritis virus 3,0,Avian nephritis virus 3,,,,
178,Avian orthoreovirus,GCF_003092915.1,Avian orthoreovirus,GCF_003092915.1,23593.0,48.5,12.0
179,Avian paramyxovirus 17,GCF_013087815.1,Avian paramyxovirus 17,GCF_013087815.1,15408.0,52.0,6.0
180,Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,0,Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,,,,
181,Avian picobirnavirus,,Avian picobirnavirus,,,,
182,Avian picobirnavirus GI,0,Avian picobirnavirus GI,,,,
183,Avian polyomavirus,,Avian polyomavirus,,,,
184,Avian retrovirus,0,Avian retrovirus,,,,
185,Avian rotavirus turkey/Minnesota/B1001/2008,0,Avian rotavirus turkey/Minnesota/B1001/2008,,,,
186,Avian rotavirus turkey/Minnesota/B1002/2008,0,Avian rotavirus turkey/Minnesota/B1002/2008,,,,
187,Avian rotavirus turkey/Minnesota/B1003/2008,0,Avian rotavirus turkey/Minnesota/B1003/2008,,,,
188,Avian rotavirus turkey/Minnesota/B1004/2008,0,Avian rotavirus turkey/Minnesota/B1004/2008,,,,
189,Avian rotavirus turkey/Minnesota/B1006/2008,0,Avian rotavirus turkey/Minnesota/B1006/2008,,,,
190,Avian rotavirus turkey/Minnesota/B1009/2008,0,Avian rotavirus turkey/Minnesota/B1009/2008,,,,
191,Avian rotavirus turkey/Minnesota/B1010/2008,0,Avian rotavirus turkey/Minnesota/B1010/2008,,,,
192,Avian rotavirus turkey/Minnesota/B1012/2008,0,Avian rotavirus turkey/Minnesota/B1012/2008,,,,
193,Avian rotavirus turkey/Minnesota/B1013/2008,0,Avian rotavirus turkey/Minnesota/B1013/2008,,,,
194,Avian rotavirus turkey/Minnesota/B1014/2008,0,Avian rotavirus turkey/Minnesota/B1014/2008,,,,
195,Avian rotavirus turkey/Minnesota/B1015/2008,0,Avian rotavirus turkey/Minnesota/B1015/2008,,,,
196,Avian rotavirus turkey/Minnesota/B1016/2008,0,Avian rotavirus turkey/Minnesota/B1016/2008,,,,
197,Avian rotavirus turkey/Minnesota/B1017/2008,0,Avian rotavirus turkey/Minnesota/B1017/2008,,,,
198,Avian rotavirus turkey/Minnesota/B1019/2008,0,Avian rotavirus turkey/Minnesota/B1019/2008,,,,
199,Avian rotavirus turkey/Minnesota/B1020/2008,0,Avian rotavirus turkey/Minnesota/B1020/2008,,,,
200,Avian rotavirus turkey/Minnesota/B1021/2008,0,Avian rotavirus turkey/Minnesota/B1021/2008,,,,
201,Avian rotavirus turkey/Minnesota/B1023/2008,0,Avian rotavirus turkey/Minnesota/B1023/2008,,,,
202,Avian rotavirus turkey/Minnesota/B2004/2008,0,Avian rotavirus turkey/Minnesota/B2004/2008,,,,
203,Avian rotavirus turkey/Minnesota/B2031/2008,0,Avian rotavirus turkey/Minnesota/B2031/2008,,,,
204,Avian rotavirus turkey/Minnesota/B2032/2008,0,Avian rotavirus turkey/Minnesota/B2032/2008,,,,
205,Avian rotavirus turkey/Minnesota/B2036/2008,0,Avian rotavirus turkey/Minnesota/B2036/2008,,,,
206,Avian rotavirus turkey/Minnesota/B2039/2008,0,Avian rotavirus turkey/Minnesota/B2039/2008,,,,
207,Avian rotavirus turkey/Minnesota/B3003/2008,0,Avian rotavirus turkey/Minnesota/B3003/2008,,,,
208,Avian rotavirus turkey/Minnesota/B3004/2008,0,Avian rotavirus turkey/Minnesota/B3004/2008,,,,
209,Avian rotavirus turkey/Minnesota/B3005/2008,0,Avian rotavirus turkey/Minnesota/B3005/2008,,,,
210,Avian rotavirus turkey/Minnesota/B3006/2008,0,Avian rotavirus turkey/Minnesota/B3006/2008,,,,
211,Avian rotavirus turkey/Minnesota/B3007/2008,0,Avian rotavirus turkey/Minnesota/B3007/2008,,,,
212,Avian rotavirus turkey/Minnesota/B3025/2008,0,Avian rotavirus turkey/Minnesota/B3025/2008,,,,
213,Avian rotavirus turkey/Minnesota/B3029/2008,0,Avian rotavirus turkey/Minnesota/B3029/2008,,,,
214,Avian rotavirus turkey/Minnesota/B4021/2008,0,Avian rotavirus turkey/Minnesota/B4021/2008,,,,
215,Avian rotavirus turkey/Minnesota/B5006/2008,0,Avian rotavirus turkey/Minnesota/B5006/2008,,,,
216,Avian rotavirus turkey/Minnesota/B5009/2008,0,Avian rotavirus turkey/Minnesota/B5009/2008,,,,
217,Avian rotavirus turkey/Minnesota/B5015/2008,0,Avian rotavirus turkey/Minnesota/B5015/2008,,,,
218,Avian rotavirus turkey/Minnesota/B5018/2008,0,Avian rotavirus turkey/Minnesota/B5018/2008,,,,
219,Avian rotavirus turkey/Minnesota/B5019/2008,0,Avian rotavirus turkey/Minnesota/B5019/2008,,,,
220,Avian rotavirus turkey/Minnesota/B5020/2008,0,Avian rotavirus turkey/Minnesota/B5020/2008,,,,
221,Avian rotavirus turkey/Minnesota/B5022/2008,0,Avian rotavirus turkey/Minnesota/B5022/2008,,,,
222,Avian rotavirus turkey/Minnesota/B5023/2008,0,Avian rotavirus turkey/Minnesota/B5023/2008,,,,
223,Avian rotavirus turkey/Minnesota/B5024/2008,0,Avian rotavirus turkey/Minnesota/B5024/2008,,,,
224,Avian rotavirus turkey/Minnesota/B5035/2008,0,Avian rotavirus turkey/Minnesota/B5035/2008,,,,
225,Avibirnavirus gumboroense,GCF_000855485.1,Avibirnavirus gumboroense,GCF_000855485.1,5898.0,53.5,3.0
226,Avihepatovirus A,,Avihepatovirus A,,,,
227,Avihepatovirus sp.,0,Avihepatovirus sp.,,,,
228,Avihepevirus egretti,0,Avihepevirus egretti,,,,
229,Avihepevirus magniiecur,,Avihepevirus magniiecur,,,,
230,Avipoxvirus 1130,,Avipoxvirus 1130,,,,
231,Avipoxvirus 2017,0,Avipoxvirus 2017,,,,
232,Avipoxvirus 2A205643,0,Avipoxvirus 2A205643,,,,
233,Avipoxvirus 31239,0,Avipoxvirus 31239,,,,
234,Avipoxvirus 3864,0,Avipoxvirus 3864,,,,
235,Avipoxvirus BL-2012,0,Avipoxvirus BL-2012,,,,
236,Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,0,Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,,,,
237,Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,0,Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,,,,
238,Avipoxvirus Betim 1,0,Avipoxvirus Betim 1,,,,
239,Avipoxvirus CVL,0,Avipoxvirus CVL,,,,
240,Avipoxvirus DX,0,Avipoxvirus DX,,,,
241,Avipoxvirus E00/RD,0,Avipoxvirus E00/RD,,,,
242,Avipoxvirus E00/S5,0,Avipoxvirus E00/S5,,,,
243,Avipoxvirus E00/U5,0,Avipoxvirus E00/U5,,,,
244,Avipoxvirus E00/UN,0,Avipoxvirus E00/UN,,,,
245,Avipoxvirus E00/VS,0,Avipoxvirus E00/VS,,,,
246,Avipoxvirus EX8221,0,Avipoxvirus EX8221,,,,
247,Avipoxvirus FGPV_KD09.ZAF,0,Avipoxvirus FGPV_KD09.ZAF,,,,
248,Avipoxvirus FMA-2012,0,Avipoxvirus FMA-2012,,,,
249,Avipoxvirus GB,0,Avipoxvirus GB,,,,
250,Avipoxvirus Gav01/Lima/2011,0,Avipoxvirus Gav01/Lima/2011,,,,
251,Avipoxvirus HNPV/NZL/2002,0,Avipoxvirus HNPV/NZL/2002,,,,
252,Avipoxvirus HUPV1/NZL/1992,0,Avipoxvirus HUPV1/NZL/1992,,,,
253,Avipoxvirus ID2701,0,Avipoxvirus ID2701,,,,
254,Avipoxvirus ID2757,0,Avipoxvirus ID2757,,,,
255,Avipoxvirus ID8501092,0,Avipoxvirus ID8501092,,,,
256,Avipoxvirus ID8926,0,Avipoxvirus ID8926,,,,
257,Avipoxvirus ID8964,0,Avipoxvirus ID8964,,,,
258,Avipoxvirus ID9081,0,Avipoxvirus ID9081,,,,
259,Avipoxvirus ID9801,0,Avipoxvirus ID9801,,,,
260,Avipoxvirus India/07/2009,0,Avipoxvirus India/07/2009,,,,
261,Avipoxvirus India/08/2009,0,Avipoxvirus India/08/2009,,,,
262,Avipoxvirus Japanese cormorant/Iwakuni/2017,0,Avipoxvirus Japanese cormorant/Iwakuni/2017,,,,
263,Avipoxvirus Japanese cormorant/Miyoshi/2017,0,Avipoxvirus Japanese cormorant/Miyoshi/2017,,,,
264,Avipoxvirus Japanese cormorant/Yamanashi/2017,0,Avipoxvirus Japanese cormorant/Yamanashi/2017,,,,
265,Avipoxvirus Japanese cormorant/Yamanashi/2019,0,Avipoxvirus Japanese cormorant/Yamanashi/2019,,,,
266,Avipoxvirus MK1,0,Avipoxvirus MK1,,,,
267,Avipoxvirus MZ-2014,0,Avipoxvirus MZ-2014,,,,
268,Avipoxvirus N624124,0,Avipoxvirus N624124,,,,
269,Avipoxvirus OKr-2014,0,Avipoxvirus OKr-2014,,,,
270,Avipoxvirus OL1,0,Avipoxvirus OL1,,,,
271,Avipoxvirus PA153/05,0,Avipoxvirus PA153/05,,,,
272,Avipoxvirus PAPV/NZL/2002,0,Avipoxvirus PAPV/NZL/2002,,,,
273,Avipoxvirus PCcPV1/NZL/2006,0,Avipoxvirus PCcPV1/NZL/2006,,,,
274,Avipoxvirus PCcPV2/NZL/2007,0,Avipoxvirus PCcPV2/NZL/2007,,,,
275,Avipoxvirus PEPV_San92,0,Avipoxvirus PEPV_San92,,,,
276,Avipoxvirus PGPV10K_LD1,0,Avipoxvirus PGPV10K_LD1,,,,
277,Avipoxvirus PGPV10K_RP1,0,Avipoxvirus PGPV10K_RP1,,,,
278,Avipoxvirus PGPV10K_SP1,0,Avipoxvirus PGPV10K_SP1,,,,
279,Avipoxvirus PGPV11K_FP1,0,Avipoxvirus PGPV11K_FP1,,,,
280,Avipoxvirus PGPV11K_FP2,0,Avipoxvirus PGPV11K_FP2,,,,
281,Avipoxvirus PGPV11K_LD2,0,Avipoxvirus PGPV11K_LD2,,,,
282,Avipoxvirus PGPV11K_Pi5,0,Avipoxvirus PGPV11K_Pi5,,,,
283,Avipoxvirus PGPV93K_RP2,0,Avipoxvirus PGPV93K_RP2,,,,
284,Avipoxvirus PGPVO_Pi1,0,Avipoxvirus PGPVO_Pi1,,,,
285,Avipoxvirus PGPVO_Pi2,0,Avipoxvirus PGPVO_Pi2,,,,
286,Avipoxvirus PGPVO_Pi4,0,Avipoxvirus PGPVO_Pi4,,,,
287,Avipoxvirus PTPV/NZL/2005,0,Avipoxvirus PTPV/NZL/2005,,,,
288,Avipoxvirus Pat/07,0,Avipoxvirus Pat/07,,,,
289,Avipoxvirus Peekham,0,Avipoxvirus Peekham,,,,
290,Avipoxvirus Pox10291,0,Avipoxvirus Pox10291,,,,
291,Avipoxvirus Pox10302,0,Avipoxvirus Pox10302,,,,
292,Avipoxvirus Pox10588,0,Avipoxvirus Pox10588,,,,
293,Avipoxvirus Pox10643,0,Avipoxvirus Pox10643,,,,
294,Avipoxvirus Pox10716,0,Avipoxvirus Pox10716,,,,
295,Avipoxvirus Pox11408,0,Avipoxvirus Pox11408,,,,
296,Avipoxvirus Pox11458,0,Avipoxvirus Pox11458,,,,
297,Avipoxvirus Pox12717,0,Avipoxvirus Pox12717,,,,
298,Avipoxvirus Pox13916,0,Avipoxvirus Pox13916,,,,
299,Avipoxvirus Pox7379,0,Avipoxvirus Pox7379,,,,
300,Avipoxvirus PoxHAAM26,0,Avipoxvirus PoxHAAM26,,,,
