Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Antarctic virus 3_III_KPSTAsw016Ch,Antarctic virus 3_III_KPSTAsw016Ch,GCA_031222945.1,2712.0,50.5,,0,0,0,1
Antarctic virus 3_III_KPSTAsw018Ch,Antarctic virus 3_III_KPSTAsw018Ch,GCA_031223005.1,2713.0,50.5,,0,0,0,1
Antarctic virus 3_III_KPSTAsw019Ch,Antarctic virus 3_III_KPSTAsw019Ch,GCA_031223025.1,2712.0,50.5,,0,0,0,1
Antarctic virus 3_II_CPHALFsw005Ad,Antarctic virus 3_II_CPHALFsw005Ad,GCA_031223085.1,2705.0,49.5,,0,0,0,1
Antarctic virus 3_IV_KPSTAsw015Ch,Antarctic virus 3_IV_KPSTAsw015Ch,GCA_031223095.1,2709.0,50.5,,0,0,0,1
Antarctic virus 3_I_CPHALFsw004Ad,Antarctic virus 3_I_CPHALFsw004Ad,GCA_031223155.1,2720.0,50.0,,0,0,0,1
Antarctic virus 3_V_CPHALFsw003Ad,Antarctic virus 3_V_CPHALFsw003Ad,GCA_031223215.1,2689.0,50.0,,0,0,0,1
Antarctic virus 4_II_KPSTAsw004Ad,Antarctic virus 4_II_KPSTAsw004Ad,GCA_031223245.1,2728.0,50.5,,0,0,0,1
Antarctic virus 4_II_KPSTAsw014Ch,Antarctic virus 4_II_KPSTAsw014Ch,GCA_031223275.1,2728.0,50.5,,0,0,0,1
Antarctic virus 4_II_KPSTAsw015Ch,Antarctic virus 4_II_KPSTAsw015Ch,GCA_031223325.1,2728.0,50.5,,0,0,0,1
Antarctic virus 4_II_KPSTAsw016Ch,Antarctic virus 4_II_KPSTAsw016Ch,GCA_031223345.1,2727.0,50.5,,0,0,0,1
Antarctic virus 4_II_KPSTAsw017Ch,Antarctic virus 4_II_KPSTAsw017Ch,GCA_031223385.1,2728.0,50.5,,0,0,0,1
Antarctic virus 4_II_KPSTAsw018Ch,Antarctic virus 4_II_KPSTAsw018Ch,GCA_031223425.1,2729.0,50.5,,0,0,0,1
Antarctic virus 4_II_KPSTAsw019Ch,Antarctic virus 4_II_KPSTAsw019Ch,GCA_031223465.1,2729.0,50.5,,0,0,0,1
Antarctic virus 4_I_KPSTAsw001Ad,Antarctic virus 4_I_KPSTAsw001Ad,GCA_031223515.1,2721.0,51.5,,0,0,0,1
Antarctic virus 4_I_KPSTAsw002Ad,Antarctic virus 4_I_KPSTAsw002Ad,GCA_031223535.1,2721.0,51.5,,0,0,0,1
Antarctic virus 4_I_KPSTAsw008Ad,Antarctic virus 4_I_KPSTAsw008Ad,GCA_031223575.1,2721.0,51.5,,0,0,0,1
Antarctic virus 4_I_KPSTAsw009Ad,Antarctic virus 4_I_KPSTAsw009Ad,GCA_031223625.1,2721.0,51.5,,0,0,0,1
Antarctic virus 4_I_KPSTAsw010Ad,Antarctic virus 4_I_KPSTAsw010Ad,GCA_031223635.1,2721.0,51.5,,0,0,0,1
Antarctic virus 5_I_KPSTAsw001Ad,Antarctic virus 5_I_KPSTAsw001Ad,GCA_031223695.1,2719.0,49.5,,0,0,0,1
Antarctic virus 5_I_KPSTAsw002Ad,Antarctic virus 5_I_KPSTAsw002Ad,GCA_031223715.1,2719.0,49.5,,0,0,0,1
Antarctic virus 5_I_KPSTAsw004Ad,Antarctic virus 5_I_KPSTAsw004Ad,,,,,1,1,1,1
Antarctic virus 5_I_KPSTAsw008Ad,Antarctic virus 5_I_KPSTAsw008Ad,GCA_031223735.1,2719.0,49.5,,0,0,0,1
Antarctic virus 5_I_KPSTAsw009Ad,Antarctic virus 5_I_KPSTAsw009Ad,GCA_031223745.1,2719.0,49.5,,0,0,0,1
Antarctic virus 5_I_KPSTAsw018Ch,Antarctic virus 5_I_KPSTAsw018Ch,GCA_031223755.1,2719.0,49.5,,0,0,0,1
Antarctic virus 5_I_KPSTAsw020Ch,Antarctic virus 5_I_KPSTAsw020Ch,GCA_031223765.1,2719.0,49.5,,0,0,0,1
Antarctic virus 6_I_APBOOTsw001Ad,Antarctic virus 6_I_APBOOTsw001Ad,GCA_031223775.1,2329.0,49.0,,0,0,0,1
Antarctic virus 6_I_APBOOTsw001Ch,Antarctic virus 6_I_APBOOTsw001Ch,GCA_031223905.1,2329.0,49.0,,0,0,0,1
Apapanepox virus,Apapanepox virus,,,,,1,1,1,1
Aplomado falcon AAV1,Aplomado falcon AAV1,,,,,1,1,1,1
Aplomado falcon AAV2,Aplomado falcon AAV2,,,,,1,1,1,1
Apteryx rowi circovirus-like virus,Apteryx rowi circovirus-like virus,GCF_004129215.1,2085.0,46.0,2.0,0,0,0,0
Aquila chrysaetos herpesvirus,Aquila chrysaetos herpesvirus,,,,,1,1,1,1
Ara ararauna Chaphamaparvovirus,Ara ararauna Chaphamaparvovirus,,,,,1,1,1,1
Ara ararauna aveparvovirus,Ara ararauna aveparvovirus,,,,,1,1,1,1
Ara ararauna parvoviridae sp.,Ara ararauna parvoviridae sp.,,,,,1,1,1,1
Ara severa parvoviridae sp.,Ara severa parvoviridae sp.,,,,,1,1,1,1
Ardenna gravis alphaherpesvirus,Ardenna gravis alphaherpesvirus,,,,,1,1,1,1
Artemyev virus,Artemyev virus,,,,,1,1,1,1
Arundinax aedon parvoviridae sp.,Arundinax aedon parvoviridae sp.,,,,,1,1,1,1
Asio otus herpesvirus,Asio otus herpesvirus,,,,,1,1,1,1
Astroviridae sp.,Astroviridae sp.,GCA_031323405.1,8840.0,42.0,,0,0,0,1
Astrovirus CDB-2012,Astrovirus CDB-2012,,,,,1,1,1,1
Astrovirus Er/BMTK529/HUN/2011,Astrovirus Er/BMTK529/HUN/2011,,,,,1,1,1,1
Astrovirus Er/SZAL6/HUN/2011,Astrovirus Er/SZAL6/HUN/2011,GCF_001045265.1,7025.0,52.5,3.0,0,0,0,0
Astrovirus HK-2014,Astrovirus HK-2014,,,,,1,1,1,1
Astrovirus Pygoscelis/DT/2012,Astrovirus Pygoscelis/DT/2012,,,,,1,1,1,1
Astrovirus black-naped monarch/Cambodia/2010,Astrovirus black-naped monarch/Cambodia/2010,,,,,1,1,1,1
Atadenovirus sp.,Atadenovirus sp.,,,,,1,1,1,1
Australian shelduck avian sapelovirus,Australian shelduck avian sapelovirus,,,,,1,1,1,1
Avastrovirus 1,Avastrovirus 1,,,,,1,1,1,1
Avastrovirus 2,Avastrovirus 2,,,,,1,1,1,1
Avastrovirus 3,Avastrovirus 3,,,,,1,1,1,1
Avastrovirus guineafowl/ITA/2010/Bari-ELVA,Avastrovirus guineafowl/ITA/2010/Bari-ELVA,,,,,1,1,1,1
Avastrovirus sp.,Avastrovirus sp.,,,,,1,1,1,1
Aveparvovirus columbid1,Aveparvovirus columbid1,,,,,1,1,1,1
Aveparvovirus galliform1,Aveparvovirus galliform1,,,,,1,1,1,1
Aveparvovirus gruiform1,Aveparvovirus gruiform1,GCF_004130255.1,5515.0,54.0,4.0,0,0,0,0
Aveparvovirus sp.,Aveparvovirus sp.,GCA_031199785.1,6092.0,45.0,,0,0,0,1
Averyanov virus,Averyanov virus,,,,,1,1,1,1
Aviadenovirus KLC-2015,Aviadenovirus KLC-2015,,,,,1,1,1,1
Aviadenovirus hydropericardii,Aviadenovirus hydropericardii,,,,,1,1,1,1
Aviadenovirus leucophthalmi,Aviadenovirus leucophthalmi,GCF_023131475.1,35595.0,52.5,25.0,0,0,0,0
Aviadenovirus sp.,Aviadenovirus sp.,GCA_034408845.1,40727.0,49.5,,0,0,0,1
Avian HDV-like agent,Avian HDV-like agent,GCF_004134625.1,1706.0,51.0,1.0,0,0,0,0
Avian associated bastrovirus 1,Avian associated bastrovirus 1,,,,,1,1,1,1
Avian associated bastrovirus 2,Avian associated bastrovirus 2,,,,,1,1,1,1
Avian associated calicivirus 1,Avian associated calicivirus 1,,,,,1,1,1,1
Avian associated calicivirus 2,Avian associated calicivirus 2,,,,,1,1,1,1
Avian associated calicivirus 3,Avian associated calicivirus 3,,,,,1,1,1,1
Avian associated calicivirus 4,Avian associated calicivirus 4,,,,,1,1,1,1
Avian associated calicivirus 5,Avian associated calicivirus 5,,,,,1,1,1,1
Avian associated hepe-like virus 1,Avian associated hepe-like virus 1,,,,,1,1,1,1
Avian associated hepe-like virus 10,Avian associated hepe-like virus 10,,,,,1,1,1,1
Avian associated hepe-like virus 2,Avian associated hepe-like virus 2,,,,,1,1,1,1
Avian associated hepe-like virus 3,Avian associated hepe-like virus 3,,,,,1,1,1,1
Avian associated hepe-like virus 4,Avian associated hepe-like virus 4,,,,,1,1,1,1
Avian associated hepe-like virus 5,Avian associated hepe-like virus 5,,,,,1,1,1,1
Avian associated hepe-like virus 6,Avian associated hepe-like virus 6,,,,,1,1,1,1
Avian associated hepe-like virus 7,Avian associated hepe-like virus 7,,,,,1,1,1,1
Avian associated hepe-like virus 8,Avian associated hepe-like virus 8,,,,,1,1,1,1
Avian associated hepe-like virus 9,Avian associated hepe-like virus 9,,,,,1,1,1,1
Avian associated orbivirus 1,Avian associated orbivirus 1,,,,,1,1,1,1
Avian associated picorna-like virus 1,Avian associated picorna-like virus 1,,,,,1,1,1,1
Avian associated picorna-like virus 10,Avian associated picorna-like virus 10,,,,,1,1,1,1
Avian associated picorna-like virus 11,Avian associated picorna-like virus 11,,,,,1,1,1,1
Avian associated picorna-like virus 13,Avian associated picorna-like virus 13,,,,,1,1,1,1
Avian associated picorna-like virus 14,Avian associated picorna-like virus 14,,,,,1,1,1,1
Avian associated picorna-like virus 15,Avian associated picorna-like virus 15,,,,,1,1,1,1
Avian associated picorna-like virus 16,Avian associated picorna-like virus 16,,,,,1,1,1,1
Avian associated picorna-like virus 17,Avian associated picorna-like virus 17,,,,,1,1,1,1
Avian associated picorna-like virus 18,Avian associated picorna-like virus 18,,,,,1,1,1,1
Avian associated picorna-like virus 19,Avian associated picorna-like virus 19,,,,,1,1,1,1
Avian associated picorna-like virus 2,Avian associated picorna-like virus 2,,,,,1,1,1,1
Avian associated picorna-like virus 20,Avian associated picorna-like virus 20,,,,,1,1,1,1
Avian associated picorna-like virus 21,Avian associated picorna-like virus 21,,,,,1,1,1,1
Avian associated picorna-like virus 22,Avian associated picorna-like virus 22,,,,,1,1,1,1
Avian associated picorna-like virus 23,Avian associated picorna-like virus 23,,,,,1,1,1,1
Avian associated picorna-like virus 24,Avian associated picorna-like virus 24,,,,,1,1,1,1
Avian associated picorna-like virus 25,Avian associated picorna-like virus 25,,,,,1,1,1,1
Avian associated picorna-like virus 26,Avian associated picorna-like virus 26,,,,,1,1,1,1
Avian associated picorna-like virus 27,Avian associated picorna-like virus 27,,,,,1,1,1,1
Avian associated picorna-like virus 3,Avian associated picorna-like virus 3,,,,,1,1,1,1
Avian associated picorna-like virus 4,Avian associated picorna-like virus 4,,,,,1,1,1,1
Avian associated picorna-like virus 5,Avian associated picorna-like virus 5,,,,,1,1,1,1
Avian associated picorna-like virus 6,Avian associated picorna-like virus 6,,,,,1,1,1,1
Avian associated picorna-like virus 7,Avian associated picorna-like virus 7,,,,,1,1,1,1
Avian associated picorna-like virus 8,Avian associated picorna-like virus 8,,,,,1,1,1,1
Avian associated picorna-like virus 9,Avian associated picorna-like virus 9,,,,,1,1,1,1
Avian associated reo-like virus 1,Avian associated reo-like virus 1,,,,,1,1,1,1
Avian associated reo-like virus 2,Avian associated reo-like virus 2,,,,,1,1,1,1
Avian associated reo-like virus 3,Avian associated reo-like virus 3,,,,,1,1,1,1
Avian associated reo-like virus 4,Avian associated reo-like virus 4,,,,,1,1,1,1
Avian associated reo-like virus 5,Avian associated reo-like virus 5,,,,,1,1,1,1
Avian associated reo-like virus 6,Avian associated reo-like virus 6,,,,,1,1,1,1
Avian astrovirus,Avian astrovirus,GCA_031163175.1,6900.0,48.5,3.0,0,0,0,0
Avian astrovirus 2,Avian astrovirus 2,,,,,1,1,1,1
Avian avastrovirus 4,Avian avastrovirus 4,,,,,1,1,1,1
Avian bornavirus,Avian bornavirus,,,,,1,1,1,1
Avian chapparvovirus,Avian chapparvovirus,GCF_029884985.1,4425.0,40.5,3.0,0,0,0,0
Avian coronavirus,Avian coronavirus,GCF_012271575.1,27464.0,38.0,6.0,0,0,0,0
Avian coronavirus 9203,Avian coronavirus 9203,,,,,1,1,1,1
Avian coronavirus MW05,Avian coronavirus MW05,,,,,1,1,1,1
Avian endogenous retrovirus EAV-HP,Avian endogenous retrovirus EAV-HP,GCF_000859965.1,4302.0,53.0,1.0,0,0,0,0
Avian endogenous virus,Avian endogenous virus,,,,,1,1,1,1
Avian gyrovirus 13,Avian gyrovirus 13,GCA_031236215.1,2195.0,46.5,2.0,0,0,0,0
Avian leukosis virus,Avian leukosis virus,GCF_000891575.1,7489.0,53.0,3.0,0,0,0,0
Avian megrivirus,Avian megrivirus,GCA_031321445.1,9594.0,47.0,,0,0,0,1
Avian metaavulavirus 21,Avian metaavulavirus 21,GCF_018586885.1,16914.0,40.5,6.0,0,0,0,0
Avian myeloblastosis-associated virus,Avian myeloblastosis-associated virus,,,,,1,1,1,1
Avian nephritis virus,Avian nephritis virus,GCA_031155505.1,6959.0,45.5,,0,0,0,1
Avian nephritis virus 3,Avian nephritis virus 3,,,,,1,1,1,1
Avian orthoreovirus,Avian orthoreovirus,GCF_003092915.1,23593.0,48.5,12.0,0,0,0,0
Avian paramyxovirus 17,Avian paramyxovirus 17,GCF_013087815.1,15408.0,52.0,6.0,0,0,0,0
Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,,,,,1,1,1,1
Avian picobirnavirus,Avian picobirnavirus,,,,,1,1,1,1
Avian picobirnavirus GI,Avian picobirnavirus GI,,,,,1,1,1,1
Avian polyomavirus,Avian polyomavirus,,,,,1,1,1,1
Avian retrovirus,Avian retrovirus,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1001/2008,Avian rotavirus turkey/Minnesota/B1001/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1002/2008,Avian rotavirus turkey/Minnesota/B1002/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1003/2008,Avian rotavirus turkey/Minnesota/B1003/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1004/2008,Avian rotavirus turkey/Minnesota/B1004/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1006/2008,Avian rotavirus turkey/Minnesota/B1006/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1009/2008,Avian rotavirus turkey/Minnesota/B1009/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1010/2008,Avian rotavirus turkey/Minnesota/B1010/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1012/2008,Avian rotavirus turkey/Minnesota/B1012/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1013/2008,Avian rotavirus turkey/Minnesota/B1013/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1014/2008,Avian rotavirus turkey/Minnesota/B1014/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1015/2008,Avian rotavirus turkey/Minnesota/B1015/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1016/2008,Avian rotavirus turkey/Minnesota/B1016/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1017/2008,Avian rotavirus turkey/Minnesota/B1017/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1019/2008,Avian rotavirus turkey/Minnesota/B1019/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1020/2008,Avian rotavirus turkey/Minnesota/B1020/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1021/2008,Avian rotavirus turkey/Minnesota/B1021/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B1023/2008,Avian rotavirus turkey/Minnesota/B1023/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B2004/2008,Avian rotavirus turkey/Minnesota/B2004/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B2031/2008,Avian rotavirus turkey/Minnesota/B2031/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B2032/2008,Avian rotavirus turkey/Minnesota/B2032/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B2036/2008,Avian rotavirus turkey/Minnesota/B2036/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B2039/2008,Avian rotavirus turkey/Minnesota/B2039/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B3003/2008,Avian rotavirus turkey/Minnesota/B3003/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B3004/2008,Avian rotavirus turkey/Minnesota/B3004/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B3005/2008,Avian rotavirus turkey/Minnesota/B3005/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B3006/2008,Avian rotavirus turkey/Minnesota/B3006/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B3007/2008,Avian rotavirus turkey/Minnesota/B3007/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B3025/2008,Avian rotavirus turkey/Minnesota/B3025/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B3029/2008,Avian rotavirus turkey/Minnesota/B3029/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B4021/2008,Avian rotavirus turkey/Minnesota/B4021/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5006/2008,Avian rotavirus turkey/Minnesota/B5006/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5009/2008,Avian rotavirus turkey/Minnesota/B5009/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5015/2008,Avian rotavirus turkey/Minnesota/B5015/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5018/2008,Avian rotavirus turkey/Minnesota/B5018/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5019/2008,Avian rotavirus turkey/Minnesota/B5019/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5020/2008,Avian rotavirus turkey/Minnesota/B5020/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5022/2008,Avian rotavirus turkey/Minnesota/B5022/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5023/2008,Avian rotavirus turkey/Minnesota/B5023/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5024/2008,Avian rotavirus turkey/Minnesota/B5024/2008,,,,,1,1,1,1
Avian rotavirus turkey/Minnesota/B5035/2008,Avian rotavirus turkey/Minnesota/B5035/2008,,,,,1,1,1,1
Avibirnavirus gumboroense,Avibirnavirus gumboroense,GCF_000855485.1,5898.0,53.5,3.0,0,0,0,0
Avihepatovirus A,Avihepatovirus A,,,,,1,1,1,1
Avihepatovirus sp.,Avihepatovirus sp.,,,,,1,1,1,1
Avihepevirus egretti,Avihepevirus egretti,,,,,1,1,1,1
Avihepevirus magniiecur,Avihepevirus magniiecur,,,,,1,1,1,1
Avipoxvirus 1130,Avipoxvirus 1130,,,,,1,1,1,1
Avipoxvirus 2017,Avipoxvirus 2017,,,,,1,1,1,1
Avipoxvirus 2A205643,Avipoxvirus 2A205643,,,,,1,1,1,1
Avipoxvirus 31239,Avipoxvirus 31239,,,,,1,1,1,1
Avipoxvirus 3864,Avipoxvirus 3864,,,,,1,1,1,1
Avipoxvirus BL-2012,Avipoxvirus BL-2012,,,,,1,1,1,1
Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,,,,,1,1,1,1
Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,,,,,1,1,1,1
Avipoxvirus Betim 1,Avipoxvirus Betim 1,,,,,1,1,1,1
Avipoxvirus CVL,Avipoxvirus CVL,,,,,1,1,1,1
Avipoxvirus DX,Avipoxvirus DX,,,,,1,1,1,1
Avipoxvirus E00/RD,Avipoxvirus E00/RD,,,,,1,1,1,1
Avipoxvirus E00/S5,Avipoxvirus E00/S5,,,,,1,1,1,1
Avipoxvirus E00/U5,Avipoxvirus E00/U5,,,,,1,1,1,1
Avipoxvirus E00/UN,Avipoxvirus E00/UN,,,,,1,1,1,1
Avipoxvirus E00/VS,Avipoxvirus E00/VS,,,,,1,1,1,1
Avipoxvirus EX8221,Avipoxvirus EX8221,,,,,1,1,1,1
Avipoxvirus FGPV_KD09.ZAF,Avipoxvirus FGPV_KD09.ZAF,,,,,1,1,1,1
Avipoxvirus FMA-2012,Avipoxvirus FMA-2012,,,,,1,1,1,1
Avipoxvirus GB,Avipoxvirus GB,,,,,1,1,1,1
Avipoxvirus Gav01/Lima/2011,Avipoxvirus Gav01/Lima/2011,,,,,1,1,1,1
Avipoxvirus HNPV/NZL/2002,Avipoxvirus HNPV/NZL/2002,,,,,1,1,1,1
Avipoxvirus HUPV1/NZL/1992,Avipoxvirus HUPV1/NZL/1992,,,,,1,1,1,1
Avipoxvirus ID2701,Avipoxvirus ID2701,,,,,1,1,1,1
Avipoxvirus ID2757,Avipoxvirus ID2757,,,,,1,1,1,1
Avipoxvirus ID8501092,Avipoxvirus ID8501092,,,,,1,1,1,1
Avipoxvirus ID8926,Avipoxvirus ID8926,,,,,1,1,1,1
Avipoxvirus ID8964,Avipoxvirus ID8964,,,,,1,1,1,1
Avipoxvirus ID9081,Avipoxvirus ID9081,,,,,1,1,1,1
Avipoxvirus ID9801,Avipoxvirus ID9801,,,,,1,1,1,1
Avipoxvirus India/07/2009,Avipoxvirus India/07/2009,,,,,1,1,1,1
Avipoxvirus India/08/2009,Avipoxvirus India/08/2009,,,,,1,1,1,1
Avipoxvirus Japanese cormorant/Iwakuni/2017,Avipoxvirus Japanese cormorant/Iwakuni/2017,,,,,1,1,1,1
Avipoxvirus Japanese cormorant/Miyoshi/2017,Avipoxvirus Japanese cormorant/Miyoshi/2017,,,,,1,1,1,1
Avipoxvirus Japanese cormorant/Yamanashi/2017,Avipoxvirus Japanese cormorant/Yamanashi/2017,,,,,1,1,1,1
Avipoxvirus Japanese cormorant/Yamanashi/2019,Avipoxvirus Japanese cormorant/Yamanashi/2019,,,,,1,1,1,1
Avipoxvirus MK1,Avipoxvirus MK1,,,,,1,1,1,1
Avipoxvirus MZ-2014,Avipoxvirus MZ-2014,,,,,1,1,1,1
Avipoxvirus N624124,Avipoxvirus N624124,,,,,1,1,1,1
Avipoxvirus OKr-2014,Avipoxvirus OKr-2014,,,,,1,1,1,1
Avipoxvirus OL1,Avipoxvirus OL1,,,,,1,1,1,1
Avipoxvirus PA153/05,Avipoxvirus PA153/05,,,,,1,1,1,1
Avipoxvirus PAPV/NZL/2002,Avipoxvirus PAPV/NZL/2002,,,,,1,1,1,1
