pathogen,pathogenID,eid2UpdatedVirusID,host,hostID,order,fromSequence,fromPublication,strongest evidence type,strongest evidence,included
aichivirus f,26205228,29360042,miniopterus schreibersii,3433300,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,myotis altarium,3863063,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,myotis bechsteinii,3494200,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,myotis dasycneme,3632930,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,myotis myotis,3479704,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,myotis oxygnathus,3859431,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,myotis ricketti,3673960,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,nyctalus noctula,3479708,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,rhinolophus affinis,3494227,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,rhinolophus blasii,3954103,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,rhinolophus euryale,3581323,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,rhinolophus ferrumequinum,3494231,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,rhinolophus hipposideros,3524426,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,rhinolophus lepidus,3659999,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,rhinolophus sinicus,3546014,chiroptera,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,vespertilio sinensis,3573905,chiroptera,1,0,sequence (EID2),isolation,1
aino orthobunyavirus,3436421,29395056,bos taurus,3434101,ruminantia,1,15,sequence (EID2),isolation,1
aino orthobunyavirus,3436421,29395056,bubalus bubalis,3546118,ruminantia,0,1,antibodies,serelogy,1
aino orthobunyavirus,3436421,29395056,camelus dromedarius,3433981,tylopoda,0,1,antibodies,serelogy,1
aino orthobunyavirus,3436421,29395056,capra hircus,3434115,ruminantia,0,1,antibodies,serelogy,1
aino orthobunyavirus,3436421,29395056,ovis aries,3434136,ruminantia,0,1,antibodies,serelogy,1
akabane orthobunyavirus,3512557,29395058,bison bison,3434090,ruminantia,0,1,,,1
akabane orthobunyavirus,3512557,29395058,bos taurus,3434101,ruminantia,1,72,sequence (EID2),isolation,1
akabane orthobunyavirus,3512557,29395058,capra hircus,3434115,ruminantia,1,14,sequence (EID2),isolation,1
akabane orthobunyavirus,3512557,29395058,ceratotherium simum,3433928,perissodactyla,0,1,antibodies,serelogy,1
akabane orthobunyavirus,3512557,29395058,diceros bicornis,3433924,perissodactyla,0,1,antibodies,serelogy,1
akabane orthobunyavirus,3512557,29395058,equus caballus,3433909,perissodactyla,0,1,antibodies,serelogy,1
akabane orthobunyavirus,3512557,29395058,oryx leucoryx,3459038,ruminantia,0,1,antibodies,serelogy,1
akabane orthobunyavirus,3512557,29395058,ovis aries,3434136,ruminantia,1,25,sequence (EID2),isolation,1
akabane orthobunyavirus,3512557,29395058,rhizomys pruinosus,3483188,rodentia,1,0,sequence (EID2),isolation,1
akabane orthobunyavirus,3512557,29395058,saiga tatarica,3451563,ruminantia,0,1,antibodies,serelogy,1
akabane orthobunyavirus,3512557,29395058,sus scrofa,3433956,suina,1,5,sequence (EID2),isolation,1
akabane orthobunyavirus,3512557,29395058,tragelaphus angasii,3506322,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,alcelaphus buselaphus,3494305,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,alces alces,3434005,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,alces americanus,4250465,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,ammotragus lervia,3434086,ruminantia,0,1,PCR,PCR,1
alcelaphine gammaherpesvirus 1,3452140,3452140,antilocapra americana,3434070,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,axis axis,3445617,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bison bison,3434090,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bison bonasus,3434092,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bos gaurus,3434096,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bos grunniens,3445607,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bos indicus,3434103,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bos javanicus,3434098,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bos taurus,3434101,ruminantia,1,105,sequence (EID2),isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,boselaphus tragocamelus,3434107,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,bubalus bubalis,3546118,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,capra hircus,3434115,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,cervus duvaucelii,3465830,ruminantia,0,1,PCR,PCR,1
alcelaphine gammaherpesvirus 1,3452140,3452140,cervus elaphus,3434017,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,cervus nippon,3434021,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,connochaetes gnou,3494325,ruminantia,0,1,PCR,PCR,1
alcelaphine gammaherpesvirus 1,3452140,3452140,connochaetes taurinus,3434119,ruminantia,1,14,sequence (EID2),isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,damaliscus lunatus,3434123,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,gazella gazella,3510394,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,kobus ellipsiprymnus,3434164,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,kobus leche,3494331,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,odocoileus hemionus,3434034,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,odocoileus virginianus,3434038,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 1,3452140,3452140,oreamnos americanus,3451559,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,oryx beisa,3798773,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,oryx dammah,3494336,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,oryx gazella,3434158,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,ovibos moschatus,3455253,ruminantia,0,1,PCR,PCR,1
alcelaphine gammaherpesvirus 1,3452140,3452140,syncerus caffer,3434174,ruminantia,0,1,PCR,PCR,1
alcelaphine gammaherpesvirus 1,3452140,3452140,tragelaphus spekii,3510386,ruminantia,0,1,antibodies,serelogy,1
alcelaphine gammaherpesvirus 1,3452140,3452140,tragelaphus strepsiceros,3434144,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 2,3613989,3613989,alcelaphus buselaphus,3494305,ruminantia,0,1,Isolation,isolation,1
alcelaphine gammaherpesvirus 2,3613989,3613989,ammotragus lervia,3434086,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 2,3613989,3613989,bison bison,3434090,ruminantia,0,1,isolation,isolation,1
alcelaphine gammaherpesvirus 2,3613989,3613989,cervus elaphus,3434017,ruminantia,1,2,sequence (EID2),isolation,1
alcelaphine gammaherpesvirus 2,3613989,3613989,damaliscus lunatus,3434123,ruminantia,1,2,sequence (EID2),isolation,1
alcelaphine gammaherpesvirus 2,3613989,3613989,odocoileus virginianus,3434038,ruminantia,0,1,PCR ,PCR ,1
allpahuayo mammarenavirus,3620060,3620060,oecomys bicolor,3474085,rodentia,1,1,sequence (EID2),isolation,1
allpahuayo mammarenavirus,3620060,3620060,oecomys paricola,3671397,rodentia,0,1,Isolation,isolation,1
alpaca coronavirus,27457890,27457890,lama pacos,3445626,tylopoda,1,0,sequence (EID2),isolation,1
alphaarterivirus equid,3435819,29395308,equus asinus,3433905,perissodactyla,1,13,sequence (EID2),isolation,1
alphaarterivirus equid,3435819,29395308,equus asinus x caballus,24320964,perissodactyla,0,1,antibodies,serelogy,1
alphaarterivirus equid,3435819,29395308,equus burchellii,3433899,perissodactyla,0,1,antibodies,serelogy,1
alphaarterivirus equid,3435819,29395308,equus caballus,3433909,perissodactyla,1,118,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,acinonyx jubatus,3448402,carnivora,0,1,isolation,isolation,1
alphacoronavirus 1,4073256,4073256,ailuropoda melanoleuca,3433636,carnivora,1,4,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,canis latrans,3433582,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,canis lupus,3433580,carnivora,1,74,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,canis lupus familiaris,3433584,carnivora,1,68,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,canis mesomelas,3509503,carnivora,1,0,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,caracal caracal,3497574,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,crocuta crocuta,3433694,carnivora,1,4,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,felis catus,3433706,carnivora,1,173,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,felis silvestris,3433704,carnivora,0,1,isolation,isolation,1
alphacoronavirus 1,4073256,4073256,leopardus geoffroyi,3472029,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,leopardus pardalis,3448404,carnivora,1,0,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,leopardus tigrinus,3472027,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,leopardus wiedii,3497557,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,lynx canadensis,3497559,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,lynx lynx,3438160,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,lynx rufus,3497561,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,martes pennanti,3523537,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,melogale moschata,3674495,carnivora,1,0,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,nyctereutes procyonoides,3451573,carnivora,1,2,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,panthera leo,3433712,carnivora,0,1,PCR,PCR,1
alphacoronavirus 1,4073256,4073256,prionailurus iriomotensis,3455014,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,pteropus giganteus,3618717,chiroptera,1,0,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,puma concolor,3433725,carnivora,0,1,PCR,PCR,1
alphacoronavirus 1,4073256,4073256,puma yagouaroundi,25996844,carnivora,1,1,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,sus scrofa,3433956,suina,1,803,sequence (EID2),isolation,1
alphacoronavirus 1,4073256,4073256,ursus americanus,3433630,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,ursus arctos,3433632,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,ursus maritimus,3443313,carnivora,0,1,antibodies,serelogy,1
alphacoronavirus 1,4073256,4073256,vulpes vulpes,3433604,carnivora,0,1,antibodies,serelogy,1
alphapapillomavirus 1,3791691,3791691,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 10,3788617,3788617,homo sapiens,3433574,primates,1,4,sequence (EID2),isolation,1
alphapapillomavirus 10,3788617,3788617,pan paniscus,3433556,primates,1,2,sequence (EID2),isolation,1
alphapapillomavirus 11,3791692,3791692,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 12,3435090,3435090,macaca fascicularis,3433477,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 12,3435090,3435090,macaca fuscata,3433479,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 12,3435090,3435090,macaca mulatta,3433483,primates,0,1,Isolation,isolation,1
alphapapillomavirus 12,3435090,3435090,papio hamadryas,3433504,primates,0,1,isolation,isolation,1
alphapapillomavirus 13,3788629,3788629,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 2,3791683,3791683,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 3,3788630,3788630,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 4,3791686,3791686,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 5,3791687,3791687,homo sapiens,3433574,primates,1,2,sequence (EID2),isolation,1
alphapapillomavirus 6,3791693,3791693,homo sapiens,3433574,primates,1,3,sequence (EID2),isolation,1
alphapapillomavirus 7,3791685,3791685,homo sapiens,3433574,primates,1,3,sequence (EID2),isolation,1
alphapapillomavirus 8,3788620,3788620,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
alphapapillomavirus 9,3791684,3791684,homo sapiens,3433574,primates,1,23,sequence (EID2),isolation,1
altai virus,3953012,3953012,sorex araneus,3464087,eulipotyphla,1,0,sequence (EID2),isolation,1
altai virus,3953012,3953012,sorex caecutiens,3499107,eulipotyphla,1,0,sequence (EID2),isolation,1
altai virus,3953012,3953012,sorex roboratus,3499129,eulipotyphla,1,0,sequence (EID2),isolation,1
alto paraguay hantavirus,3725788,3725788,holochilus chacarius,3688016,rodentia,1,0,sequence (EID2),isolation,1
american bison gammaherpesvirus,3648128,3648128,bison bison,3434090,ruminantia,1,0,sequence (EID2),isolation,1
amga orthohantavirus,26302950,29395112,sorex caecutiens,3499107,eulipotyphla,1,1,sequence (EID2),isolation,1
amur virus,3541335,3541335,apodemus peninsulae,3573952,rodentia,1,6,sequence (EID2),isolation,1
amur virus,3541335,3541335,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,abrothrix longipilis,3443351,rodentia,1,3,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,abrothrix olivaceus,3443356,rodentia,0,1,antibodies,serelogy,1
andes orthohantavirus,3471595,3471595,akodon montensis,3575432,rodentia,1,3,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,akodon serrensis,3575436,rodentia,0,1,antibodies,serelogy,1
andes orthohantavirus,3471595,3471595,akodon varius,3616331,rodentia,0,1,antibodies,serelogy,1
andes orthohantavirus,3471595,3471595,auliscomys micropus,3545510,rodentia,1,1,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,bolomys lasiurus,3445763,rodentia,1,5,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,calomys tener,3635718,rodentia,0,1,PCR,PCR,1
andes orthohantavirus,3471595,3471595,homo sapiens,3433574,primates,1,14,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,mesocricetus auratus,3434286,rodentia,0,1,disease; death; PCR; isolation,isolation,1
andes orthohantavirus,3471595,3471595,neacomys spinosus,3474076,rodentia,1,1,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,oligoryzomys chacoensis,3454991,rodentia,1,2,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,oligoryzomys flavescens,3688052,rodentia,1,1,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,oligoryzomys fulvescens,3688053,rodentia,0,1,Isolation,isolation,1
andes orthohantavirus,3471595,3471595,oligoryzomys longicaudatus,3613116,rodentia,1,21,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,oligoryzomys microtis,3474080,rodentia,0,1,antibodies,serelogy,1
andes orthohantavirus,3471595,3471595,oligoryzomys nigripes,3454993,rodentia,1,5,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,oxymycterus nasutus,3610977,rodentia,1,0,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,peromyscus maniculatus,3434295,rodentia,0,1,isolation; natural infection,isolation,1
andes orthohantavirus,3471595,3471595,rattus norvegicus,3434405,rodentia,1,2,sequence (EID2),isolation,1
andes orthohantavirus,3471595,3471595,rattus rattus,3434407,rodentia,1,3,sequence (EID2),isolation,1
anhanga virus,4194446,29395142,choloepus didactylus,3441147,pilosa,1,0,sequence (EID2),isolation,1
anlong ms bat coronavirus,27581700,27581700,miniopterus schreibersii,3433300,chiroptera,1,0,sequence (EID2),isolation,1
anlong ms bat coronavirus,27581700,27581700,myotis davidii,3693785,chiroptera,1,0,sequence (EID2),isolation,1
aotine betaherpesvirus 1,3477913,3477913,aotus trivirgatus,3433408,primates,1,0,sequence (EID2),isolation,1
aoudad malignant catarrhal fever virus,3788217,3788217,ammotragus lervia,3434086,ruminantia,1,0,sequence (EID2),isolation,1
ape aime-itapua virus,4077862,4077862,akodon montensis,3575432,rodentia,1,0,sequence (EID2),isolation,1
apodemus agrarius rhadinovirus 1,3765575,3765575,apodemus agrarius,3458388,rodentia,1,0,sequence (EID2),isolation,1
apodemus flavicollis cytomegalovirus 1,3877219,3877219,apodemus flavicollis,3484976,rodentia,1,0,sequence (EID2),isolation,1
apodemus flavicollis cytomegalovirus 2,3877220,3877220,apodemus flavicollis,3484976,rodentia,1,0,sequence (EID2),isolation,1
apodemus flavicollis cytomegalovirus 3,3899503,3899503,apodemus flavicollis,3484976,rodentia,1,0,sequence (EID2),isolation,1
apodemus flavicollis rhadinovirus 1,3846807,3846807,apodemus flavicollis,3484976,rodentia,1,0,sequence (EID2),isolation,1
apodemus sylvaticus cytomegalovirus 1,3877221,3877221,apodemus sylvaticus,3434424,rodentia,1,0,sequence (EID2),isolation,1
aquamavirus a,3912933,28992860,pusa hispida,3433764,carnivora,0,1,isolation,isolation,1
araguari virus,3805214,3805214,philander opossum,3433026,didelphimorphia,1,0,sequence (EID2),isolation,1
araucaria virus,3765044,3765044,akodon montensis,3575432,rodentia,0,1,isolation,isolation,1
araucaria virus,3765044,3765044,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
araucaria virus,3765044,3765044,oligoryzomys nigripes,3454993,rodentia,0,1,antibodies,serelogy,1
aravan lyssavirus,3681667,3681667,eonycteris spelaea,3491732,chiroptera,0,1,antibodies,serelogy,1
aravan lyssavirus,3681667,3681667,myotis blythii,3581335,chiroptera,1,1,sequence (EID2),isolation,1
aravan lyssavirus,3681667,3681667,myotis velifer,3433304,chiroptera,0,1,antibodies,serelogy,1
aravan lyssavirus,3681667,3681667,pteropus lylei,3639202,chiroptera,0,1,antibodies,serelogy,1
arctic fox amdovirus,26747873,26747873,vulpes lagopus,3932989,carnivora,1,0,sequence (EID2),isolation,1
argentinian mammarenavirus,3436479,3436479,akodon azarae,3443352,rodentia,0,1,Isolation,isolation,1
argentinian mammarenavirus,3436479,3436479,akodon molinae,3616330,rodentia,0,1,Isolation,Isolation,1
argentinian mammarenavirus,3436479,3436479,calomys laucha,3488489,rodentia,1,5,sequence (EID2),isolation,1
argentinian mammarenavirus,3436479,3436479,calomys musculinus,3488491,rodentia,1,37,sequence (EID2),isolation,1
argentinian mammarenavirus,3436479,3436479,cavia porcellus,3434442,rodentia,0,1,Isolation,Isolation,1
argentinian mammarenavirus,3436479,3436479,galictis cuja,3911841,carnivora,0,1,antibodies,serelogy,1
argentinian mammarenavirus,3436479,3436479,homo sapiens,3433574,primates,1,28,sequence (EID2),isolation,1
argentinian mammarenavirus,3436479,3436479,mus musculus,3434366,rodentia,0,1,Isolation,isolation,1
argentinian mammarenavirus,3436479,3436479,oligoryzomys flavescens,3688052,rodentia,1,1,sequence (EID2),isolation,1
argentinian mammarenavirus,3436479,3436479,oxymycterus rufus,3488521,rodentia,0,1,ELISA; antigen,serelogy,1
aroa virus,3502593,3502593,alouatta caraya,3433402,primates,0,1,antibodies,serelogy,1
aroa virus,3502593,3502593,cricetulus griseus,3434272,rodentia,1,0,sequence (EID2),isolation,1
artashat orthonairovirus,26531918,26531918,allactaga elater,3518499,rodentia,0,1,Isolation,Isolation,1
artashat orthonairovirus,26531918,26531918,meriones libycus,3756631,rodentia,0,1,isolation,isolation,1
artibeus jamaicensis parvovirus 1,27222176,27222176,artibeus jamaicensis,3433274,chiroptera,1,0,sequence (EID2),isolation,1
artibeus lituratus adenovirus,2211153,28949308,artibeus lituratus,3441090,chiroptera,1,0,sequence (EID2),isolation,1
artybash virus,3953011,3953011,sorex caecutiens,3499107,eulipotyphla,1,1,sequence (EID2),isolation,1
arvicola terrestris cytomegalovirus 1,3877222,3877222,arvicola amphibius,24617143,rodentia,1,0,sequence (EID2),isolation,1
