,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
15,Reticuloendotheliosis virus,11636,17.0,36.0,39.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8295.0,52.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,Avian leukosis virus,11864,17.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7489.0,53.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,Rous sarcoma virus,11886,17.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9392.0,54.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,Avian endogenous virus,11945,17.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,Avian retrovirus,11955,17.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,Avian myeloblastosis-associated virus,11960,17.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,Lymphoproliferative disease virus,11961,17.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7432.0,53.5,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,Norwalk virus,11983,20.0,7.0,73.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
23,Foot-and-mouth disease virus,12110,20.0,32.0,7.0,0.0,0.0,0.0,1.0,,1.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
24,Duck hepatitis B virus,12639,2.0,16.0,13.0,1.0,1.0,1.0,0.0,,0.0,0.0,3024.0,43.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,Porcine epidemic diarrhea virus,28295,15.0,11.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,28033.0,42.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,Heron hepatitis B virus,28300,2.0,16.0,13.0,1.0,1.0,1.0,0.0,,0.0,0.0,3027.0,45.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,Rotavirus A,28875,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18562.0,33.5,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28,Lavender waxbill polyomavirus,36362,24.0,34.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
29,IC4 retrovirus,36381,17.0,36.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,Avian orthoreovirus,38170,21.0,41.0,84.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23593.0,48.5,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
31,Gallid herpesvirus,39566,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
32,Java sparrow circovirus,39725,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
33,Umatilla virus,40060,21.0,39.0,75.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19402.0,41.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
34,Birnavirus sp.,41996,,5.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,Canarypox virus,44088,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,359853.0,30.5,328.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
36,Fort Morgan virus,48544,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11381.0,48.5,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
37,MLV-related retrovirus,53454,17.0,36.0,39.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,Mayaro virus,59301,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11411.0,50.5,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
39,Torque teno virus,68887,,3.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3649.0,49.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
40,Turkey astrovirus,70793,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7003.0,43.5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
41,Tremovirus A,70796,20.0,32.0,108.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,Aichivirus A,72149,20.0,32.0,59.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
43,Lyssavirus australis,90961,14.0,37.0,63.0,1.0,0.0,0.0,1.0,,0.0,1.0,11822.0,44.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44,Avian endogenous retrovirus EAV-HP,93465,17.0,36.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4302.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,Anatid alphaherpesvirus 1,104388,11.0,23.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,Human mastadenovirus F,130309,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34214.0,51.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
47,Duck atadenovirus A,130328,23.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33213.0,43.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
48,Yellow-fronted canary circovirus,142661,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49,Fowl adenovirus 12,172858,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,Rotavirus F,183405,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18341.0,34.5,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51,Rotavirus G,183407,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18186.0,35.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
52,Fowl aviadenovirus A,190061,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43804.0,54.5,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
53,Fowl aviadenovirus B,190062,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45781.0,56.5,39.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
54,Fowl aviadenovirus C,190063,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45667.0,54.5,46.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
55,Fowl aviadenovirus D,190064,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45063.0,54.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,Fowl aviadenovirus E,190065,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43810.0,58.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
57,Etapapillomavirus 1,197771,28.0,25.0,34.0,0.0,1.0,1.0,0.0,,0.0,0.0,7729.0,47.5,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
58,Thetapapillomavirus 1,197772,28.0,25.0,105.0,0.0,1.0,1.0,0.0,,0.0,0.0,7304.0,49.5,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
59,Passerid herpesvirus 1,199702,11.0,23.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,Vultur gryphus poxvirus,227305,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
61,Hawaiian goose poxvirus,228177,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
62,Chicken enteric coronavirus,229103,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
63,Psittacid herpesvirus 3,240876,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
64,Avipoxvirus isolate DD1258,263954,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
65,Avipoxvirus isolate APIII,263959,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
66,Adeno-associated virus,272636,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,4857.0,51.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
67,Vulture herpesvirus,285986,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,Hepatitis E virus,291484,10.0,17.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
69,Turkey siadenovirus A,298333,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
70,Turkey astrovirus 3,298903,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
71,Rotavirus D,335100,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18500.0,33.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
72,Turkeypox virus,336486,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,188534.0,30.0,171.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
73,Chicken astrovirus,336959,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6927.0,46.5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
74,Common starling circovirus,349370,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
75,Duck hepatitis virus 3,352474,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
76,Parrot coronavirus AV71/99,352849,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
77,Virginian WCV avipoxvirus,365612,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
78,Avipoxvirus GB,365613,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
79,Avipoxvirus CVL,365620,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
80,Avipoxvirus Peekham,365621,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
81,Corvus corone cornix 2002 orthoreovirus,381199,21.0,41.0,84.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
82,Small anellovirus,393049,,3.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
83,Quailpox virus,400570,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,581.0,33.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
84,Avipoxvirus isolate Vienna,405092,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
85,Avipoxvirus PA153/05,408592,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
86,Aplomado falcon AAV1,416277,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
87,Aplomado falcon AAV2,416278,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
88,Quail coronavirus Italy/Elvia/2005,431320,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
89,Plum headed parakeet adenovirus 1,461346,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
90,Avipoxvirus isolate Hawaii,462818,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
91,Duck hepatitis virus AP,464094,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
92,Avipoxvirus isolate 1739/2006,468376,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
93,Avipoxvirus isolate 2634/1998,468377,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
94,Avipoxvirus isolate PM33/2007,468378,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
95,Avipoxvirus isolate PM34/2007,468379,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
96,Avipoxvirus isolate PM9/2007,468380,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
97,Avipoxvirus blackcap/CZE/2007,469620,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
98,Psittacine orthoreovirus AGPReo1983,489824,21.0,41.0,84.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
99,Flamingopox virus,503979,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
100,Ostrich orthoreovirus Ost1,524890,21.0,41.0,84.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
101,Chicken astrovirus 2,544801,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
102,Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,565243,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
103,Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,565244,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
104,Avipoxvirus wood pigeon/ER-2008/CZE,569163,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
105,Avipoxvirus great tit/ER-2008/CZE,569164,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
106,Thrush coronavirus HKU12-600,572290,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26396.0,38.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
107,Bulbul coronavirus HKU11,574549,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26487.0,38.5,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
108,Fregata magnificens herpesvirus,576892,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,Budgerigar adenovirus 1,608831,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,Avian rotavirus turkey/Minnesota/B1001/2008,639242,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
111,Avian rotavirus turkey/Minnesota/B1002/2008,639243,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
112,Avian rotavirus turkey/Minnesota/B1003/2008,639244,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
113,Avian rotavirus turkey/Minnesota/B1004/2008,639245,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
114,Avian rotavirus turkey/Minnesota/B1006/2008,639246,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
115,Avian rotavirus turkey/Minnesota/B1009/2008,639247,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
116,Avian rotavirus turkey/Minnesota/B1010/2008,639248,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
117,Avian rotavirus turkey/Minnesota/B1012/2008,639249,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
118,Avian rotavirus turkey/Minnesota/B1013/2008,639250,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
119,Avian rotavirus turkey/Minnesota/B1014/2008,639251,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
120,Avian rotavirus turkey/Minnesota/B1015/2008,639252,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
121,Avian rotavirus turkey/Minnesota/B1016/2008,639253,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
122,Avian rotavirus turkey/Minnesota/B1017/2008,639254,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
123,Avian rotavirus turkey/Minnesota/B1019/2008,639255,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
124,Avian rotavirus turkey/Minnesota/B1020/2008,639256,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
125,Avian rotavirus turkey/Minnesota/B1021/2008,639257,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
126,Avian rotavirus turkey/Minnesota/B1023/2008,639258,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
127,Avian rotavirus turkey/Minnesota/B2004/2008,639259,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
128,Avian rotavirus turkey/Minnesota/B2031/2008,639260,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
129,Avian rotavirus turkey/Minnesota/B2032/2008,639261,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
130,Avian rotavirus turkey/Minnesota/B2036/2008,639262,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
131,Avian rotavirus turkey/Minnesota/B2039/2008,639263,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
132,Avian rotavirus turkey/Minnesota/B3003/2008,639264,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
133,Avian rotavirus turkey/Minnesota/B3004/2008,639265,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
134,Avian rotavirus turkey/Minnesota/B3005/2008,639266,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
135,Avian rotavirus turkey/Minnesota/B3006/2008,639267,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
136,Avian rotavirus turkey/Minnesota/B3007/2008,639268,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
137,Avian rotavirus turkey/Minnesota/B3025/2008,639269,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
138,Avian rotavirus turkey/Minnesota/B3029/2008,639270,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
139,Avian rotavirus turkey/Minnesota/B4021/2008,639271,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
140,Avian rotavirus turkey/Minnesota/B5006/2008,639272,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
