Pathogen Species,GA
Avian associated picorna-like virus 23,nan
Avian associated picorna-like virus 24,nan
Avian associated picorna-like virus 25,nan
Avian associated picorna-like virus 26,nan
Avian associated picorna-like virus 27,nan
Avian associated picorna-like virus 3,nan
Avian associated picorna-like virus 4,nan
Avian associated picorna-like virus 5,nan
Avian associated picorna-like virus 6,nan
Avian associated picorna-like virus 7,nan
Avian associated picorna-like virus 8,nan
Avian associated picorna-like virus 9,nan
Avian associated reo-like virus 1,nan
Avian associated reo-like virus 2,nan
Avian associated reo-like virus 3,nan
Avian associated reo-like virus 4,nan
Avian associated reo-like virus 5,nan
Avian associated reo-like virus 6,nan
Avian astrovirus,nan
Avian astrovirus 2,nan
Avian avastrovirus 4,nan
Avian bornavirus,nan
Avian chapparvovirus,GCF_029884985.1
Avian coronavirus,GCF_012271575.1
Avian coronavirus 9203,0
Avian coronavirus MW05,0
Avian endogenous retrovirus EAV-HP,GCF_000859965.1
Avian endogenous virus,0
Avian gyrovirus 13,nan
Avian leukosis virus,GCF_000891575.1
Avian megrivirus,nan
Avian metaavulavirus 21,GCF_018586885.1
Avian myeloblastosis-associated virus,0
Avian nephritis virus,nan
Avian nephritis virus 3,0
Avian orthoreovirus,GCF_003092915.1
Avian paramyxovirus 17,GCF_013087815.1
Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,0
Avian picobirnavirus,nan
Avian picobirnavirus GI,0
Avian polyomavirus,nan
Avian retrovirus,0
Avian rotavirus turkey/Minnesota/B1001/2008,0
Avian rotavirus turkey/Minnesota/B1002/2008,0
Avian rotavirus turkey/Minnesota/B1003/2008,0
Avian rotavirus turkey/Minnesota/B1004/2008,0
Avian rotavirus turkey/Minnesota/B1006/2008,0
Avian rotavirus turkey/Minnesota/B1009/2008,0
Avian rotavirus turkey/Minnesota/B1010/2008,0
Avian rotavirus turkey/Minnesota/B1012/2008,0
Avian rotavirus turkey/Minnesota/B1013/2008,0
Avian rotavirus turkey/Minnesota/B1014/2008,0
Avian rotavirus turkey/Minnesota/B1015/2008,0
Avian rotavirus turkey/Minnesota/B1016/2008,0
Avian rotavirus turkey/Minnesota/B1017/2008,0
Avian rotavirus turkey/Minnesota/B1019/2008,0
Avian rotavirus turkey/Minnesota/B1020/2008,0
Avian rotavirus turkey/Minnesota/B1021/2008,0
Avian rotavirus turkey/Minnesota/B1023/2008,0
Avian rotavirus turkey/Minnesota/B2004/2008,0
Avian rotavirus turkey/Minnesota/B2031/2008,0
Avian rotavirus turkey/Minnesota/B2032/2008,0
Avian rotavirus turkey/Minnesota/B2036/2008,0
Avian rotavirus turkey/Minnesota/B2039/2008,0
Avian rotavirus turkey/Minnesota/B3003/2008,0
Avian rotavirus turkey/Minnesota/B3004/2008,0
Avian rotavirus turkey/Minnesota/B3005/2008,0
Avian rotavirus turkey/Minnesota/B3006/2008,0
Avian rotavirus turkey/Minnesota/B3007/2008,0
Avian rotavirus turkey/Minnesota/B3025/2008,0
Avian rotavirus turkey/Minnesota/B3029/2008,0
Avian rotavirus turkey/Minnesota/B4021/2008,0
Avian rotavirus turkey/Minnesota/B5006/2008,0
Avian rotavirus turkey/Minnesota/B5009/2008,0
Avian rotavirus turkey/Minnesota/B5015/2008,0
Avian rotavirus turkey/Minnesota/B5018/2008,0
Avian rotavirus turkey/Minnesota/B5019/2008,0
Avian rotavirus turkey/Minnesota/B5020/2008,0
Avian rotavirus turkey/Minnesota/B5022/2008,0
Avian rotavirus turkey/Minnesota/B5023/2008,0
Avian rotavirus turkey/Minnesota/B5024/2008,0
Avian rotavirus turkey/Minnesota/B5035/2008,0
Avibirnavirus gumboroense,GCF_000855485.1
Avihepatovirus A,nan
Avihepatovirus sp.,0
Avihepevirus egretti,0
Avihepevirus magniiecur,nan
Avipoxvirus 1130,nan
Avipoxvirus 2017,0
Avipoxvirus 2A205643,0
Avipoxvirus 31239,0
Avipoxvirus 3864,0
Avipoxvirus BL-2012,0
Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,0
Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,0
Avipoxvirus Betim 1,0
Avipoxvirus CVL,0
Avipoxvirus DX,0
Avipoxvirus E00/RD,0
Avipoxvirus E00/S5,0
Avipoxvirus E00/U5,0
Avipoxvirus E00/UN,0
Avipoxvirus E00/VS,0
Avipoxvirus EX8221,0
Avipoxvirus FGPV_KD09.ZAF,0
Avipoxvirus FMA-2012,0
Avipoxvirus GB,0
Avipoxvirus Gav01/Lima/2011,0
Avipoxvirus HNPV/NZL/2002,0
Avipoxvirus HUPV1/NZL/1992,0
Avipoxvirus ID2701,0
Avipoxvirus ID2757,0
Avipoxvirus ID8501092,0
Avipoxvirus ID8926,0
Avipoxvirus ID8964,0
Avipoxvirus ID9081,0
Avipoxvirus ID9801,0
Avipoxvirus India/07/2009,0
Avipoxvirus India/08/2009,0
Avipoxvirus Japanese cormorant/Iwakuni/2017,0
Avipoxvirus Japanese cormorant/Miyoshi/2017,0
Avipoxvirus Japanese cormorant/Yamanashi/2017,0
Avipoxvirus Japanese cormorant/Yamanashi/2019,0
Avipoxvirus MK1,0
Avipoxvirus MZ-2014,0
Avipoxvirus N624124,0
Avipoxvirus OKr-2014,0
Avipoxvirus OL1,0
Avipoxvirus PA153/05,0
Avipoxvirus PAPV/NZL/2002,0
Avipoxvirus PCcPV1/NZL/2006,0
Avipoxvirus PCcPV2/NZL/2007,0
Avipoxvirus PEPV_San92,0
Avipoxvirus PGPV10K_LD1,0
Avipoxvirus PGPV10K_RP1,0
Avipoxvirus PGPV10K_SP1,0
Avipoxvirus PGPV11K_FP1,0
Avipoxvirus PGPV11K_FP2,0
Avipoxvirus PGPV11K_LD2,0
Avipoxvirus PGPV11K_Pi5,0
Avipoxvirus PGPV93K_RP2,0
Avipoxvirus PGPVO_Pi1,0
Avipoxvirus PGPVO_Pi2,0
Avipoxvirus PGPVO_Pi4,0
Avipoxvirus PTPV/NZL/2005,0
Avipoxvirus Pat/07,0
Avipoxvirus Peekham,0
Avipoxvirus Pox10291,0
Avipoxvirus Pox10302,0
Avipoxvirus Pox10588,0
Avipoxvirus Pox10643,0
Avipoxvirus Pox10716,0
Avipoxvirus Pox11408,0
Avipoxvirus Pox11458,0
Avipoxvirus Pox12717,0
Avipoxvirus Pox13916,0
Avipoxvirus Pox7379,0
Avipoxvirus PoxHAAM26,0
Avipoxvirus PoxPV013.3,0
Avipoxvirus Spilornis cheela/Taiwan/2008,0
Avipoxvirus TD,0
Avipoxvirus TMPV,0
Avipoxvirus TNPV3/NZL/2007,0
Avipoxvirus TNPV6/NZL/2009,0
Avipoxvirus TPPV/NZL/2002,0
Avipoxvirus TVPV2/NZL/2008,0
Avipoxvirus VIC-02,0
Avipoxvirus VIC-08,0
Avipoxvirus XL,0
Avipoxvirus ZLPV1/NZL/2007,0
Avipoxvirus blackcap/CZE/2007,0
Avipoxvirus canary/PT-44463/Portugal/2010,0
Avipoxvirus chicken/PT-30327/Portugal/2013,0
Avipoxvirus clade C,0
Avipoxvirus flamingo/KD09/ZAF,0
Avipoxvirus flamingo/PT-29021/Portugal/2010,0
Avipoxvirus great tit/ER-2008/CZE,0
Avipoxvirus isolate 1739/2006,0
Avipoxvirus isolate 2634/1998,0
Avipoxvirus isolate APIII,0
Avipoxvirus isolate Alaska,0
Avipoxvirus isolate Antarctica,0
Avipoxvirus isolate Argentina,0
Avipoxvirus isolate Arizona,nan
Avipoxvirus isolate Belgium,0
Avipoxvirus isolate California,0
Avipoxvirus isolate Cca/07,0
Avipoxvirus isolate Cch/07,0
Avipoxvirus isolate Chile,0
Avipoxvirus isolate Colorado,0
Avipoxvirus isolate DD1258,0
Avipoxvirus isolate Florida,0
Avipoxvirus isolate Galapagos Islands,nan
Avipoxvirus isolate Georgia,0
Avipoxvirus isolate Hawaii,0
Avipoxvirus isolate Hungary,0
Avipoxvirus isolate ID8501092,0
Avipoxvirus isolate ID8964,0
Avipoxvirus isolate Illinois,0
Avipoxvirus isolate Maryland,0
Avipoxvirus isolate Massachusetts,0
Avipoxvirus isolate Midway Islands,0
Avipoxvirus isolate Minnesota,0
Avipoxvirus isolate Mississippi,0
Avipoxvirus isolate Montana,0
Avipoxvirus isolate Nevada,0
Avipoxvirus isolate New York,0
Avipoxvirus isolate Oregon,0
Avipoxvirus isolate PM33/2007,0
Avipoxvirus isolate PM34/2007,0
Avipoxvirus isolate PM9/2007,0
Avipoxvirus isolate Pat/07,0
Avipoxvirus isolate Pennsylvania,0
Avipoxvirus isolate Sat/07,0
Avipoxvirus isolate Sevilla,0
Avipoxvirus isolate South Korea,0
Avipoxvirus isolate Spain,0
Avipoxvirus isolate Texas,0
Avipoxvirus isolate United Kingdom,0
Avipoxvirus isolate Utah,0
Avipoxvirus isolate Vienna,0
Avipoxvirus isolate Washington,0
Avipoxvirus isolate Washington DC,0
Avipoxvirus isolate Wisconsin,0
Avipoxvirus isolate the Netherlands,0
Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,0
Avipoxvirus penguin/AP/ARG/2007,0
Avipoxvirus pigeon/CAPM V-101/CZE/1965,0
Avipoxvirus sp.,nan
Avipoxvirus strain Elsharqyia_PGPV,0
Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,0
Avipoxvirus wood pigeon/ER-2008/CZE,0
Avisivirus A,GCF_002816595.1
Avisivirus AVE052/AsV,0
Avisivirus B,GCF_000924115.1
Avisivirus C,GCF_000923475.1
Avisivirus Pf-CHK1/AsV,GCF_001502795.1
Avisivirus sp.,nan
Avocet calicivirus,0
Avocet megrivirus,0
Avocet picornavirus,0
Avocet picornavirus B,0
Avon-Heathcote Estuary associated circular virus 25,nan
Avulavirus sp.,nan
Baku virus,0
Balagodu virus,0
Bald eagle hepacivirus,0
Bald eagle poxvirus,0
Balleny virus,0
Bandavirus dabieense,nan
Bardin virus,0
Bavaria virus,GCF_001963095.1
Bavovirus sp.,nan
BeAn 157575 virus,0
Belem virus,GCF_029887655.1
Bellingshausen virus,0
Bengalese munia circovirus,nan
Betacoronavirus 1,0
Bird calicivirus,nan
Bird parvovirus,nan
Birnavirus sp.,0
Biscoe virus,0
Blackbird arilivirus,GCF_004132805.1
Blackbird siadenovirus,nan
Blencathra virus,nan
Blue tit circovirus,0
Blue tit hepacivirus,nan
Bobaya virus,nan
Bonasa bonasia parvoviridae sp.,nan
Borchgrevink virus,0
Bransfield virus,0
Brazilian bird anellovirus type 1,0
Brazilian bird anellovirus type 2,0
Brazilian bird anellovirus type 3,0
Brazilian penguinpox virus,0
British Admiral virus,nan
Bruce virus,0
Bruthen virus,nan
Bubo bubo herpesvirus,0
Budgerigar adenovirus 1,0
Buffalo Bayou virus,0
Bulbul coronavirus HKU11,GCF_002816215.1
Buldecovirus sp.,nan
Burhinus oedicnemus herpesvirus,nan
Buteo buteo herpesvirus,nan
Byrd virus,0
CRESS DNA virus,nan
Cacatuid alphaherpesvirus 1,0
Cacatuid alphaherpesvirus 2,GCF_027939225.1
Caliciviridae sp.,nan
Calicivirus chicken/V0013/Bayern/2004,0
Calicivirus chicken/V0021/Bayern/2004,GCF_004786895.1
Calicivirus chicken/V0027/Bayern/2004,0
Calonectris borealis alphaherpesvirus,nan
Canada goose coronavirus,GCF_012271745.1
Canary chaphamaparvovirus 1,nan
Canary chaphamaparvovirus 2,nan
Canary dependoparvovirus 1,nan
Canary dependoparvovirus 2,nan
Canarypox virus,nan
Cape sugarbird pox virus,0
Carnarvon virus,nan
Carpodacus sibiricus Genomoviridae sp.,nan
Carpodacus sibiricus parvoviridae sp.,nan
Cataraqui virus,nan
Caudoviricetes sp.,nan
Cecropis daurica CRESS-DNA-virus sp.,nan
Cecropis daurica Genomoviridae sp.,nan
Cecropis daurica parvoviridae sp.,nan
Chaphamaparvovirus anseriform 7,nan
Chaphamaparvovirus anseriform 8,nan
Chaphamaparvovirus anseriform 9,nan
Chaphamaparvovirus anseriform1,GCF_029885285.1
Chaphamaparvovirus anseriform2,GCF_029885295.1
Chaphamaparvovirus anseriform3,GCF_029885305.1
Chaphamaparvovirus anseriform4,GCF_029885275.1
Chaphamaparvovirus anseriform5,GCF_029885885.1
Chaphamaparvovirus anseriform6,GCF_029885895.1
Chaphamaparvovirus avian1,0
Chaphamaparvovirus galliform1,GCF_013087235.1
Chaphamaparvovirus galliform2,GCF_013087825.1
Chaphamaparvovirus galliform3,GCF_013087285.1
Chaphamaparvovirus galliform4,GCF_018587365.1
Chaphamaparvovirus galliform5,GCF_018587395.1
Chaphamaparvovirus gruiform1,0
Chaphamaparvovirus gruiform2,0
Chaphamaparvovirus gruiform3,0
Chaphamaparvovirus gruiform4,0
Chaphamaparvovirus gyb-MR3/2015/HUN,nan
Chaphamaparvovirus psittacine1,GCF_018587825.1
Chaphamaparvovirus sp.,nan
Chaphamaparvovirus strigiform1,GCF_029885625.1
Chapparvovirus sp.,0
Charcot virus,0
Chatham orthoreovirus,0
Chestnut teal aalivirus,nan
Chestnut teal astrovirus,nan
Chestnut teal chaphamaparvovirus,nan
Chestnut teal chaphamaparvovirus 1,nan
Chestnut teal chaphamaparvovirus 2,nan
Chestnut teal chaphamaparvovirus 3,nan
Chestnut teal megrivirus,nan
Chestnut teal sicinivirus-like virus,nan
Chicken associated smacovirus,GCF_003963755.1
Chicken astrovirus,nan
Chicken astrovirus 2,0
Chicken chapparvovirus 1,0
Chicken circovirus 2,0
Chicken circovirus 3,0
Chicken circovirus 4,0
Chicken circovirus 5,0
Chicken circovirus SDWF,0
Chicken cyclovirus mg4_1122,0
Chicken cyclovirus mg5_2967,0
Chicken cyclovirus mg7_102,0
Chicken enteric coronavirus,0
Chicken gallivirus 1,0
Chicken genomovirus,nan
Chicken genomovirus mg2_274u,0
Chicken genomovirus mg2_75,0
Chicken genomovirus mg2_77,0
Chicken genomovirus mg4_1107,0
Chicken genomovirus mg4_1196,0
Chicken genomovirus mg4_1210,0
Chicken genomovirus mg4_1259,0
Chicken genomovirus mg7_70,0
Chicken genomovirus mg7_74,0
Chicken genomovirus mg8_416,0
Chicken parvovirus 109/HRV/2009,0
Chicken parvovirus 347/HUN/2008,0
Chicken parvovirus 348/HUN/2008,0
Chicken parvovirus 399/HRV/2010,0
Chicken parvovirus 404/HRV/2010,0
Chicken parvovirus 458/HRV/2010,0
Chicken parvovirus 478/HRV/2010,0
Chicken parvovirus 528/HUN/2009,0
Chicken parvovirus 5B8/2009,0
Chicken parvovirus 92/HRV/2009,0
Chicken parvovirus A1/HUN/2009,0
Chicken parvovirus ABU/HUN/2009,0
Chicken parvovirus B1/HUN/2009,0
Chicken parvovirus Ch1514/2007/HUN,0
Chicken parvovirus Ch1515/2007/HUN,0
Chicken parvovirus Ch189/2009/HUN,0
Chicken parvovirus Ch538/2009/HUN,0
Chicken parvovirus Ch5596_10/2010/HUN,0
Chicken parvovirus Ch5596_13/2010/HUN,0
Chicken parvovirus Ch5596_18/2010/HUN,0
Chicken parvovirus Ch5596_7/2010/HUN,0
Chicken parvovirus Ch841_3/2009/HUN,0
Chicken parvovirus Ch852/2009/HUN,0
Chicken parvovirus Ch_114_10,0
Chicken parvovirus Cro/Glog/2010,0
Chicken picobirnavirus,GCF_004117635.1
Chicken picornavirus,0
Chicken picornavirus 1,GCF_000923455.1
Chicken picornavirus 4,GCF_000922415.1
Chicken picornavirus HK-2014,0
Chicken picornavirus UCC13,0
Chicken proventricular necrosis virus,nan
Chicken proventriculitis virus,0
Chicken proventriculitis-associated circular virus 1,nan
Chicken proventriculitis-associated circular virus 10,nan
Chicken proventriculitis-associated circular virus 11,nan
Chicken proventriculitis-associated circular virus 12,nan
Chicken proventriculitis-associated circular virus 14,nan
Chicken proventriculitis-associated circular virus 15,nan
Chicken proventriculitis-associated circular virus 16,nan
Chicken proventriculitis-associated circular virus 17,nan
Chicken proventriculitis-associated circular virus 18,nan
Chicken proventriculitis-associated circular virus 19,nan
Chicken proventriculitis-associated circular virus 2,nan
Chicken proventriculitis-associated circular virus 20,nan
Chicken proventriculitis-associated circular virus 21,nan
Chicken proventriculitis-associated circular virus 22,nan
Chicken proventriculitis-associated circular virus 23,nan
Chicken proventriculitis-associated circular virus 24,nan
Chicken proventriculitis-associated circular virus 26,nan
Chicken proventriculitis-associated circular virus 27,nan
Chicken proventriculitis-associated circular virus 28,nan
Chicken proventriculitis-associated circular virus 29,nan
Chicken proventriculitis-associated circular virus 3,nan
Chicken proventriculitis-associated circular virus 30,nan
Chicken proventriculitis-associated circular virus 4,nan
Chicken proventriculitis-associated circular virus 5,nan
Chicken proventriculitis-associated circular virus 7,nan
Chicken proventriculitis-associated circular virus 8,nan
Chicken proventriculitis-associated circular virus 9,nan
Chicken smacovirus mg2_55,0
Chicken smacovirus mg5_1444,0
Chicken smacovirus mg6_1052,0
Chicken smacovirus mg7_57,0
Chicken smacovirus mg8_345,0
Chicken stool associated circular virus 1,GCF_003729875.1
Chicken stool associated circular virus 2,GCF_003729855.1
Chicken stool-associated circular virus,GCF_001968175.1
Chicken virus mg4_1578,0
Chicken virus mg4_2302,0
Chicken virus mg4_280,0
Chicken virus mg4_657,0
Chicken virus mg5_1345,0
Chicken virus mg5_2197,0
Chicken virus mg5_2676,0
Chicken virus mg6_1197,0
Chicken virus mg6_2056,0
Chicken virus mg7_41u,0
Chicken virus mg7_59,0
Chicken virus mg8_273,0
Chicken virus mg8_324,0
Chimeric virus 14,nan
Chimney swift adenovirus 1,0
Chinstrap penguin adenovirus 1,0
Chinstrap penguin adenovirus 3,0
Chinstrap penguin adenovirus 4,0
Chinstrap penguin adenovirus 5,0
Chinstrap penguin adenovirus 6,0
Chinstrap penguin adenovirus 7,0
Chinstrap penguin adenovirus 8,0
Chloris chloris herpesvirus,nan
Christensen virus,0
Chrysolophus pictus CRESS-DNA-virus sp.,nan
Chrysolophuspictus parvoviridae sp.,nan
Chuviridae sp.,nan
Ciconia boyciana CRESS-DNA-virus sp.,nan
Ciconia boyciana Circoviridae sp.,nan
Ciconia boyciana parvo-like hybrid virus,nan
Ciconia boyciana parvoviridae sp.,nan
Ciconiid herpesvirus 1,nan
Circoviridae TaCV1,0
Circoviridae TaCV2,0
Circoviridae sp.,0
Circovirus NG_chicken17,0
Circovirus NG_chicken20,0
Circovirus NG_chicken21,0
Circovirus NG_chicken25,0
Circovirus NG_chicken33,0
Circovirus NG_chicken38,0
Circovirus NG_chicken39,0
Circovirus NG_chicken5,0
Circovirus canary,GCF_000846785.1
Circovirus duck,GCF_000864045.1
Circovirus finch,GCF_000869525.1
Circovirus goose,GCF_000837325.1
Circovirus gull,GCF_000870205.1
Circovirus parrot,nan
Circovirus penguin,GCF_018587745.1
Circovirus pigeon,GCF_000843885.1
Circovirus raven,GCF_000869425.1
Circovirus sp.,nan
Circovirus starling,GCF_000868125.1
Circovirus swan,GCF_000925255.1
Circovirus zebrafinch,GCF_000989035.1
Coelho virus,0
Columba livia papillomavirus 1,nan
Columba palumbus herpesvirus,nan
Comazfec virus 1,nan
Comazfec virus 10,nan
Comazfec virus 11,nan
Comazfec virus 12,nan
Comazfec virus 13,nan
Comazfec virus 14,nan
Comazfec virus 15,nan
Comazfec virus 16,nan
Comazfec virus 17,nan
Comazfec virus 2,nan
Comazfec virus 3,nan
Comazfec virus 4,nan
Comazfec virus 5,nan
Comazfec virus 6,nan
Comazfec virus 7,nan
Comazfec virus 8,nan
Comazfec virus 9,nan
Common blackbird circovirus,nan
Common bullfinch circovirus,nan
Common buzzard alphaherpesvirus,0
Common crossbill circovirus,nan
Common grenadier circovirus,nan
Common moorhen coronavirus HKU21,GCF_000896895.1
Common starling circovirus,nan
Condorpox virus,nan
Cook virus,0
Cooks petrelpox virus,nan
Cooper virus,0
Cope virus,0
Coronavirus Anas/p42/2005/GBR,0
Coronavirus Anas/p71/2005/GBR,0
Coronavirus HKU15,nan
Coronavirus PREDICT_CoV-100,nan
Coronavirus oystercatcher/p17/2006/GBR,0
Coronavirus red knot/p60/2006/GBR,0
Corvid orthoreovirus,0
Corvus cornix herpesvirus,nan
Corvus corone cornix 2002 orthoreovirus,0
Corvus monedula herpesvirus,nan
Crahelivirus A,0
Cressdnaviricota sp.,nan
Cressvirus meleagris1922,nan
Cressvirus meleagris952,nan
Crow astrovirus,nan
Crow circovirus,nan
Crowpox virus,nan
Crucivirus sp.,nan
Culex negev-like virus 3,0
Cyanistes caeruleus herpesvirus,0
Cyanopica cyanus CRESS-DNA-virus sp.,nan
Cyanopica cyanus parvoviridae sp.,nan
Cyanoramphus nest associated circular K DNA virus,GCF_000918055.1
Cyanoramphus nest associated circular X DNA virus,GCF_000919075.1
Cyclovirus NG_chicken11,0
Cyclovirus NG_chicken12,0
Cyclovirus NG_chicken13,0
Cyclovirus NG_chicken14,0
Cyclovirus NG_chicken15,0
Cyclovirus NG_chicken16,0
Cyclovirus NG_chicken18,0
Cyclovirus NG_chicken19,0
Cyclovirus NG_chicken2,0
Cyclovirus NG_chicken22,0
Cyclovirus NG_chicken23,0
Cyclovirus NG_chicken24,0
Cyclovirus NG_chicken26,0
Cyclovirus NG_chicken3,0
Cyclovirus NG_chicken31,0
Cyclovirus NG_chicken32,0
Cyclovirus NG_chicken36,0
Cyclovirus NG_chicken37,0
Cyclovirus NG_chicken6,0
Cyclovirus NG_chicken7,0
Cyclovirus NG_chicken8,0
Cyclovirus NG_chicken9,0
Cyclovirus adie,GCF_002819905.1
Cyclovirus cervienka,GCF_029886325.1
Cyclovirus kacsa,GCF_002194385.1
Cyclovirus liepsnele,GCF_029886335.1
Cyclovirus naahoohai,GCF_004133245.1
Cyclovirus nhanloai,0
Cyclovirus pettirosso,GCF_029886285.1
Cyclovirus prihor,GCF_029886315.1
Cyclovirus punarinta,GCF_029886295.1
Cyclovirus rudzik,GCF_029886305.1
Cyclovirus totoi,GCF_029886275.1
Cygnet River virus,0
Cygnus atratus CRESS-DNA-virus sp.,nan
Cygnus atratus Chaphamaparvovirus,nan
Cygnus atratus parvoviridae sp.,nan
