,Species,NCBI Taxon ID,Order,Family,Genus
121,Metaavulavirus japanense,3051366,Mononegavirales,Paramyxoviridae,Metaavulavirus
122,Orthoavulavirus upoense,3051378,Mononegavirales,Paramyxoviridae,Orthoavulavirus
123,Orthoavulavirus borisense,3051379,Mononegavirales,Paramyxoviridae,Orthoavulavirus
124,Orthoavulavirus kopaiticense,3051380,Mononegavirales,Paramyxoviridae,Orthoavulavirus
125,Orthoavulavirus oneillense,3051381,Mononegavirales,Paramyxoviridae,Orthoavulavirus
126,Psittacine aviadenovirus B,2169709,Rowavirales,Adenoviridae,Aviadenovirus
127,Gammapolyomavirus egouldiae,2955939,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
128,Gammapolyomavirus lonmaja,2169904,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
129,Huchismacovirus chicas1,2844965,Cremevirales,Smacoviridae,Huchismacovirus
130,Huchismacovirus chicas2,2844966,Cremevirales,Smacoviridae,Huchismacovirus
131,Orthobunyavirus teteense,3052448,Bunyavirales,Peribunyaviridae,Orthobunyavirus
132,Orthobornavirus alphapsittaciforme,1548713,Mononegavirales,Bornaviridae,Orthobornavirus
133,Orthobornavirus betapsittaciforme,1884878,Mononegavirales,Bornaviridae,Orthobornavirus
134,Metaavulavirus hongkongense,3051372,Mononegavirales,Paramyxoviridae,Metaavulavirus
135,Metaavulavirus delawarense,3051374,Mononegavirales,Paramyxoviridae,Metaavulavirus
136,Orthoavulavirus javaense,3051375,Mononegavirales,Paramyxoviridae,Orthoavulavirus
137,Metaavulavirus yucaipaense,3051368,Mononegavirales,Paramyxoviridae,Metaavulavirus
138,Megrivirus C,2170006,Picornavirales,Picornaviridae,Megrivirus
139,Flamingopox virus FGPVKD09,2059380,Chitovirales,Poxviridae,Avipoxvirus
140,Falcon picornavirus,1964370,Picornavirales,Picornaviridae,
141,Garrulus glandarius associated circular virus 1,2006642,Cirlivirales,Circoviridae,
142,Tinamou hepatitis B virus,2018685,Blubervirales,Hepadnaviridae,Avihepadnavirus
143,Metaavulavirus peixense,3051367,Mononegavirales,Paramyxoviridae,Metaavulavirus
144,Cyclovirus kacsa,3047812,Cirlivirales,Circoviridae,Cyclovirus
145,Megrivirus D,2170007,Picornavirales,Picornaviridae,Megrivirus
146,Hapavirus landjia,1972618,Mononegavirales,Rhabdoviridae,Hapavirus
147,Goose astrovirus,1349999,Stellavirales,Astroviridae,Avastrovirus
148,Mardivirus columbidalpha1,3050267,Herpesvirales,Orthoherpesviridae,Mardivirus
149,Megrivirus A,2170004,Picornavirales,Picornaviridae,Megrivirus
150,Jingmen tombus-like virus 1,1923351,,,
151,Jingmen tombus-like virus 2,1938656,,,
152,Mardivirus spheniscidalpha1,3048326,Herpesvirales,Orthoherpesviridae,Mardivirus
153,Jingmen picorna-like virus,1923350,,,
154,Bavaria virus,2560343,Picornavirales,Caliciviridae,Bavovirus
155,Gemykrogvirus galga2,2844629,Geplafuvirales,Genomoviridae,Gemykrogvirus
156,Chicken stool-associated circular virus,1930302,,,
157,Pigeon aviadenovirus B,2169708,Rowavirales,Adenoviridae,Aviadenovirus
158,Orthobornavirus serini,1548720,Mononegavirales,Bornaviridae,Orthobornavirus
159,Orthobornavirus avisaquaticae,1548722,Mononegavirales,Bornaviridae,Orthobornavirus
160,Orthoavulavirus japanense,3051377,Mononegavirales,Paramyxoviridae,Orthoavulavirus
161,Penguin siadenovirus A,2005055,Rowavirales,Adenoviridae,Siadenovirus
162,Duck faeces associated circular DNA virus 1,1843768,,,
163,Duck faeces associated circular DNA virus 2,1843769,,,
164,Duck faeces associated circular DNA virus 3,1843770,,,
165,Gemygorvirus malas1,2844550,Geplafuvirales,Genomoviridae,Gemygorvirus
166,Gemykibivirus sewopo1,2844603,Geplafuvirales,Genomoviridae,Gemykibivirus
167,Gemycircularvirus chicas2,2844428,Geplafuvirales,Genomoviridae,Gemycircularvirus
168,Gemycircularvirus chicas1,2844427,Geplafuvirales,Genomoviridae,Gemycircularvirus
169,Gallivirus Pf-CHK1/GV,1766557,Picornavirales,Picornaviridae,Gallivirus
170,Avisivirus Pf-CHK1/AsV,1766559,Picornavirales,Picornaviridae,Avisivirus
171,Sicinivirus A,1755588,Picornavirales,Picornaviridae,Sicinivirus
172,Turkeypox virus,336486,Chitovirales,Poxviridae,Avipoxvirus
173,Gemycircularvirus chickad1,2844429,Geplafuvirales,Genomoviridae,Gemycircularvirus
174,Gyrovirus fulgla1,2844799,,Anelloviridae,Gyrovirus
175,Astrovirus Er/SZAL6/HUN/2011,1671382,Stellavirales,Astroviridae,
176,Circovirus zebrafinch,3048458,Cirlivirales,Circoviridae,Circovirus
177,Harkavirus A,2003391,Picornavirales,Picornaviridae,Harkavirus
178,Orthoflavivirus cacipacoreense,3052463,Amarillovirales,Flaviviridae,Orthoflavivirus
179,Gammapolyomavirus padeliae,1891750,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
180,Psittacine atadenovirus A,2003673,Rowavirales,Adenoviridae,Atadenovirus
181,Quaranjavirus wellfleetense,2956351,Articulavirales,Orthomyxoviridae,Quaranjavirus
182,Gemytondvirus ostri1,2844644,Geplafuvirales,Genomoviridae,Gemytondvirus
183,Gemygorvirus stara1,2844555,Geplafuvirales,Genomoviridae,Gemygorvirus
184,Gemykibivirus blabi1,2844561,Geplafuvirales,Genomoviridae,Gemykibivirus
185,Gemykibivirus blaro1,2844562,Geplafuvirales,Genomoviridae,Gemykibivirus
186,Gemycircularvirus malas1,2844476,Geplafuvirales,Genomoviridae,Gemycircularvirus
187,Gemycircularvirus geras1,2844445,Geplafuvirales,Genomoviridae,Gemycircularvirus
188,Gemycircularvirus geras2,2844446,Geplafuvirales,Genomoviridae,Gemycircularvirus
189,Gemycircularvirus geras3,2844447,Geplafuvirales,Genomoviridae,Gemycircularvirus
190,Orivirus A,2170052,Picornavirales,Picornaviridae,Orivirus
191,Orthoavulavirus newyorkense,3051383,Mononegavirales,Paramyxoviridae,Orthoavulavirus
192,Sunrhavirus sunguru,2734408,Mononegavirales,Rhabdoviridae,Sunrhavirus
193,Metaavulavirus galliense,3051365,Mononegavirales,Paramyxoviridae,Metaavulavirus
194,Metaavulavirus tennessense,3051373,Mononegavirales,Paramyxoviridae,Metaavulavirus
195,Metaavulavirus falklandense,2560309,Mononegavirales,Paramyxoviridae,Metaavulavirus
196,Metaavulavirus kunitachiense,3051371,Mononegavirales,Paramyxoviridae,Metaavulavirus
197,Orthoavulavirus italiense,3051376,Mononegavirales,Paramyxoviridae,Orthoavulavirus
198,Paraavulavirus wisconsinense,3052594,Mononegavirales,Paramyxoviridae,Paraavulavirus
199,Farmington virus,1027468,Mononegavirales,Rhabdoviridae,
200,Circovirus swan,3048350,Cirlivirales,Circoviridae,Circovirus
201,Chicken picornavirus 1,1534544,Picornavirales,Picornaviridae,
202,Avisivirus B,1985982,Picornavirales,Picornaviridae,Avisivirus
203,Avisivirus C,1985983,Picornavirales,Picornaviridae,Avisivirus
204,Chicken picornavirus 4,1534547,Picornavirales,Picornaviridae,
205,Gallivirus A,1511776,Picornavirales,Picornaviridae,Gallivirus
206,Duck aviadenovirus B,1534553,Rowavirales,Adenoviridae,Aviadenovirus
207,Umatilla virus,40060,Reovirales,Sedoreoviridae,Orbivirus
208,Pigeon aviadenovirus A,1548417,Rowavirales,Adenoviridae,Aviadenovirus
209,Penguinpox virus,648998,Chitovirales,Poxviridae,Avipoxvirus
210,Pigeonpox virus,10264,Chitovirales,Poxviridae,Avipoxvirus
211,Treiszetapapillomavirus 1,1922208,Zurhausenvirales,Papillomaviridae,Treiszetapapillomavirus
212,Goose calicivirus,1493858,Picornavirales,Caliciviridae,
213,Aalivirus apekidu,2169685,Picornavirales,Picornaviridae,Aalivirus
214,Mosavirus A,1481452,Picornavirales,Picornaviridae,Mosavirus
215,Treisepsilonpapillomavirus 1,1921778,Zurhausenvirales,Papillomaviridae,Treisepsilonpapillomavirus
216,Cyanoramphus nest associated circular X DNA virus,1282443,,,
217,Cyanoramphus nest associated circular K DNA virus,1282444,,,
218,Porprismacovirus turas1,2845936,Cremevirales,Smacoviridae,Porprismacovirus
219,Melegrivirus A,1330070,Picornavirales,Picornaviridae,Megrivirus
220,Gammapolyomavirus cratorquatus,1891749,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
221,Turkey aviadenovirus C,1962301,Rowavirales,Adenoviridae,Aviadenovirus
222,Turkey aviadenovirus D,1962302,Rowavirales,Adenoviridae,Aviadenovirus
223,Rotavirus F,183405,Reovirales,Sedoreoviridae,Rotavirus
224,Rotavirus G,183407,Reovirales,Sedoreoviridae,Rotavirus
225,Fowl aviadenovirus B,190062,Rowavirales,Adenoviridae,Aviadenovirus
226,Gammapolyomavirus secanaria,1891752,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
227,Goose aviadenovirus A,1193420,Rowavirales,Adenoviridae,Aviadenovirus
228,White-eye coronavirus HKU16,1159907,Nidovirales,Coronaviridae,Deltacoronavirus
229,Sparrow coronavirus HKU17,1159906,Nidovirales,Coronaviridae,Deltacoronavirus
230,Magpie-robin coronavirus HKU18,1159903,Nidovirales,Coronaviridae,Deltacoronavirus
231,Night heron coronavirus HKU19,1159904,Nidovirales,Coronaviridae,Deltacoronavirus
232,Wigeon coronavirus HKU20,1159908,Nidovirales,Coronaviridae,Deltacoronavirus
233,Common moorhen coronavirus HKU21,1159902,Nidovirales,Coronaviridae,Deltacoronavirus
234,Parrot hepatitis B virus,1128118,Blubervirales,Hepadnaviridae,Avihepadnavirus
235,Skua siadenovirus A,886980,Rowavirales,Adenoviridae,Siadenovirus
236,Quail picornavirus QPV1/HUN/2010,1089138,Picornavirales,Picornaviridae,
237,Orthoflavivirus tembusu,3048360,Amarillovirales,Flaviviridae,Orthoflavivirus
238,Pigeon picornavirus B,928289,Picornavirales,Picornaviridae,
239,Raptor siadenovirus A,691961,Rowavirales,Adenoviridae,Siadenovirus
240,Gyrovirus galga1,2844800,,Anelloviridae,Gyrovirus
241,Fowl aviadenovirus C,190063,Rowavirales,Adenoviridae,Aviadenovirus
242,Avian leukosis virus,11864,Ortervirales,Retroviridae,Alpharetrovirus
243,Turkey aviadenovirus B,1146875,Rowavirales,Adenoviridae,Aviadenovirus
244,Rotavirus D,335100,Reovirales,Sedoreoviridae,Rotavirus
245,Passerivirus A,1511803,Picornavirales,Picornaviridae,Passerivirus
246,Oscivirus A,1511781,Picornavirales,Picornaviridae,Oscivirus
247,Mardivirus anatidalpha1,3049524,Herpesvirales,Orthoherpesviridae,Mardivirus
248,Highlands J virus,11024,Martellivirales,Togaviridae,Alphavirus
249,Duck astrovirus GII.A,905828,Stellavirales,Astroviridae,Avastrovirus
250,Thrush coronavirus HKU12-600,572290,Nidovirales,Coronaviridae,Deltacoronavirus
251,Munia coronavirus HKU13,1297661,Nidovirales,Coronaviridae,Deltacoronavirus
252,Circovirus gull,3047861,Cirlivirales,Circoviridae,Circovirus
253,Circovirus finch,3047835,Cirlivirales,Circoviridae,Circovirus
254,Circovirus raven,3048293,Cirlivirales,Circoviridae,Circovirus
255,Circovirus starling,3048341,Cirlivirales,Circoviridae,Circovirus
256,Gammapolyomavirus corvi,1891748,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
257,Gammapolyomavirus pypyrrhula,1891751,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
258,Alphainfluenzavirus influenzae,2955291,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus
259,Circovirus duck,3047813,Cirlivirales,Circoviridae,Circovirus
260,Reticuloendotheliosis virus,11636,Ortervirales,Retroviridae,Gammaretrovirus
261,Dependoparvovirus anseriform1,1511895,Piccovirales,Parvoviridae,Dependoparvovirus
262,Avian endogenous retrovirus EAV-HP,93465,Ortervirales,Retroviridae,
263,Duck hepatitis B virus,12639,Blubervirales,Hepadnaviridae,Avihepadnavirus
264,Iltovirus psittacidalpha1,3050344,Herpesvirales,Orthoherpesviridae,Iltovirus
265,Thetapapillomavirus 1,197772,Zurhausenvirales,Papillomaviridae,Thetapapillomavirus
266,Circovirus goose,3047842,Cirlivirales,Circoviridae,Circovirus
267,Circovirus canary,3047720,Cirlivirales,Circoviridae,Circovirus
268,Mardivirus meleagridalpha1,3050320,Herpesvirales,Orthoherpesviridae,Mardivirus
269,Circovirus pigeon,3050342,Cirlivirales,Circoviridae,Circovirus
270,Mardivirus gallidalpha2,3050287,Herpesvirales,Orthoherpesviridae,Mardivirus
271,Turkey astrovirus,70793,Stellavirales,Astroviridae,Avastrovirus
272,Avibirnavirus gumboroense,3048151,,Birnaviridae,Avibirnavirus
273,Orthoflavivirus wesselsbronense,3048447,Amarillovirales,Flaviviridae,Orthoflavivirus
274,Gyrovirus chickenanemia,3047743,,Anelloviridae,Gyrovirus
275,Orthoflavivirus japonicum,3048158,Amarillovirales,Flaviviridae,Orthoflavivirus
276,Goose astrovirus 2,2810457,Stellavirales,Astroviridae,Avastrovirus
277,Orthoflavivirus nilense,3048448,Amarillovirales,Flaviviridae,Orthoflavivirus
278,Fowl aviadenovirus D,190064,Rowavirales,Adenoviridae,Aviadenovirus
279,Chicken genomovirus,1985367 ,Geplafuvirales,Genomoviridae,
280,Microbacterium phage P8_2022_SA,Not found,,,
281,Pigeon gyrovirus,2766787,,Anelloviridae,Gyrovirus
282,Gyrovirus homsa3,2844804,,Anelloviridae,Gyrovirus
283,Fowl aviadenovirus A,190061,Rowavirales,Adenoviridae,Aviadenovirus
284,Burhinus oedicnemus herpesvirus,548681,,,
285,Pigeon adenovirus,10535,Rowavirales,Adenoviridae,Mastadenovirus
286,Metapneumovirus avis,3047384,Mononegavirales,Pneumoviridae,Metapneumovirus
287,Java sparrow circovirus,39725,Cirlivirales,Circoviridae,
288,Red-fronted serin circovirus,39725,Cirlivirales,Circoviridae,
289,Hawfinch circovirus,39725,Cirlivirales,Circoviridae,
290,Gouldian finch circovirus,1221219,Cirlivirales,Circoviridae,Circovirus
291,Crow circovirus,39725,Cirlivirales,Circoviridae,
292,Magpie circovirus,39725,Cirlivirales,Circoviridae,
293,European goldfinch circovirus,39725,Cirlivirales,Circoviridae,
294,Purple grenadier circovirus,39725,Cirlivirales,Circoviridae,
295,Bengalese munia circovirus,39725,Cirlivirales,Circoviridae,
296,White-rumped seedeater circovirus,39725,Cirlivirales,Circoviridae,
297,Common grenadier circovirus,39725,Cirlivirales,Circoviridae,
298,Common bullfinch circovirus,39725,Cirlivirales,Circoviridae,
299,Eurasian blackcap circovirus,39725,Cirlivirales,Circoviridae,
300,Common crossbill circovirus,39725,Cirlivirales,Circoviridae,
301,Yellow-fronted canary circovirus,142661,Cirlivirales,Circoviridae,Circovirus
302,Common blackbird circovirus,39725,Cirlivirales,Circoviridae,
303,Common starling circovirus,349370,Cirlivirales,Circoviridae,Circovirus
304,Eurasian jay circovirus,39725,Cirlivirales,Circoviridae,
305,Western jackdaw circovirus,39725,Cirlivirales,Circoviridae,
306,Mynah circovirus,39725,Cirlivirales,Circoviridae,
307,Lavender waxbill polyomavirus,36362,Sepolyvirales,Polyomaviridae,
308,Fowlpox virus,10261,Chitovirales,Poxviridae,Avipoxvirus
309,Duck atadenovirus A,130328,Rowavirales,Adenoviridae,Atadenovirus
310,Atadenovirus sp.,2671518,Rowavirales,Adenoviridae,Atadenovirus
311,Aviadenovirus sp.,2217649,Rowavirales,Adenoviridae,Aviadenovirus
312,Psittacine adenovirus 2,1301246,Rowavirales,Adenoviridae,
313,Siadenovirus sp.,2671519,Rowavirales,Adenoviridae,Siadenovirus
314,Duck astrovirus 3,1897654,Stellavirales,Astroviridae,Avastrovirus
315,Duck hepatitis virus 3,352474,Stellavirales,Astroviridae,Avastrovirus
316,Sindbis virus,11034,Martellivirales,Togaviridae,Alphavirus
317,Gammapolyomavirus avis,1891747,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
318,Avihepatovirus A,691956,Picornavirales,Picornaviridae,Avihepatovirus
319,Circovirus parrot,3047561,Cirlivirales,Circoviridae,Circovirus
320,Orthoflavivirus bagazaense,3047385,Amarillovirales,Flaviviridae,Orthoflavivirus
321,Deltacoronavirus sp.,1911231,Nidovirales,Coronaviridae,Deltacoronavirus
322,Aveparvovirus galliform1,3051983,Piccovirales,Parvoviridae,Aveparvovirus
323,Aviadenovirus hydropericardii,3250174,Rowavirales,Adenoviridae,Aviadenovirus
324,Buldecovirus sp.,2832629,Nidovirales,Coronaviridae,Deltacoronavirus
325,Fowl adenovirus,1354736,Rowavirales,Adenoviridae,Aviadenovirus
326,Rotavirus A,28875,Reovirales,Sedoreoviridae,Rotavirus
327,Avian avastrovirus 4,3242737,Stellavirales,Astroviridae,Avastrovirus
328,Turkey siadenovirus A,298333,Rowavirales,Adenoviridae,Siadenovirus
329,Avipoxvirus sp.,1928336,Chitovirales,Poxviridae,Avipoxvirus
330,Avian astrovirus,1914440,Stellavirales,Astroviridae,Avastrovirus
331,Tremovirus A,70796,Picornavirales,Picornaviridae,Tremovirus
332,Avian nephritis virus,1354735,Stellavirales,Astroviridae,Avastrovirus
333,Orthoflavivirus usutuense,3048443,Amarillovirales,Flaviviridae,Orthoflavivirus
334,Anatid alphaherpesvirus 2,3080522,Herpesvirales,Orthoherpesviridae,
335,Anatid alphaherpesvirus 3,3233541,Herpesvirales,Orthoherpesviridae,
336,Chicken proventricular necrosis virus,908207,,Birnaviridae,
337,Avihepevirus magniiecur,1678144,Hepelivirales,Hepeviridae,Avihepevirus
338,Ostrich parvovirus,2699166,Piccovirales,Parvoviridae,
339,Porcine epidemic diarrhea virus,28295,Nidovirales,Coronaviridae,Alphacoronavirus
